deal_id,deal_title,deal_store,deal_parameter,deal_value
1,https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&store=tyy&srno=b_1_30&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGYQ6BETBWFTDH.SEARCH&ssid=trqyjrmaa80000001715182870897,Flipkart,specifications,"{'In The Box': 'Handset, Charger, USB Data Cable, Sim Ejector Tool, Safety Guide, Quick Guide, TPU Protective Case', 'Model Number': 'RMX3998', 'Model Name': '12x 5G', 'Color': 'Woodland Green', 'Browse Type': 'Smartphones', 'SIM Type': 'Dual Sim', 'Hybrid Sim Slot': 'Yes', 'Touchscreen': 'Yes', 'OTG Compatible': 'Yes', 'Quick Charging': 'Yes', 'Sound Enhancements': 'OReality Audio', 'Display Size': '17.07 cm (6.72 inch)', 'Resolution': '2400 x 1080 Pixels', 'Resolution Type': 'Full HD+', 'GPU': 'ARM Mali G57 MC2', 'Display Type': 'Full HD+ LCD', 'Display Colors': '16.7 Million', 'Other Display Features': '120Hz Refresh Rate, Screen-to-Body Ratio: 91.40%, Color Saturation: 82% NTSC (Typical), 78% NTSC (Minimum), Aspect Ratio: 20:9, Color Gamut: 82% NTSC (Typical), 78% NTSC (Minimum), RGB Pixel Arrangement, Contrast Ratio: 1500:1, Sunshine Screen, Brightness: 800 Nits (Typical), 950 Nits (High Brightness Mode), 240Hz Touch Sampling Rate', 'Operating System': 'Android 14', 'Processor Brand': 'Mediatek', 'Processor Type': 'Dimensity 6100+', 'Processor Core': 'Octa Core', 'Primary Clock Speed': '2.2 GHz', 'Secondary Clock Speed': '2 GHz', 'Operating Frequency': '2G GSM: 850 MHz/900 MHz/1800 MHz, 3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8/B28B, 4G TD LTE: B40/B41 (2535 MHz - 2655 MHz), 5G NR: n1/n3/n5/n8/n28B/n40/n41 (2535 MHz - 2655 MHz)/n77/n78', 'Internal Storage': '128 GB', 'RAM': '6 GB', 'Expandable Storage': '2 TB', 'Memory Card Slot Type': 'Hybrid Slot', 'Primary Camera Available': 'Yes', 'Primary Camera': '50MP + 2MP', 'Primary Camera Features': 'Dual Camera Setup: 50MP Main Camera (Samsung S5KJN1, f/1.8 Aperture, 1/ 2.76 inch Sensor Size, 0.64um Pixel Size, FOV: 80 Degree, 5P Lens, Effective Focal Length: 3.98mm, Equivalent Focal Length: 26mm, Supports Auto Focus, Open Loop VCM) + 2MP Mono Camera (Smartsense SC202CS, f/2.4 Aperture, 1/5 inch Sensor Size, 1.75um Pixel Size, FOV: 89 Degree, 3P Lens, Effective Focal Length: 1.77mm, Equivalent Focal Length: 22mm, Fixed Focus), CMOS, 20 Burst Photos, Features: Photo, Video, Night, Street, Pro, Pano, Portrait, Timelapse, Slo-Mo, Text Scanner, 50M, Tilt-Shift, Movie, Dual-View Video, Supports Smart Scenario Recognition, Supports Fill Light for Video Shooting', 'Optical Zoom': 'No', 'Secondary Camera Available': 'Yes', 'Secondary Camera': '8MP Front Camera', 'Secondary Camera Features': '8MP Front Camera Setup: (OV OV08D10, f/2.0 Aperture,1/4 inch Sensor Size, 1.12um Pixel Size, FOV: 80 Degree, 4P Lens, Effective Focal Length: 2.65mm, Equivalent Focal Length: 25mm), CMOS, Features: Photo, Video, Pano, Portrait, Night, Timelapse, Dual View Video', 'Flash': 'Rear: Single Flashlight', 'HD Recording': 'Yes', 'Full HD Recording': 'Yes', 'Video Recording': 'Yes', 'Video Recording Resolution': 'Rear Camera: Video: 1080p (at 30 fps), 720p (at 30 fps), Slow Motion: 720p (at 120 fps), Movie/Time Lapse: 1080p (at 30 fps), Dual View Video: 720p (at 30 fps) | Front Camera: 1080p ( at 30 fps), 720p (at 30 fps)', 'Digital Zoom': '10X', 'Frame Rate': '120 fps, 30 fps', 'Dual Camera Lens': 'Primary Camera', 'Video Call Support': 'Yes', 'Speaker Phone': 'Yes', 'Call Records': 'Yes', 'Network Type': '5G, 4G VOLTE, 4G, 3G, 2G', 'Supported Networks': '5G, 4G VoLTE, 4G LTE, WCDMA, GSM', 'Internet Connectivity': '5G, 4G, 3G, EDGE, GPRS, Wi-Fi', '3G': 'Yes', 'GPRS': 'Yes', 'Micro USB Port': 'Yes', 'Micro USB Version': 'USB 2.0 (Type C)', 'Bluetooth Support': 'Yes', 'Bluetooth Version': 'v5.3', 'Wi-Fi': 'Yes', 'Wi-Fi Version': '802.11 a/b/g/n/ac, 802.11 ac (Wi-Fi 5), 802.11 a/b/g/n (WLAN 2.4 GHz/WLAN 5.1 GHz/WLAN 5.8 GHz)', 'Wi-Fi Hotspot': 'Yes', 'NFC': 'No', 'Infrared': 'No', 'USB Connectivity': 'Yes', 'EDGE': 'Yes', 'Audio Jack': '3.5mm', 'Map Support': 'Support Gaode Map, Third Party Map, Baidu Map, Google Map', 'GPS Support': 'Yes', 'Smartphone': 'Yes', 'Touchscreen Type': 'Capacitive', 'SIM Size': 'Nano Sim', 'User Interface': 'Realme UI 5.0 (Based on Android 14)', 'SMS': 'Yes', 'Graphics PPI': '391 PPI', 'Sensors': 'Geomagnetic Sensor, Proximity Sensor, Light Sensor, Acceleration Sensor, Gyroscope, Support Meter Function', 'Ringtones Format': 'MP3, AMR, APE, OGG, FLAC, WAV, MIDI, WMA', 'Other Features': "Oleophobic Coating On Rear Cover, COG Packaging Process, Lamination Method of Touchscreen: In Cell, Upto 10 Touch Points, Dark Mode, Eye Comfort, UFS 2.2, OTG Storage Format: FAT32, Maximum OTG Storage Supported: 2TB, Dual RAM Channel, Maximum Number of Call Logs: 3000, Answering Phone Calls Using Earphones, Display Caller's Profile Picture, Display Background for Incoming Calls, Sim Card Contacts Import and Export, Contacts Grouping, Customized Grouping, Maximum Number of Recipients for Group SMS Messages: 200, SMS Character Limit: 1530, Capacity for One MMS Message: 300KB, Firewall/Block & Filter, Data Backup and Restore, File Compression and Extraction, Private Safe, App Lock, App Lock Method: Digit Password, Pattern Password, Mixed Password, Fingerprint Password, Face Password, Split Screen Mode, Mini Window Mode/Playing Videos in Floating Window, Webpage Video Playback, Google Lens, L1 Widevine Encrypted Video, Weather Widget, Clock Widget, Music Widget, Third Party App Widget, Gestures & Motions: Black Screen Gestures, Intelligent Answering and Calling, Lift to Brighten the Screen, Three Finger Screenshot, Incoming Call Banner, Kid Space (Guest Mode), Third Party Input Method, World Clock, Mobile Screencast, Screen Recording, Compass, App Cloner, OSIE Visual Effect, Game Voice Changer, Game Space/Games, System File Format, Step Counting, Recently Deleted (Album Recycle Bin), Number of Devices That Can Be Connected to a Hotspot: 10, Bluetooth Audio Specifications: sbc, acc, lhdc, ldac, aptx, aptx hd, WiFi Calling, HD Voice, Dual Carrier Aggregation, Dual 5G Display, Link Boost Communicate, Link Boost Wireless: SLA Polymorphic Network Acceleration, Face Recognition, VOOC Charge, Maximum Power Supported by Mobile Phone: 45W, Integrated Standalone or Integrated Audio Decoder Chip, Vibration Motor: Rotor Motor, Support IPX4 Waterproof and Dustproof, Supports Button Backlight, Dual Speaker, Dual Microphones, Speaker: 1115 Ultra Linear Speaker, Dual Mic Noise Cancellation, Push-to-Talk On Earphones, Supports Volume Control, Supports Switching Songs, Supports In-Ear Monitoring", 'GPS Type': 'GPS, GLONASS, BEIDOU, GALILEO, QZSS', 'FM Radio': 'No', 'FM Radio Recording': 'No', 'DLNA Support': 'Yes', 'Audio Formats': 'MP3, AAC, APE, AMR, WAV, MID, OGG, FLAC, WMA', 'Video Formats': 'AVI, 3GP, MP4, WMV, MKV, MOV, ASF, FLV', 'Battery Capacity': '5000 mAh', 'Battery Type': 'Lithium-ion Polymer', 'Width': '76.1 mm', 'Height': '165.6 mm', 'Depth': '7.69 mm', 'Weight': '188 g', 'Warranty Summary': '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories', 'Domestic Warranty': '1 Year'}"
2,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,deal_used_by,NULL
3,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,product_size,4+128
4,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,deal_pattern_name,NULL
5,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,product_main_info,{}
6,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,product_tech_details,"{'Brand': '\u200eRedmi', 'Manufacturer': '\u200eRedmi', 'Model Name': '\u200eRedmi 13C 5G', 'Model Year': '\u200e2023', 'Product Dimensions': '\u200e16.8 x 7.8 x 0.8 cm; 195 g', 'Batteries': '\u200e1 Lithium Polymer batteries required. (included)', 'RAM Size': '\u200e128 GB', 'Memory Storage Capacity': '\u200e128 GB', 'Flash Memory Installed Size': '\u200e128 GB', 'Ram Memory Installed Size': '\u200e4 GB', 'Digital storage capacity': '\u200e1000 GB', 'Operating System': '\u200eMIUI 14, Android 13.0', 'Processor Type': '\u200eMediaTek Helio', 'Special Features': '\u200eDual Camera, Gorilla Glass', 'Mounting Hardware': '\u200ePower Adapter, SIM Tray Ejector, USB Cable', 'Number of items': '\u200e1', 'Standing screen display size': '\u200e6.74 Inches', 'Display Type': '\u200eLCD', 'Resolution': '\u200e1600x720 Pixels', 'Video Capture Resolution': '\u200e1080p, 720p', 'Batteries Included': '\u200eYes', 'Batteries Required': '\u200eYes', 'Battery Capacity': '\u200e5000', 'Battery cell composition': '\u200eLithium Polymer', 'Battery Power Rating': '\u200e5000', 'Cellular technology': '\u200e5G', 'Refresh Rate': '\u200e90 Hz', 'Connector Type': '\u200eBluetooth, Wi-Fi, USB', 'Device interface - primary': '\u200eTouchscreen', 'Form Factor': '\u200eBar', 'Country of Origin': '\u200eIndia', 'Item Weight': '\u200e195 g'}"
7,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,product_extra_details,"{'ASIN': 'B0CNX6WVG5', 'Customer Reviews': '4.0 4.0 out of 5 stars 821 ratings 4.0 out of 5 stars', 'Best Sellers Rank': '#7 in Electronics (See Top 100 in Electronics) #3 in Smartphones', 'Date First Available': '14 December 2023', 'Packer': 'DBG Technology (India) Pvt Ltd , PLOT NO-2, BAWAL, SECTOR-8, Rewari, Haryana, 123501.', 'Importer': 'Xiaomi Technology India Private Limited, Building Orchid. Block E, Embassy Tech Village, Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru 560103', 'Item Dimensions LxWxH': '16.8 x 7.8 x 0.8 Centimeters', 'Net Quantity': '195 Grams', 'Generic Name': 'Smartphone'}"
8,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,about_product,"Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74" HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery 6.74" HD+ 90Hz display with Corning Gorilla Glass 3 Protection, 600nits in High Brightness mode 50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |"
9,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,highly_rated_by_customer_for,"value for money, good performance, looks good"
10,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,Amazon,product_imp_info,
