deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
24,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_23?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-23,4,61084,349,129,63,220,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","3A Fast Charging - Delivers 3A fast charging and 480 Mbps data transfer speed. Quick Charge 2.0/ 3.0 - Supports Quick Charge (QC) 2.0/3.0 to deliver rapid charging speed. Wide Compatibility - It is compatible with all Type-C enabled devices including Android smartphones, tablets and PC peripherals. Unbreakable - Made of special braided outer with rugged interior bindings, it is an ultra-durable cable that won’t be affected by daily rough usage. Ideal Length - It has an ideal length of 1.5 meters which is super convenient to use. Made in India - This product is Made in India at the Ambrane’s manufacturing facility in Haryana. 180 Days Warranty - It comes with a 6 months warranty against manufacturing defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Ambrane Unbreakable 60W Fast Charging 1.5M Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_18?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-18,4,61518,399,159,60,240,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc) Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable Supports maximum 3A fast charging and 480 Mbps data transfer speed 6 months manufacturer warranty from the date of purchase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"amazon basics Type A to Micro USB Braided Cable | 3A/18W Fast Charging and 480 Mbps Data Transfer Speed | 1.2m, Tangle Free Cable",https://www.amazon.in/amazon-basics-Braided-Charging-Transfer/dp/B0CH1499X7/ref=sr_1_16?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-16,4.1,108388,499,109,78,390,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","Braided Micro USB Cable with 18W charging support Supports 3A fast charging and data transfer speed up to 480 Mbps Sturdy, tangle-free cable and endurace-tested to provide 8000+ bend lifespan Nylon Braided tangle free cable 18W Power output, Sync & Charge function, tested durability with 8000+ bends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,USB C to Lightning Cable 1M [Apple MFi Certified] iPhone Fast Charger Cable USB-C Power Delivery Charging Cord for iPhone 14/13/12/12 PRO Max/12 Mini/11/11PRO/XS/Max/XR/X/8/8Plus/iPad pack of 1,https://www.amazon.in/Lightning-Certified-Charger-Delivery-Charging/dp/B0CQNZS613/ref=sr_1_7?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-7,4.4,73720,2999,698,77,2301,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']",USB C to Lightning Cable Support PD Fast Charging[Apple MFi Certified],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 14,13, 12,11,X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-13,4.2,32402,1099,399,64,700,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","High Compatibility : Compatible With iPhone 14,13,12,11,X/XsMax/Xr, iPhone 8/8 Plus,iPhone 7/7 Plus,iPhone 6s/6s Plus,iPhone 6/6 Plus,iPhone 5/5s/5c/se,iPad Pro,iPad Air 1/2,iPad mini 1/2/3,iPod nano7,iPod touch and more apple devices. Fast Charge & Data Sync : It can charge and sync simultaneously at a rapid speed, Supports Apple Carplay and Compatible with any charging adaptor, multi-port charging station or power bank. Durability : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility. High Security Level : It is designed to fully protect your device from damaging excessive current.Copper core thick+Multilayer shielding, Anti-interference, Protective circuit equipment. WARRANTY: 12 Months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. If you meet any question or problem, please don't hesitate to contact us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),https://www.amazon.in/Portronics-Konnect-POR-1403-Charging-Function/dp/B09KH58JZR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-15,4.2,5141,699,119,83,580,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","This cable comes with charging & Data sync function for smartphones.This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using. TPE + Nylon Material to make sure that the life of the cable is enhanced significantly. The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office. Charge for all Type C USB connectivity devices including MacBook 12 inch, Nexus 5x, Nexus 6p, OnePlus 2, pixel c, Lumia 950, Lumia 950 xl, Nokia n1, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & other Micro USB devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_24?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-24,4,61518,299,149,50,150,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","20W Fast Charging - Supports 20W fast charging and 480 Mbps data transfer speed. Quick Charge 2.0/ 3.0 - Supports Quick Charge (QC) 2.0/3.0 to deliver rapid charging speed. Universal Compatibility - It is compatible with all Micro USB enabled devices including Android smartphones, tablets, PC peripherals and other micro USB compatible devices. Unbreakable - Made of special braided outer with rugged interior bindings, it is an ultra-durable cable that won’t be affected by daily rough usage. Ideal Length - It has an ideal length of 1.5 meters which is super convenient to use. Made in India - This product is Made in India at the Ambrane’s manufacturing facility in Haryana. 180 Days Warranty - It comes with a 6 months warranty against manufacturing defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_18?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-18,4.3,8920,2000,649,68,1351,[],Computers & Accessories,Accessories & Peripherals,Laptop Accessories,Bags & Sleeves,Laptop Backpacks,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Laptop Accessories', 'Bags & Sleeves', 'Laptop Backpacks']","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",https://www.amazon.in/Dyazo-Computer-Adjustable-Ergonomic-Compatible/dp/B08LHTJTBB/ref=sr_1_21?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.3,10990,1999,399,80,1600,[],Computers & Accessories,Accessories & Peripherals,Laptop Accessories,Notebook Computer Stands,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Laptop Accessories', 'Notebook Computer Stands']","Dyazo Height Adjusting Laptop Stand Or Laptop Ergonomic Stand Or Laptop Stands For Office Desk Improves Your Posture Scientifically Designed To Help You Balance You’re Sitting Posture Keeping Your Back Straight, Neck Relaxed And Wrists Natural Even After Long Work Hours Multi-Angle Adjustable Design: The Aluminium Laptop Stand Or Metal Laptop Stand Or Foldable Laptop Stand Or Better Known As A Aluminum Laptop Stand Provides 6-Speed Adjustable Height, Adjust To Comfortable Operating Angle And Height Based On Your Actual Need. And The Ergonomic Design Makes For Easy Watching And Typing, Relieving Neck, Shoulder And Spinal Pain. Compatibility: The Laptop & Tablet Stand Supports Most Devices From 10 - 15.6 Inches: Macbook, Thinkpad, Surface, Chromebook, Ipad Pro, Etc. Therefore Known As A 11.6 Inch Laptop Stand ,12 Inch Laptop Stand , 13.3 Inch Laptop Stand ,15 Inch Laptop Stans & 15.6 Inch Laptop Stand Dyazo Travel Laptop Stand Or Laptop Stand Metal Is A Laptop Foldable Stand Which You Can Fold And Carry Easly In Your Backpack Or Briefcase You Can Use It To Change Angle Of Your Laptop Therefore Use It As Laptop Incline Stand Or Laptop Height Stand Laptop stand fully foldable, light weight at 260gm only and extremely handy to carry in your office bag [Increases laptop life]-keeps your laptop cooler so the battery life and internal components life also improves EXQUISITE WORKMANSHIP: Machined from anodized aluminum alloy, with sand blasted and brushed processes. With Non-slip silicone mat, avoid from risking of any scratches to your devices and stable placement makes it the best laptop stand available in the market One year warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible with Laser and Optical Mice(Universe Black)",https://www.amazon.in/STRIFF-230X190X3mm-Waterproof-Premium-Textured-Compatible/dp/B0B9LDCX89/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.4,12375,999,97,90,902,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Keyboard & Mice Accessories,Mouse Pads,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Keyboard & Mice Accessories', 'Mouse Pads']","9.4 Inches X 7.9 Inches) 240mm x 200mm x 2mm Size: This mouse pad is ideal for Gamers, Graphic Designers, Students, or anyone using mouse for long sessions. This helps to improve the gaming experience for gamers or the work efficiency in the office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-14,4.3,73446,895,595,34,300,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']","The Logitech B170 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design. This wireless mouse offers an excellent 10 meters reliable wireless range along with 1000 dpi. You can easily pair it with your system by just plugging in a tiny wireless receiver into the USB slot. This wireless mouse works on the latest 2.4 GHz wireless technology and offers universal compatibility with Windows, Mac OS and Chrome OS. Battery Type: AA+. Specification: Dimensions: Mouse (height x width x depth): 97.7 mm (3.85 in) x 61.5 mm (2.42 in) x 35.2 mm (1.39 in) Mouse Weight: 70.5 g (2.49 oz) with battery Nano receiver (height x width x depth): 6.6 mm (0.24 in) x 14.4 mm (0.57 in) x 18.7 mm (0.74 in) Nano receiver Weight: 2.0 g (0.07 oz) System Requirements: Windows 7, Windows 8, Windows 10 or later Mac OS X 10.8 or later Chrome OS Linux kernel 2.6+ USB port Technical Specifications: Connection Type: 2.4 Ghz wireless Wireless range: 10 m (33 ft) Battery: 1 x AA Battery life: 1 year Required: available USB port, Windows 7, 8, 10 or later, macOS 10.5 or later, Chrome OS, Linux Kernel 2.6+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),https://www.amazon.in/STRIFF-Adjustable-Patented-Ventilated-Compatible/dp/B07XCM6T4N/ref=sr_1_13?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-13,4.3,37493,1499,249,83,1250,[],Computers & Accessories,Accessories & Peripherals,Laptop Accessories,Notebook Computer Stands,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Laptop Accessories', 'Notebook Computer Stands']","FOLDABLE, PORTABLE, LIGHTWEIGHT: The Carnation Laptop Stand has a thin, hard plastic frame. It can be easily folded and carried around. Durable enough to withstand the weight of up to 55 lbs (25kg). OPTIMIZED FOR AIR VENTILATION: To prevent your computer from overheating, the laptop stand has large cut-out vents and adjustable height options that allow air to circulate from all sides. Well vented. ADJUSTABLE HEIGHT 7 OPTIONS: Raise your laptop or tablet to any of seven adjustable heights from 2.7” to 6.7” so you can get a clearer, glare-free view while getting neck pain relief and preventing eye strain. PHONE STAND, and PURE ERGONOMICS: Easily share the screen with those next to you. No constant reaching for your phone anymore. This means fewer distractions, better concentration. The new meaning of Ergonomic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
