deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
116,"TheGiftKart Crystal Clear Realme 12 Plus 5G / Realme P1 5G / Narzo 70 5G / Narzo 70 Pro 5G Back Cover Case | 360 Degree Protection | Shock Proof Design | Transparent Back Case (PC & TPU, Black Bumper)",https://www.amazon.in/TheGiftKart-Crystal-Realme-Protection-Transparent/dp/B0CX227VRW/ref=sr_1_12?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-12,4.5,98,999,199,80,800,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","DESCRIPTION: TheGiftKart Cases & Covers fall into some of the most sought-after phone cases & covers in the market. These covers are manufactured with the use of Top-Grade material & technology resulting in products with impeccable finishing & quality. Premium Design Beautiful design, elegant appearance & powerful protection all combined in one rare cover. Minimalistic Design Retain the Original & Stunning look of your Smartphone with this Crystal Clear Bumper Back Case while having Necessary Protection from Drops and Impacts. Non-Yellowing Crystal Clear Back This Case features Crystal Clear Transparent Back which does not Turn Yellow with Time as only Top Grade Materials are used to Manufacture this Case. Powerful Protection Maximized Protection with Innovative Double Injected Bumper Corners with Integrated Shock-Absorption. Perfect Hand Grip Ergonomically Designed sides provide Perfect Hand Grip & a Confident Hold. Sleek & Light Design This Sleek Case is designed to provide highest protection while keeping Itself Sleek & Light. Perfect Fit Designed with absolute precision to give you the best fitting experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Wow Imagine Shock Proof Clear Protective Polycarbonate Back Case For Xiaomi Redmi 13C 5G|Poco M6 5G - Airedge Technology|360 Degree Camera Protection|Transparent Hybrid Back Case Mobile Cover - Black,https://www.amazon.in/Imagine-Shock-Protective-Polycarbonate-Xiaomi/dp/B0CP913GGF/ref=sr_1_22?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-22,4.4,78,999,199,80,800,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","Designed Exclusively For Xiaomi Redmi 13C 5G | Poco M6 5G - Hybrid AirEDGE technology fusing Superior Quality TPU Material and a durable Clear Transparent back panel SHOCK PROOF PROTECTION - Highly Protective Rugged Armor for Complete Protection of Mobile Frame and Screen from scratches, falls, and shocks. CAMERA and SCREEN PROTECTION - Raised bezels lift camera and screen off flat surfaces, protecting from scratches and scuff marks. Ultra slim, Flexible, light weight Anti Smudge PRECISE BUTTONS AND CUTOUTS - Pronounced buttons are easy to feel and press, while large cutouts for the charging port fits most cables. Supports bilateral wireless charging. FULL COMPATIBILITY - This Armour Back Case is designed and tested to be compatible with most screen protectors. Compatible with Redmi 13C 5G | Poco M6 5G case cover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,EGOTUDE Designed for iPhone 15 Case | Strong Magnet Camera Protection Translucent Matte Hard Back Cover Compatible with Mag-Safe (TPU+Polycarbonate | Frost Black),https://www.amazon.in/EGOTUDE-Protection-Translucent-Compatible-Polycarbonate/dp/B0CHJ7LVJ6/ref=sr_1_16?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-16,4.3,363,1999,464,77,1535,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","Egotude camera protection translucent case strongly attach to the charger magnetically. Once snap on, never sliding. Compatible with all accessories, such as wallet, ring holder and power bank. It is equipped with shock absorption Air corners technology, provided with perfect protection for your phone. The air technology bumper protects the phone from high falls (10 feet drop tested).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Mr. Case Liquid Silicone Case for Motorola Moto Edge 50 Pro 5G | Comfort Grip Soft Touch Matte TPU | - Black,https://www.amazon.in/Mr-Case-Motorola-Moto-Edge/dp/B0D1RHFCQ1/ref=sr_1_27?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-27,4.3,31,499,220,56,279,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","Mr. Case Introducing Environmental-friendly soft silicone material with no toxic, mild smell, Easy to grip and give you a comfortable touch feeling. Excellent Protection Soft skin protects your phone from accidental drops, bumps, dents, and scratches, Reduce the risk of any possible damage. Perfect Cut-out Precise cut-outs for speakers, camera, charging ports, audio ports and buttons. Easy access to all buttons and ports. Easy for Cleaning The protective shell is durable and washable, can be cleaned easily with water or wet cloth when it gets dirty. EASY ACCESS: This case gives your phone all-round protection. Also, it is highly strong and made up of tough material making it easy to remove & install, anti-fingerprint, anti-scratch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Golden Sand OnePlus 10R 5G Prime Edition Back Cover | Shockproof Slim Armor Rugged TPU Case for OnePlus 10R 5G Mobile (Sierra Black),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDE4NDY1NzA3Nzg3MTM4OjE3MTYwNTYwMDk6c3BfYXRmX2Jyb3dzZTozMDAxNDA0NTk5MzMxMzI6OjA6Og&url=%2FGolden-Sand-OnePlus-Tested-Aramid%2Fdp%2FB0B252VVCF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc%26dib_tag%3Dse%26qid%3D1716056009%26refinements%3Dp_72%253A1318476031%26rnid%3D1318475031%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,4.2,112,1199,599,50,600,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","For OnePlus 10R 5G Mobile Golden Sand introduces its Armor TPU Case With Anti Shock Corners. We have designed it after understanding the needs of customer who wants to provide great protection to his phone and make their phone stand out in the crowd by enhancing its looks. Armor & Slim Case: Golden Sand Oneplus 10r 5g back cover provides 360 degree protection to your device while maintaining its slim profile. Its unique Air Cushion Technology and shock proof corners make your phone impact resistant from all sides on a drop. Raised Lips for Camera and Screen: Oneplus 10r 5g mobile cover gives your phone an all round protection. Its intelligently designed upper lips extend over the sides of the phone to give an extra safety to your screen and camera on a fall and when kept down on a flat surface. Perfect Fit: Oneplus 10r 5g cover is made in mould designed especially for your phone model so it takes care for smallest details of your phone such as sensors, protruding camera, speakers etc.. Unique Brushed Silk & Carbon Fibre Texture: Every Oneplus 10r 5G Prime Edition back cover has Unique Smooth Silk Brushed Texture and carbon fibre with glossy accents on the back side to enhance the looks of your phone and make your phone stand out. Flexible, High Quality Material: Made up of high grade environment TPU materials that are non toxic & odour free to protect environment and also does not affect your health unlike other Cheap cases. Also, Oneplus 10r case is highly flexible and made up of tough material which is random deformation & tear free. Easy to remove & install, anti finger print, anti scratch & washable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,EGOTUDE Shockproof Transparent Hard Back Scratch Resistant Cover Case for iPhone 14 / iPhone 13 (Clear) (Polycarbonate),https://www.amazon.in/EGOTUDE-Shockproof-Transparent-Scratch-Resistant/dp/B0BDSZ3QJS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-15,4.2,927,1499,284,81,1215,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","Made from highest quality polycarbonate material, equipped with shock absorption Air corners technology, provided with perfect protection for your iPhone 14. The four buffed corners protect the phone from high falls ( 10 feet drop tested ) This clear case not only shows true color of your iPhone but also compliments your personal style, and protects your phone perfectly. A must have accessory by every iPhone 14 user. Lastly a Proud Indian Brand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"TheGiftKart TPU+PC Shockproof Crystal Clear Back Cover Case For Redmi 12 5G / Poco M6 Pro 5G | Protective Design | Transparent Back Cover Case for Redmi 12 5G / Poco M6 Pro 5G (PC & TPU, Black Bumper)",https://www.amazon.in/TheGiftKart-Shockproof-Crystal-Protective-Transparent/dp/B0CD44TCRD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-10,4.2,445,999,149,85,850,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","DESCRIPTION: TheGiftKart Cases & Covers fall into some of the most sought-after phone cases & covers in the market. These covers are manufactured with the use of Top-Grade material & technology resulting in products with impeccable finishing & quality. Premium Design Beautiful design, elegant appearance & powerful protection all combined in one rare cover. Minimalistic Design Retain the Original & Stunning look of your Smartphone with this Crystal Clear Bumper Back Case while having Necessary Protection from Drops and Impacts. Non-Yellowing Crystal Clear Back This Case features Crystal Clear Transparent Back which does not Turn Yellow with Time as only Top Grade Materials are used to Manufacture this Case. Powerful Protection Maximized Protection with Innovative Double Injected Bumper Corners with Integrated Shock-Absorption. Perfect Hand Grip Ergonomically Designed sides provide Perfect Hand Grip & a Confident Hold. Sleek & Light Design This Sleek Case is designed to provide highest protection while keeping Itself Sleek & Light. Perfect Fit Designed with absolute precision to give you the best fitting experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,TheGiftKart Shockproof Back Cover Case For Samsung Galaxy M34 5G/F34 5G|Raised Bumps For Camera&Screen Protection|Ultra Clear Soft Silicone Back Cover Case For Samsung M34 5G/F34 5G(Transparent),https://www.amazon.in/TheGiftKart-Shockproof-Protection-Silicone-Transparent/dp/B0CBSNBZYT/ref=sr_1_18?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-18,4.3,687,999,269,73,730,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","DESCRIPTION: TheGiftKart™ Cases & Covers fall into some of the most sought-after phone cases & covers in the market. These covers are manufactured with the use of Top-Grade material & technology resulting in products with impeccable finishing & quality. Premium Design Beautiful design, elegant appearance & powerful protection all combined in one rare cover. Minimalistic Design Retain the original look of your smartphone with Crystal Clear TPU Back Cover for effective protection from Drops and Impacts. Non Slip Side Grip Ergonomically designed with non slipping sides which provide perfect grip and corner protection. Scratch Resistant Anti Scratch coating is applied to prevent wear and tear from long term use. Powerful Protection Maximized Protection with the double injected ultra-protective clear cover & integrated shock-absorption. Slim & Sleek Design TheGiftKart™ Slim Fit Cover is designed to provide highest protection while keeping Itself slim & sleek (1.2 mm only). Perfect Fit Designed with absolute precision to give you best fitting experience. TheGiftKart™ Disclaimer: The picture/s used are for illustration purpose only. Actual product may vary slightly as per the respective phone model & design. Phone shown in the picture is not part of the sale offer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Spigen Essential Sand Crystal Back Cover Case Compatible with OnePlus 12R (TPU + Poly Carbonate | Matte Black),https://www.amazon.in/Spigen-Essential-Crystal-Compatible-Carbonate/dp/B0CW2Z4QJ1/ref=sr_1_25?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-25,4.7,20,1299,799,38,500,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","[Compatibility] Spigen Genuine Case Compatible with OnePlus 12R [Design] Unique sand texture design for optimal grip [Crystal Clarity] Crystal clear transparency, maintain your original phone design with clarity [Protection] Air cushion technology for all corner protection Raised screen edges and Camera Guard lens frame provide enhanced scratch protection [Perfect Fit] Exact fit, perfect cutouts with minimum bulk. All connections and buttons are easy to reach and easy to use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"TheGiftKart ShockProof Crystal Clear Back Cover Case for OnePlus Nord CE 4 5G | 360 Degree Protection | Protective Design | Transparent Back Cover Case for OnePlus Nord CE4 5G (PC & TPU, Black Bumper)",https://www.amazon.in/TheGiftKart-ShockProof-Protection-Protective-Transparent/dp/B0CZ9N57KC/ref=sr_1_24?dib=eyJ2IjoiMSJ9.pZU4IvXH3NlVQ7pKr1VnwTo1l9MUonJ3x9h9UWny8GHJ7ZbX2OPAil-NjiS7Px_jtX0xkd0-LpVGOU2m3g59TuAQkt9das3jApTQhi6t2d85eY9evdVNJe35adAihHMPOcLNwpftqzWcn3bivFYG9uaMUdh7tsa1dPIGxKVdO3yKUYzLGQvZ5I1aLICwGKP8O-rCr5bUW-RHvEyF_aE8-A1LTf5jo-KSXAgf9W9ixNYhHlJ8-jBf-YqbjRUjvOudc3wm8Rv39eF152IXg9TluqcZ3WKy5L-yIQB2b6XcjB8.FTVUvNEXTUQ6sFiSgvFi06OT1s4Jqh_B9j1GEQcb3Nc&dib_tag=se&qid=1716056009&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-24,4.7,22,999,199,80,800,[],Electronics,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Basic Cases,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Cases & Covers', 'Basic Cases']","DESCRIPTION: TheGiftKart Cases & Covers fall into some of the most sought-after phone cases & covers in the market. These covers are manufactured with the use of Top-Grade material & technology resulting in products with impeccable finishing & quality. Premium Design Beautiful design, elegant appearance & powerful protection all combined in one rare cover. Minimalistic Design Retain the Original & Stunning look of your Smartphone with this Crystal Clear Bumper Back Case while having Necessary Protection from Drops and Impacts. Non-Yellowing Crystal Clear Back This Case features Crystal Clear Transparent Back which does not Turn Yellow with Time as only Top Grade Materials are used to Manufacture this Case. Powerful Protection Maximized Protection with Innovative Double Injected Bumper Corners with Integrated Shock-Absorption. Perfect Hand Grip Ergonomically Designed sides provide Perfect Hand Grip & a Confident Hold. Sleek & Light Design This Sleek Case is designed to provide highest protection while keeping Itself Sleek & Light. Perfect Fit Designed with absolute precision to give you the best fitting experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
