deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
453,"AMD Ryzen™ 5 5600G Desktop Processor (6-core/12-thread, 19MB Cache, up to 4.4 GHz max Boost) with Radeon™ Graphics",https://www.amazon.in/AMD-5600G-Processor-12-thread-RadeonTM/dp/B092L9GF5N/ref=sr_1_16?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-16,4.5,17238,24000,15499,35,8501,"['Upto ₹697.88 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹697.88 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Components,Processors,,,,,"['Computers & Accessories', 'Components', 'Processors']","AMD Ryzen 5 5600G Desktop Processor (6-core/12-thread, 19MB cache, up to 4.4 GHz max boost) with Radeon Graphics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,AMD Ryzen 3 3200G with RadeonVega 8 Graphics Desktop Processor 4 Cores up to 4GHz 6MB Cache Socket AM4 (YD320GC5FHBOX),https://www.amazon.in/AMD-RyzenTM-3200G-RadeonTM-Graphics/dp/B07STGHZK8/ref=sr_1_11?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-11,4.5,9391,13500,5990,56,7510,"['Upto ₹269.74 EMI interest savings on select Credit CardsUpto ₹269.74 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Components,Processors,,,,,"['Computers & Accessories', 'Components', 'Processors']","4 Cores & 4 Threads Base Clock: 3.6GHz, Max Boost Clock: up to 4GHz, 6MB Cache, TDP: 65W System Memory Specification: 2933MHz, System Memory Type: DDR4, Memory Channels: 2 Socket: AM4, Motherboard Compatibility: AMD 300, 400,serles chipset based motherboards Graphics: AMD Radeon Vega 8 Graphics, Heatsink Fan: Wraith Stealth, Warranty: 3 Years 3 Years Brand Warranty. For all performance-related issues in: AMD Processor: Please reach out via AMD brand home page > Drivers & Support > Customer Support (Technical & Warranty help) > Contact Support > Online Service Request In case you are not satisfied the resolution provided by the above brands, please reach back to Amazon Customer service for next steps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,AMD 5000 Series Ryzen 7 5700X Desktop Processor 8 cores 16 Threads 36 MB Cache 3.4 GHz Upto 4.6 GHz Socket AM4 500 Series Chipset (100-100000926WOF),https://www.amazon.in/AMD-Ryzen-5700X-Processor-100-100000926WOF/dp/B09VCHQHZ6/ref=sr_1_24?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-24,4.7,5768,40650,25499,37,15151,"['Upto ₹1,148.21 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,148.21 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Components,Processors,,,,,"['Computers & Accessories', 'Components', 'Processors']",AMD 5000 Series Ryzen 5 5700X Desktop Processor 8 cores 16 Threads 36 MB Cache 3.4 GHz Upto 4.6 GHz AM4 Socket 500 Series Chipset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,"Zotac Gaming Ge Force RTX 3060 Twin Edge GDDR6 12GB 192 Bit PCIe 3.0 PCI_E_X16 with Ice Storm 2.0 Cooling, 1777 Mhz Boost Clock & 5 Years Warranty (3 Years Warranty + 2 Years Extended Warranty)",https://www.amazon.in/Zotac-GDDR6-pci_Express_x16-Gaming-GEFORCE/dp/B08WRF18SC/ref=sr_1_21?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.6,323,44400,25862,42,18538,"['Upto ₹2,000.00 discount on select Credit Cards, select Debit CardsUpto ₹2,000.00 discount on select Credit Cards, selec…', 'Upto ₹1,164.55 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,164.55 EMI interest savings on Amazon Pay ICICI…', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Components,Graphics Cards,,,,,"['Computers & Accessories', 'Components', 'Graphics Cards']","Engineered using the latest technology, the product scores high on the aspect of functionality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,AMD Ryzen 5 3600 Desktop Processor 6 Cores up to 4.2 GHz 35MB Cache Socket AM4 (100-000000031),https://www.amazon.in/AMD-Ryzen-3600-Processor-100000031BOX/dp/B07STGGQ18/ref=sr_1_23?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-23,4.5,42789,17500,12499,29,5001,"['Upto ₹562.79 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹562.79 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Components,Processors,,,,,"['Computers & Accessories', 'Components', 'Processors']","Socket: AM4, Motherboard Compatibility: AMD 300, 400, 500 serles chipset based motherboards+ +Graphics: Separate Graphics Card is required, Heatsink Fan: Wraith Stealth, Warranty: 3 Years+ +For performance or compatibility related issues customers will have to reach out to AMD's technical support. For more details, + +Base Clock: 3.6GHz, Max Boost Clock: up to 4.2GHz, 35MB Cache, TDP: 95W. Platform : Boxed Processor+ +6 Cores & 12 Threads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,"Intel Core I5 12400F 12 Gen Generation Desktop Pc Processor 6, CPU with 18Mb Cache and Up to 4.40 Ghz Clock Speed Ddr5 and Ddr4 Ram Support Lga 1700 Socket, Micro ATX",https://www.amazon.in/Intel-Generation-Desktop-Processor-Warranty/dp/B09MDFH5HY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-8,4.6,2179,29999,11490,62,18509,"['Upto ₹517.38 EMI interest savings on select Credit CardsUpto ₹517.38 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Components,Processors,,,,,"['Computers & Accessories', 'Components', 'Processors']",Intel Core i5 12400F 12 Gen Generation Desktop PC Processor CPU with 18MB Cache and up to 4.40 GHz Clock Speed 3 Years Warranty with Fan DDR5 and DDR4 RAM Support LGA 1700 Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Consistent 8GB DDR3 1600MHz Desktop RAM (Memory) U-DIMM | Long-DIMM | DT PC3-1600 Single Channel Memory with 3 Years Manufacturer Warranty (Made in India),https://www.amazon.in/Consistent-8GB-DDR3-Desktop-1600MHz/dp/B08FCL4XKM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-4,4,2399,4499,747,83,3752,[],Computers & Accessories,Components,Memory,,,,,"['Computers & Accessories', 'Components', 'Memory']",Consistent 8GB DDR3 1600MHz Desktop RAM (Memory) U-DIMM | Long-DIMM | DT PC3-1600 Single Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,EVM 128GB SSD - 2.5 Inch SATA Solid-State Drive - Faster Boot-Up and Load Times with Read Speeds up to 550MB/s & Write Speeds up to 500MB/s - High-Performance Storage (EVM25/128GB),https://www.amazon.in/EVM-128GB-SSD-Solid-State-Warranty/dp/B09W32N5NG/ref=sr_1_21?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.3,1255,2499,1052,58,1447,[],Computers & Accessories,Components,Internal Solid State Drives,,,,,"['Computers & Accessories', 'Components', 'Internal Solid State Drives']","EVM Internal SSD 3D TLC NAND Flash Fast Performance, Ultra Low Power Consumption 2.5 Inch SATA SSD (EVM25/128GB", Black," 128GB)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,"Crucial Basics 8GB DDR4 1.2v 2666Mhz CL19 SODIMM RAM Memory Module for Laptops and Notebooks, Green",https://www.amazon.in/Crucial-Basics-2666Mhz-Laptops-Notebooks/dp/B08BC2V71W/ref=sr_1_12?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-12,4.5,2670,2200,1486,32,714,[],Computers & Accessories,Components,Memory,,,,,"['Computers & Accessories', 'Components', 'Memory']","The DDR4 RAM is rated at 1.2V and has a latency of CL19. It can operate at a max of 2666MT/s. A memory upgrade should enable you to load programs faster, improve responsiveness of your laptop and offer smooth multitasking and running data-intensive applications. You will also see great improvements in even simpler, yet important process of working with Web-browsers and spread sheets. The RAM is tested to be of service to you for a long time and comes with 10 Year limited lifetime warranty from Crucial offering you the safety and protecting your investment. In an unlikely case of product quality related issue, we may ask you to reach out to brand’s customer service support and seek resolution. We will require brand proof of issue to process replacement request.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Ant Esports 690 NEO VS 8GB (1 * 8GB) DDR3 1600 MHz CL 11-11-11-28 U-DIMM Desktop Memory - AE8GD3U16M16C,https://www.amazon.in/Ant-Esports-11-11-11-28-U-DIMM-Desktop/dp/B0BDFMNW81/ref=sr_1_14?dib=eyJ2IjoiMSJ9.cORWxGyXC-7Syt3tgSEkedy-J1UrRI50H6IHq-ldsnaHfTo8k42ANCOqSjYkhqseSBjoh5klIPaqJrMc4aiW2OyiMMZAlDSCH8JKwtReabRYsZYwDCc1eQU9G1vZeU17IG--cECImdY7YLdRH9ua7pybTmNOPJYTHPTmV_Y8z4BGZSs9ceS1ejvLZiC5Kj6kNA56mqrPIJrdRenMdueWGG2mJ4bfEDqimPt1b2-LdllVOiFU4ReBOqxtDgorN4wMlMExuDM2rYh8xQ4cyf1T4E9wETHb6VD5pm1uDqLrSnE.9epeJqxOthZn8D7jthsKJlBTedUrdpBwzhsrPto2sfI&dib_tag=se&qid=1716318697&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-14,4.3,1176,2999,805,73,2194,[],Computers & Accessories,Components,Memory,,,,,"['Computers & Accessories', 'Components', 'Memory']","8GB DDR3 Desktop Memory RAM. 1600Mhz/ PC3-12800 (1600Mhz)/ 11-11-11-28/ CL11. UDIMM Desktop RAM. Compatible with Intel 4000 Series, AMD FX Series. 1.5V operating voltages enable stable overclocking. 3 Year Brand Warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
