deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
60,"HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fa1226TX Gaming Laptop  (15.6 inch, Performance Blue, 2.3 Kg)",https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1226tx-gaming-laptop/p/itma50f4630abc9a?pid=COMHY8KVEKZVERUA&lid=LSTCOMHY8KVEKZVERUADILR5M&marketplace=FLIPKART&store=b5g&srno=b_1_26&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMHY8KVEKZVERUA.SEARCH&ssid=86d52n22eo0000001716053444863,4.8,5,72718,54990,24,17728,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 24% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']","Maximum Performance, Ultimate GameplayRealistic GraphicsDive into Clarity, Embrace VictoryFeel the Chill, Crush the GameSpeed to Conquer, Space to DominateVoice of Success, Loud and ClearCharge Less, Win MoreSeamless GamingSmooth KeystrokesXbox Game PassStep Up, Choose Planet","[{'rating': '5', 'comment_text': 'I like this laptop. But the sound volume is some kind of low and the battery drains quickly. But beyond this that is an awesome laptop for gaming and designing purposes.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2212AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-laptop-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2212au-thin-light/p/itmedd9f415e3db2?pid=COMGHAGN3U9FJH39&lid=LSTCOMGHAGN3U9FJH399DGAOY&marketplace=FLIPKART&store=b5g&srno=b_1_12&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGHAGN3U9FJH39.SEARCH&ssid=86d52n22eo0000001716053444863,4.3,3622,44783,31700,29,13083,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 10% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",Windows 11 PreinstalledLife-like DisplayRobust ProcessorPowerful MemoryIntegrated 4G ConfigurationExtensive Battery LifeEasy to Carry,"[{'rating': '5', 'comment_text': Its around 4 months I am using this laptop "," It is working very smooth. I have build amy first website through this laptop. My devlopment experience is too good . Don't thing too much . Just buy it and start your learning. I thing most important thing is our time. Don't waste time on overthinking'. Thanks and sorry for my bad english. P.S : I am a 1st year engineering student from West Bengal :)READ MORE""}", {'rating': '5', 'comment_text': 'Excellent Laptop Powerful Processor Excellent Look with Backlit Very Smooth. HD Camera, Good Speakers quality and sound light weight Battery mind blowing.All Preloaded softwares. Overall SatisfiedREAD MORE'}, {'rating': '4', 'comment_text': 'Great product in this range you can go for it.READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '5'," 'comment_text': ""After 12 days of heavy usage", I am writing this review. Overall the performance of this laptop really is beyond expectation. The new ryzen 3 5300U processor is really a power efficient processor. The battery backup is exceptional. Despite all the negative feedback of windows 11, I have not faced any major bugs," yeah sometime the control centre doesn't pop up correctly.And the SSD also does it's job perfectly. It boots within 6 seconds. The price of this laptop is getting high every week. Ins...READ MORE""}", {'rating': '4', 'comment_text': 'Im quite satisfied with the product. In performance its good obviously its rayzen 3 5300u the top variant of the processor. Display is also good (mine is with IPS). Backlit is good. The silver color on laptop is worrying thing, on which scratching is started to get. Overall its an excellent device at this price point.READ MORE'}, {'rating': '5', 'comment_text': 'absolutely fantastic 🥰🥰🥰🥰READ MORE'}, {'rating': '4', 'comment_text': 'Very nice product.perfomence wise all good.ameging battery.very good sound speakers.awesome blacklit keyboard. Superb display.under 40k blindly go for this.value for money.READ MORE'}, {'rating': '5', 'comment_text': 'Great deal under 45k....go for itREAD MORE'}, {'rating': '5'," 'comment_text': ""From 5 days I'm using this laptop", performance is very good but only the thing is that battery stucks at 99%, battery is not charging 100%," what to do now??READ MORE""}]""",,,,,,,,
67,"HP Chromebook (2024) MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook  (11.6 Inch, Black, 1.34 Kg)",https://www.flipkart.com/hp-chromebook-2024-mediatek-mt8183-4-gb-32-gb-emmc-storage-chrome-os-11mk-g9/p/itmddd538185ba9e?pid=COMGZFFXXHNVC5A5&lid=LSTCOMGZFFXXHNVC5A5HQK9UJ&marketplace=FLIPKART&store=b5g&srno=b_1_3&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGZFFXXHNVC5A5.SEARCH&ssid=86d52n22eo0000001716053444863,3.8,3650,34554,11990,65,22564,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '4', 'comment_text': 'Having used this device for about 10 days, the difference between a smartphone and a laptop gets even more blurred! This is not a power workhorse machine and it is not designed to be one. But it sure is a great asset for simple daily activities such as surfing, emailing and some conferencing from home. Display is so-so and hence if that is important for you, then advise to go for a higher end laptop. But for this price point this is a very good buy. If you need the experience of your Android ...READ MORE'}, {'rating': '4', 'comment_text': 'Nice!READ MORE'}, {'rating': '5', 'comment_text': 'I love HP Chromebook. Best Value of money 😎READ MORE'}, {'rating': '5', 'comment_text': 'i loved it, superb performance, awesome battery and touch is just wow.. this is a complete package, design is also premium and build is also premium, loved it ....READ MORE'}, {'rating': '4', 'comment_text': Received it yesterday. It has a 100% plastic body. Touchscreen works well. Touchpad is also great. Boots in seconds. It has a port for USB type-A where you should be able to insert a harddisk/pendrive or any USB device", but unfortunately you'll have to do that forcefully as the port is very tigh/small for those devices. It has a USB type-C port, a 3.5 mm audio jack and a slot for memory card. I have used it for around 9 hours and approx. 50% battery is used. It has 64 GB RAM," the OS occupie...READ MORE""}", {'rating': '5', 'comment_text': 'Best laptop for this price rangeIt supports google playstore application onlyWindows software will not supportBoot time was fastEasy to access application like android phoneI got 64 GB emmc storage - out of 64 GB only 45 GB will get for storage purposeIps display was good and night mode also availableI can able to play video 1080p without lagging or struckREAD MORE'}, {'rating': '3', 'comment_text': 'All good but bluetooth not working and swith on automatically want to replace thank uREAD MORE'}, {'rating': '3', 'comment_text': 'Battery life was too good,Display and working also good,But small in size.Sound quality is ok than i expected.Weight less easy to carryOver all Good. I have worked this product for almost one month i really like it.Use for students.READ MORE'}, {'rating': '5', 'comment_text': 'Awesome product from hp best for studentsREAD MORE'}, {'rating': '5'," 'comment_text': 'An amazing device especially for high & smooth performance. Online classes goes well.. Touch & type makes it more effective & efficient. Worth buying :)READ MORE'}]""",,,,,,,,,,,,,,,,,,,,
78,"HP 360 Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook  (14 Inch, Forest Teal, 1.49 Kg)",https://www.flipkart.com/hp-360-intel-celeron-quad-core-n4120-4-gb-64-gb-emmc-storage-chrome-os-14a-ca0504tu-chromebook/p/itm786e711f402fa?pid=COMGBHKF9E65BFZP&lid=LSTCOMGBHKF9E65BFZP5UAU9E&marketplace=FLIPKART&store=b5g&srno=b_1_37&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGBHKF9E65BFZP.SEARCH&ssid=86d52n22eo0000001716053444863,4,1003,31156,19990,35,11166,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 21% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '4', 'comment_text': 'Best in the market .READ MORE'}, {'rating': '5', 'comment_text': 'Satisfactory and equipped enough to work out almost every taskREAD MORE'}, {'rating': '3', 'comment_text': 'Very good and I am fully satisfiedREAD MORE'}, {'rating': '4', 'comment_text': 'Nice 👍👍👍READ MORE'}, {'rating': '5', 'comment_text': 'I was completely satisfied with the product but the only issue i was facing is There is no sd card slot in this model So if u are a guy looking to extend your storage using sd card This model is not for you 😞READ MORE'}, {'rating': '3', 'comment_text': 'Nice work home jobREAD MORE'}, {'rating': '4', 'comment_text': It's a good product for students with basic learning and programming.READ MORE""}", {'rating': '4'," 'comment_text': ""Good product in this budget range", only some minor issues that I would like to point out.No port for HDMI cable so cannot connect directly to tv need to buy seperate cord for that.Cannot transfer data from laptop to Chromebook using type c slot with USB cable.Cannot install any modded applications easily unlike Android phones.Product is sturdy and has rich finish," very useful for students from high school to bachelor's students but not for engineering students.READ MORE""}", {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '5'," 'comment_text': ""The best for students. I have another hp pavilion gaming and the performance is kinda similar when you're opening too many chrome tabs and using basic apps. The pavilion is better only when you're doing coding and gaming. But if you're just using for meet and browsing and content consumption. This is more than adequate.READ MORE""}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"HP 15s Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows 11 Home) 15s-fq2626TU Thin and Light Laptop  (15.6 inch, Jet Black, 1.69 kg, With MS Office)",https://www.flipkart.com/hp-15s-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-15s-fq2626tu-thin-light-laptop/p/itm1051f28c6fb93?pid=COMGBH9JHSDZJV9R&lid=LSTCOMGBH9JHSDZJV9R31JLKM&marketplace=FLIPKART&store=b5g&srno=b_1_14&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGBH9JHSDZJV9R.SEARCH&ssid=86d52n22eo0000001716053444863,4.4,87,48399,36100,25,12299,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 5% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '5', 'comment_text': 'Very Good laptop thankyou flipkartREAD MORE'}, {'rating': '5', 'comment_text': 'Very nice performance 👌READ MORE'}, {'rating': '4', 'comment_text': 'Very good one productREAD MORE'}, {'rating': '3', 'comment_text': 'good productREAD MORE'}, {'rating': '4', 'comment_text': 'Nice PerformanceREAD MORE'}, {'rating': '4', 'comment_text': 'nice productREAD MORE'}, {'rating': '5', 'comment_text': 'Nice in this PriceREAD MORE'}, {'rating': '5', 'comment_text': 'I love it ❣️READ MORE'}, {'rating': '5', 'comment_text': 'Very Nice ProductREAD MORE'}, {'rating': '4', 'comment_text': 'good laptop for normal work.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 Kg)",https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-thin-light-laptop/p/itmbce8d29322f8a?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWME0SEXN&marketplace=FLIPKART&store=b5g&srno=b_1_25&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGXNZGJV3MEMWM.SEARCH&ssid=86d52n22eo0000001716053444863,4.2,1225,68223,56490,17,11733,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 17% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '5', 'comment_text': 'Good for Administrative workREAD MORE'}, {'rating': '4', 'comment_text': 'Almost good performance, design but touch pad and battery back up not good.READ MORE'}, {'rating': '5', 'comment_text': 'The product is stilish and worth of costREAD MORE'}, {'rating': '4', 'comment_text': 'Amazing oneREAD MORE'}, {'rating': '4', 'comment_text': 'Amazing product from HP...Value for Money💰👍.READ MORE'}, {'rating': '5', 'comment_text': 'Nice loptop.Design is good.Performance is also good.Battery pack up is less and needed to improve.Hp laptop is good for students and coding students.Value for money.Satisfied.READ MORE'}, {'rating': '5', 'comment_text': 'Very good Laptop and value for money. Delivery was very fast, thanks a lot to Flipkart.READ MORE'}, {'rating': '5', 'comment_text': 'It was good purchaseREAD MORE'}, {'rating': '3', 'comment_text': 'Nice productREAD MORE'}, {'rating': '5', 'comment_text': 'I love HP laptop 💻 ❤️READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop  (15.6 Inch, Black, 1.74 Kg)",https://www.flipkart.com/hp-255-g9-amd-ryzen-3-dual-core-r3-3250-8-gb-512-gb-ssd-windows-11-home-g8-business-laptop/p/itm9015dcea94ace?pid=COMGNFU7MHGWNHHA&lid=LSTCOMGNFU7MHGWNHHAOLIHEI&marketplace=FLIPKART&store=b5g&srno=b_1_40&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGNFU7MHGWNHHA.SEARCH&ssid=86d52n22eo0000001716053444863,4.1,307,39999,25680,35,14319,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 19% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '3', 'comment_text': It's not Quad core ","it's a 2core and 2 thread processor by Ryzen .... Rest features are as per the advertisementSo plz don't advertise it as a Quad core (4 core)READ MORE""}", {'rating': '4', 'comment_text': 'Nice productREAD MORE'}, {'rating': '5', 'comment_text': 'Product is very goodREAD MORE'}, {'rating': '5', 'comment_text': 'Nice productREAD MORE'}, {'rating': '5', 'comment_text': 'AmazingREAD MORE'}, {'rating': '5', 'comment_text': 'Very niceREAD MORE'}, {'rating': '4', 'comment_text': 'Awesome one of best item in best selling price...picture quality.features and configuration are very good..READ MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '4', 'comment_text': 'Happy value 4moneyREAD MORE'}, {'rating': '4'," 'comment_text': 'Nice 👍READ MORE'}]""",,,,,,,,,,,,,,,,
91,"HP 2023 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-2023-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWSIWM8I&marketplace=FLIPKART&store=b5g&srno=b_1_32&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGZNSBS7Z959EW.SEARCH&ssid=86d52n22eo0000001716053444863,4.2,1225,70822,52490,25,18332,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 20% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '5', 'comment_text': 'Good for Administrative workREAD MORE'}, {'rating': '4', 'comment_text': 'Almost good performance, design but touch pad and battery back up not good.READ MORE'}, {'rating': '5', 'comment_text': 'The product is stilish and worth of costREAD MORE'}, {'rating': '4', 'comment_text': 'Amazing oneREAD MORE'}, {'rating': '4', 'comment_text': 'Amazing product from HP...Value for Money💰👍.READ MORE'}, {'rating': '5', 'comment_text': 'Nice loptop.Design is good.Performance is also good.Battery pack up is less and needed to improve.Hp laptop is good for students and coding students.Value for money.Satisfied.READ MORE'}, {'rating': '5', 'comment_text': 'Very good Laptop and value for money. Delivery was very fast, thanks a lot to Flipkart.READ MORE'}, {'rating': '5', 'comment_text': 'It was good purchaseREAD MORE'}, {'rating': '3', 'comment_text': 'Nice productREAD MORE'}, {'rating': '5', 'comment_text': 'I love HP laptop 💻 ❤️READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.59 kg)",https://www.flipkart.com/hp-laptop-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-15-fd0186tu-thin-light/p/itm4fc6159aa1303?pid=COMHY9G672HKDZHB&lid=LSTCOMHY9G672HKDZHB92AOD1&marketplace=FLIPKART&store=b5g&srno=b_1_20&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMHY9G672HKDZHB.SEARCH&ssid=86d52n22eo0000001716053444863,4.2,147,53267,39990,24,13277,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 24% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '4', 'comment_text': 'Bought is this monthWorks smoothly and fast till now.Display is too good and so is the sound qualityREAD MORE'}, {'rating': '5', 'comment_text': 'Nice product 🤩👿READ MORE'}, {'rating': '4', 'comment_text': 'Nice product, at this price ,Battery almost 4 hours, charging 1.5 hours fast charging, Performance overall goodREAD MORE'}, {'rating': '5', 'comment_text': 'Good performanceREAD MORE'}, {'rating': '4', 'comment_text': 'Smoth and fast working nice laptop 😊👌READ MORE'}, {'rating': '5', 'comment_text': It's to much good value of moneyREAD MORE""}", {'rating': '5', 'comment_text': 'This laptop comes with ssd which makes it a beast. boot up time is very fast. This laptop also comes with ms office which is a life saver for a student like me.if you are thinking of buying it just for it you gonna love this productREAD MORE'}, {'rating': '4', 'comment_text': 'Everything is nice about this laptop. The only thing that I wanted was the backlit feature. They should have offered it as it is very convenient.READ MORE'}, {'rating': '5', 'comment_text': 'Amazing productREAD MORE'}, {'rating': '2'," 'comment_text': 'An average productREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)",https://www.flipkart.com/hp-15s-fq5007tu-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fq5327tu-thin-light-laptop/p/itm0a728a69a5520?pid=COMGYHP5MCEYZHSV&lid=LSTCOMGYHP5MCEYZHSVSRCXZV&marketplace=FLIPKART&store=b5g&srno=b_1_8&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGYHP5MCEYZHSV.SEARCH&ssid=86d52n22eo0000001716053444863,4.2,4586,51134,39990,21,11144,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '4', 'comment_text': Good laptop it's my first laptop very impressiveBut battery backup only long for 5 hours for normal task.READ MORE""}", {'rating': '5', 'comment_text': 'Hp brand🔥 , performance even beat i5 10 gen laptop .one of the best laptop under this price segment .Built quality amazingREAD MORE'}, {'rating': '4', 'comment_text': 'Performance of this Laptop is amazing. Good work done by Hp. Launching time of every Software is taking very small time. Bootup time like 15 secondI feel like never before with Laptop.Windows 11 is also crystal clear and user friendly experience.So many thanks to Flipkart for safe & Secure Delivery by ekart.I am so Happy with this product.READ MORE'}, {'rating': '5', 'comment_text': 'Amazing product thanks flipkartREAD MORE'}, {'rating': '5', 'comment_text': 'The best when it comes to the performance 😉 and display 😉 but the down side is the battery and sound ..... I received the SK hynix Ram and SSD version .... Storage Speed is mind-boggling..READ MORE'}, {'rating': '5', 'comment_text': 'Best Laptop For Students , Coding , Performance in budget, Business , Casual Gaming ..READ MORE'}, {'rating': '5', 'comment_text': 'Awesome laptop go for itREAD MORE'}, {'rating': '5', 'comment_text': 'Must buyREAD MORE'}, {'rating': '3', 'comment_text': 'good laptop. fast processor. LAN port missing so may be issue those who want to connect ethernet. very disappoint with ekart delivery.READ MORE'}, {'rating': '5', 'comment_text': 'Laptop performace,Design everything is very good except Battery Backup," full Battery (with use or without use)is not giving more than 3 hrs Back up. Hp need to focus on Battery Backup issue.READ MORE'}]""",,,,,,,,,,
