deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
254,"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible with Laser and Optical Mice(Universe Black)",https://www.amazon.in/STRIFF-230X190X3mm-Waterproof-Premium-Textured-Compatible/dp/B0B9LDCX89/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.4,12375,999,97,90,902,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Keyboard & Mice Accessories,Mouse Pads,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Keyboard & Mice Accessories', 'Mouse Pads']","9.4 Inches X 7.9 Inches) 240mm x 200mm x 2mm Size: This mouse pad is ideal for Gamers, Graphic Designers, Students, or anyone using mouse for long sessions. This helps to improve the gaming experience for gamers or the work efficiency in the office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-14,4.3,73446,895,595,34,300,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']","The Logitech B170 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design. This wireless mouse offers an excellent 10 meters reliable wireless range along with 1000 dpi. You can easily pair it with your system by just plugging in a tiny wireless receiver into the USB slot. This wireless mouse works on the latest 2.4 GHz wireless technology and offers universal compatibility with Windows, Mac OS and Chrome OS. Battery Type: AA+. Specification: Dimensions: Mouse (height x width x depth): 97.7 mm (3.85 in) x 61.5 mm (2.42 in) x 35.2 mm (1.39 in) Mouse Weight: 70.5 g (2.49 oz) with battery Nano receiver (height x width x depth): 6.6 mm (0.24 in) x 14.4 mm (0.57 in) x 18.7 mm (0.74 in) Nano receiver Weight: 2.0 g (0.07 oz) System Requirements: Windows 7, Windows 8, Windows 10 or later Mac OS X 10.8 or later Chrome OS Linux kernel 2.6+ USB port Technical Specifications: Connection Type: 2.4 Ghz wireless Wireless range: 10 m (33 ft) Battery: 1 x AA Battery life: 1 year Required: available USB port, Windows 7, 8, 10 or later, macOS 10.5 or later, Chrome OS, Linux Kernel 2.6+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-5,4,12253,599,296,51,303,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']","[WIRELESS FREEDOM] - Enjoy up to a 10-meter wireless connection with the Toad 23 wireless mouse’s tiny plug-and-forget wireless receiver. No software or driver installation needed. The mouse automatically connects to your computer system. It is ready to go when you are. [CARRY IT ANYWHERE, EVERYWHERE] - Portronics Toad 23 Wireless Optical Mouse is the perfect accessory for those who travel for work, executives who give presentations, or anyone who wants greater control and freedom. With its compact design, it easily fits in pockets. [ERGONOMIC DESIGN] - Designed to keep either hand comfortable. With the click wheel, Toad 23 becomes easier to use with a third click button at your disposal. [HIGH-SPEED OPTICAL MOUSE] - The 2.4 GHz operating speed of this wireless mouse sends quick signals to the device. With the button to adjust DPI resolution, now adjust your mouse sensitivity as per your requirement. [30 LAKHS+ CLICKS] - Once you buy Toad 23 Wireless Optical Mouse, you don’t need to worry about its durability. With a life of over 30 lakhs clicks, this wireless mouse is highly durable and delivers optimal work quality to the users.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)",https://www.amazon.in/Zebronics-Zeb-Jaguar-Wireless-Precision-Ambidextrous/dp/B098JYT4SY/ref=sr_1_20?dib=eyJ2IjoiMSJ9.WY0xWM_dQyk_23460-SK_Nmz3SXe1VQbEMSWJB9dkjB79oZ665KNLI-Q6aZO1i6tgX9khsOB-nsEnEOsR99krqnx6rvcBfvQ9v4CfaZRTErCcRUN7nyWVml3UlQaUvmnvBEuq3dd_7w0U6fHFp2A7uR80I2YM_AkCsDqvP9ZgZPC5tp8aEc2Rchp0StkqUT-E7_oyO9Q5FUsc2lWoSZb1PlqLzSozFgTB5AoZh2rYu8G6lbz5hiDdRT-yS0X7TaWt1bCpDdLiXIngsFOc83LR3lBsQ5GdEuKupMlT0toiUI.UtUwb6DMfhb3mviJmjy9gr9R2Klnp5G8PuzZwNKhF8U&dib_tag=se&qid=1716140884&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4.1,6291,1190,299,75,891,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']","Enjoy seamless connectivity with 2.4GHz, Plug & Play 4 Buttons: Left Click, Right Click, Middle Click (H7 Wheel), DPI Button High Precision Sensor with 1600 DPI for smooth cursor movements Comes with USB Nano Receiver (Note: USB receiver will be provided inside battery slot or along with the mouse)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,"Portronics Ruffpad 8.5E Re-Writable LCD Writing Pad with Screen 21.5cm (8.5-inch) for Drawing, Playing, Handwriting Gifts for Kids & Adults, India's first notepad to save and share your child's first creatives via Ruffpad app on your Smartphone(Black)",https://www.amazon.in/Portronics-Ruffpad-Re-Writable-8-5-inch-Handwriting/dp/B09GF6JBZN/ref=sr_1_19?dib=eyJ2IjoiMSJ9.exNjPi6iJWo3of5N7l8R5SXkEi0cFXKmwtqFChTpjpWZXGku6B0pSO6_SmVb4naGZgdiETllWaEo2FdNpQdIvUhdd1Cyy5qfbLGFzgN__iNrzx0hzyTWFlqqg8-rIeNR9Hi0qNT-yIYs9irhABZOIAcM51EkmHtEnEDZz_lmHZxmvZ-2yVvtB5NMdegUGNibFBBx2_XvAun77KDFXnoYJ3Vl_5FfIoMsZo9m841AwJlBNiaBTFRwdb5YBI7VWE-ZvvuSoi6OO4lz5tHeLwe3iwBVo3B-WIiHA1L3jdppnI0.O0vW0fGnR2JIqHCB1J-JAV6_Mw9vNABuMN_64A-74kA&dib_tag=se&qid=1716231289&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-19,4,9847,799,199,75,600,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Graphic Tablets,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Graphic Tablets']","[LATEST IMPROVED TECHNOLOGY] : Portronics New RuffPad 8.5E LCD Writing Tablet uses the Newest LCD pressure-sensitive technology and lets you draw thick and thin lines as per your preference based on the pressure on the stylus. It comes with a large 8.5 inches display. The LCD screen is totally safe, radiation free, glare free, non-toxic, light-weight, comfortable and perfect in your or your little one’s hands. [REUSABLE & ENVIRONMENT FRIENDLY] : The RuffPad 8.5E lets you do your bit for the environment by saving paper, pencils and erasers but it does not make you compromise on your creativity. The RuffPad 8.5E is erasable and re-usable making it the ideal tool for you or your child to harness their creative self. Use it to cultivate children's writing and painting ability and interests. It’s simple one-button clear command helps you erase and re-write over 100,000 times. [LOCK FUNCTION] : RuffPad 8.5E comes with and Anti-Erase Lock button that helps you save your or your child’s precious creations and prevents accidental deletion of your written / drawn contents or drafts. [SAVE YOUR DOODLES] : Keep creating and saving your doodles on your smartphone with the Ruffpad available in the IOS and Android stores to look at your notes and doodles from your smartphones. [GREAT FOR ALL AGES] : RuffPad 8.5E can be put to multiple uses no matter who you are. It is a must have for kids, designers, office goers and is ideal for gifting. Children can use it for writing, arithmetic, spellings or to learn to draw and doodle. Adults can use it to take notes and memorize important information in office. Designers can use it to save their ideas and drafts, no matter where they are.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Charcoal Grey",https://www.amazon.in/Logitech-Silent-Wireless-Mouse-Charcoal/dp/B01M72LILF/ref=sr_1_23?dib=eyJ2IjoiMSJ9.exNjPi6iJWo3of5N7l8R5SXkEi0cFXKmwtqFChTpjpWZXGku6B0pSO6_SmVb4naGZgdiETllWaEo2FdNpQdIvUhdd1Cyy5qfbLGFzgN__iNrzx0hzyTWFlqqg8-rIeNR9Hi0qNT-yIYs9irhABZOIAcM51EkmHtEnEDZz_lmHZxmvZ-2yVvtB5NMdegUGNibFBBx2_XvAun77KDFXnoYJ3Vl_5FfIoMsZo9m841AwJlBNiaBTFRwdb5YBI7VWE-ZvvuSoi6OO4lz5tHeLwe3iwBVo3B-WIiHA1L3jdppnI0.O0vW0fGnR2JIqHCB1J-JAV6_Mw9vNABuMN_64A-74kA&dib_tag=se&qid=1716231289&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-23,4.3,40445,1295,799,38,496,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']","Ultra-quiet mouse with 90% reduced click sound and same click feel eliminates noise and distractions for you and others around you Comfortable mobile shape is small enough to toss in a bag and an ambidextrous design guides either hand into a natural position USB Receiver is provided with the mouse and can be found in the small rectangular slot next to the battery compartment. Flip the mouse and slide the battery cover off to locate the receiver Mouse automatically connects to your computer via a tiny wireless Receiver that Plugs into your computer’s USB port Reliable, long range wireless mouse works up to 33 feet away from your computer (Actual wireless range may vary based on use, settings, and environmental conditions) 18-Month battery life and auto sleep help you go longer between battery changes (battery life may vary based on user and computing conditions) Ultra-quiet mouse with 90% reduced click sound and same click feel eliminates noise and distractions for you and others around you Simple. Reliable. Strong. 18-Month Battery Life Comfortable Shape. Mobile Size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.exNjPi6iJWo3of5N7l8R5SXkEi0cFXKmwtqFChTpjpWZXGku6B0pSO6_SmVb4naGZgdiETllWaEo2FdNpQdIvUhdd1Cyy5qfbLGFzgN__iNrzx0hzyTWFlqqg8-rIeNR9Hi0qNT-yIYs9irhABZOIAcM51EkmHtEnEDZz_lmHZxmvZ-2yVvtB5NMdegUGNibFBBx2_XvAun77KDFXnoYJ3Vl_5FfIoMsZo9m841AwJlBNiaBTFRwdb5YBI7VWE-ZvvuSoi6OO4lz5tHeLwe3iwBVo3B-WIiHA1L3jdppnI0.O0vW0fGnR2JIqHCB1J-JAV6_Mw9vNABuMN_64A-74kA&dib_tag=se&qid=1716231289&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-13,4.4,40104,650,285,56,365,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']","Movement Detection: Optical, Resolution : 1000dpi;Cable Length : 1.8 meter, Interface Type : USB Colour : Black, Weight : 413 Grams Great Aesthetics, Usage ideal for office, education sectors, designing, basic gaming etc Comfortable for use in longer periods with performance; Warranty : 3 Year Hardware Platform: Pc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,"Sounce Mouse Pad Speed Type Mouse Pad with Antifray Stitched Embroidery Edges, Non-Slip Rubber Base Mousepad for Laptop PC (260mm x 210mm x 2mm) (Black)",https://www.amazon.in/Sounce-Antifray-Stitched-Embroidery-Non-Slip/dp/B0BSR2N5W9/ref=sr_1_22?dib=eyJ2IjoiMSJ9.exNjPi6iJWo3of5N7l8R5SXkEi0cFXKmwtqFChTpjpWZXGku6B0pSO6_SmVb4naGZgdiETllWaEo2FdNpQdIvUhdd1Cyy5qfbLGFzgN__iNrzx0hzyTWFlqqg8-rIeNR9Hi0qNT-yIYs9irhABZOIAcM51EkmHtEnEDZz_lmHZxmvZ-2yVvtB5NMdegUGNibFBBx2_XvAun77KDFXnoYJ3Vl_5FfIoMsZo9m841AwJlBNiaBTFRwdb5YBI7VWE-ZvvuSoi6OO4lz5tHeLwe3iwBVo3B-WIiHA1L3jdppnI0.O0vW0fGnR2JIqHCB1J-JAV6_Mw9vNABuMN_64A-74kA&dib_tag=se&qid=1716231289&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-22,4.5,2031,999,99,90,900,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Keyboard & Mice Accessories,Mouse Pads,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Keyboard & Mice Accessories', 'Mouse Pads']","Introducing our premium Mouse Pad – the perfect companion for your everyday computing needs. Designed with both functionality and style in mind, this mouse pad is tailored to enhance your productivity and gaming experience.Built to withstand heavy daily use, our mouse pad boasts exceptional durability. The high-quality materials ensure it maintains its smooth surface and shape even with prolonged usage. When it gets dirty, a quick wipe with a damp cloth will have it looking fresh and ready to go.Experience smoother mouse movements, improved control, and a touch of sophistication for your workspace. Make precision and style a part of your daily routine – get your mouse pad now!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"Dell KM3322W Wireless USB Keyboard and Mouse Combo, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty - Black",https://www.amazon.in/Dell-Wireless-Keyboard-Mouse-Spill-Resistant/dp/B09T3H12GV/ref=sr_1_24?dib=eyJ2IjoiMSJ9.exNjPi6iJWo3of5N7l8R5SXkEi0cFXKmwtqFChTpjpWZXGku6B0pSO6_SmVb4naGZgdiETllWaEo2FdNpQdIvUhdd1Cyy5qfbLGFzgN__iNrzx0hzyTWFlqqg8-rIeNR9Hi0qNT-yIYs9irhABZOIAcM51EkmHtEnEDZz_lmHZxmvZ-2yVvtB5NMdegUGNibFBBx2_XvAun77KDFXnoYJ3Vl_5FfIoMsZo9m841AwJlBNiaBTFRwdb5YBI7VWE-ZvvuSoi6OO4lz5tHeLwe3iwBVo3B-WIiHA1L3jdppnI0.O0vW0fGnR2JIqHCB1J-JAV6_Mw9vNABuMN_64A-74kA&dib_tag=se&qid=1716231289&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-24,4.1,10693,2499,1399,44,1100,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Keyboard & Mouse Sets,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Keyboard & Mouse Sets']","Movement Detection Technology (Mouse): Optical Buttons Qty: 03 Movement Resolution: 1000 dpi Hot Keys Function: Volume, Mute Keyboard Technology: Plunger Device Type: Keyboard and mouse set Wireless Receiver: USB Wireless Receiver Adjustable Height: Yes Interface: 2.4 GHz Type Keyboard/Mouse : Wireless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=sr_1_17?dib=eyJ2IjoiMSJ9.exNjPi6iJWo3of5N7l8R5SXkEi0cFXKmwtqFChTpjpWZXGku6B0pSO6_SmVb4naGZgdiETllWaEo2FdNpQdIvUhdd1Cyy5qfbLGFzgN__iNrzx0hzyTWFlqqg8-rIeNR9Hi0qNT-yIYs9irhABZOIAcM51EkmHtEnEDZz_lmHZxmvZ-2yVvtB5NMdegUGNibFBBx2_XvAun77KDFXnoYJ3Vl_5FfIoMsZo9m841AwJlBNiaBTFRwdb5YBI7VWE-ZvvuSoi6OO4lz5tHeLwe3iwBVo3B-WIiHA1L3jdppnI0.O0vW0fGnR2JIqHCB1J-JAV6_Mw9vNABuMN_64A-74kA&dib_tag=se&qid=1716231289&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-17,4.3,2926,1499,599,60,900,[],Computers & Accessories,Accessories & Peripherals,"Keyboards, Mice & Input Devices",Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Keyboards, Mice & Input Devices', 'Mice']",Make your working experience hitherto unforeseen with the Toad One wireless optical mouse. Its multiple connectivity options - Bluetooth connectivity feature and USB nano dongle for 2.4 GHz connectivity - give you better and easier working. Now get better performance with the rechargeable battery of this wireless mouse that gives your seamless working of up to 9 days.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
