deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
1,"realme 12x 5G (Woodland Green, 128 GB)  (6 GB RAM)",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&store=tyy&srno=b_1_30&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGYQ6BETBWFTDH.SEARCH&ssid=trqyjrmaa80000001715182870897,4.4,11930,17999,12999,27,5000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹5000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,realme Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'realme Mobiles']",45 W SUPERVOOC Charge with 5000 mAh Massive BatteryDimensity 6100+ 6nm 5G12.07 cm (6.72) 120 Hz FHD+ Display7.69 mm Ultra-slim Trendy Watch Design50 MP AI CameraVapour Chamber Cooling System128 GB Large StorageDual Stereo Speakers,"[{'rating': '5', 'comment_text': 'Pros 1. Design is Good.2. Display is fine with 120Hz have Smooth experience.3. Superb Charging Speed in this price Range.4. Speaker quality is awesome 😎5. Rear camera is very awesome but front camera is little disappointing in low light area but I think it will be fixed through further updates.6. Connection is Good7. Back design is looking premium in this price Range.8. For normal daily usage everything is okay. NO LAGGING.9. PERFORMANCE IS SUPERB10. BATTERY PERFORMANCE IS BEST�...READ MORE'}, {'rating': '4', 'comment_text': 'Overall a Decent phone as per the price...Camera Quality Could be better.READ MORE'}, {'rating': '4', 'comment_text': 'I bought it at an early bird sale ,Had a good experience using the phoneCamera - Decent Performance - Quite good Charging - Great Design - Amazing Features - Good according to price The air gesture feature was missing.READ MORE'}, {'rating': '5', 'comment_text': 'Camera quality is awesomePerformance is goodBattery 🔋 is goodOverall all 4.5/5READ MORE'}, {'rating': '5', 'comment_text': 'Value for money 💰READ MORE'}, {'rating': '4', 'comment_text': 'All over goodREAD MORE'}, {'rating': '5', 'comment_text': 'This very good productREAD MORE'}, {'rating': '4', 'comment_text': 'Overall Nice experience .1 - Disappointed by camera performance only till now.2 - Battery is good with 45W charger, charging time around 70-80 minutes from 0 to 100%.3- overall look very nice .READ MORE'}, {'rating': '4', 'comment_text': 'It is a best phone in budget. According to your need go for itCons:Air gesture feature is not present 😣READ MORE'}, {'rating': '4', 'comment_text': Please don't buy it for camera ..Battery backup 7hoursCharging time 1:20 minutes Out of 6gb Ram only 2.5gb Ram is available. Overall don't buy it and don't go on its design it is just to attractREAD MORE""}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (8 GB RAM)",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmb8432b2780c2d?pid=MOBHYFPPEKZXYEQP&lid=LSTMOBHYFPPEKZXYEQPPNPWO5&marketplace=FLIPKART&store=tyy&srno=b_1_8&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6J-wuA0Uw9vTidwKNzDWzD3nbtd2sFhwMX9c8JhZs4i2evN4Mn-dv-pi277bRzMbnY%3D&ssid=trqyjrmaa80000001715182870897,4.2,243,17999,14999,16,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,SAMSUNG Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'SAMSUNG Mobiles']",Samsung Galaxy F15: Redefining Smartphone BrillianceUnmatched Endurance: A Battery That LastsPerformance Beyond BoundariesImmersive AudioSeamless ConnectivityFast and Furious: Superfast 5G Speeds in 13 BandsCapture Every Detail: 50 MP Triple CameraFun-filled SelfiesVault of Security: Samsung Knox Vault ChipsetSmart UI for Fun Living: Call Background Customisation,"[{'rating': '4', 'comment_text': 'Nice 🤠........READ MORE'}, {'rating': '5', 'comment_text': 'Really amazing purchaseREAD MORE'}, {'rating': '4', 'comment_text': 'Good samsung mobile at this price range only thing is device weigh bit heavy bec of 6000 mah battery. Overall worth for moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Value for moneyREAD MORE'}, {'rating': '1', 'comment_text': 'Over heat, charging very slowly, camer not goodREAD MORE'}, {'rating': '5', 'comment_text': 'Best camera samsung f15 .I really like it .i also test games with the phone good experienceREAD MORE'}, {'rating': '1', 'comment_text': 'Battery drainingREAD MORE'}, {'rating': '5', 'comment_text': 'All rounder mobile,No 1 ,features, low,price1Display Amoled2 Batery 60003 Andorid 144 security update 4 years (important)5 Ram 8 Gb6 quick charge7 mediatek hig performance prossesor in this amountEverything okREAD MORE'}, {'rating': '4', 'comment_text': 'This range camera was good.READ MORE'}, {'rating': '4', 'comment_text': 'Good enough for the price. Will know more after using for a while.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy&srno=b_1_35&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGUFK4P2H9CY7Y.SEARCH&ssid=trqyjrmaa80000001715182870897,4.2,54095,14999,11999,20,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,MOTOROLA Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'MOTOROLA Mobiles']",Fastest 5G Processor -Snapdragon 695 5GBest 5G PerformancePremium Design with Vegan Leather FinishImmersive (6.5) display with 120 Hz refresh rateStereo Speakers with Dolby Atmos50 MP Quad Pixel Camera with Image Auto Enhance5000 mAh Battery with 20 W TurboPower ChargerLatest Android 14 with My UXAdditional RAM Boost - up to 16 GB RAMReady ForIP52 Water-repellent designUp To 8 GB RAM + 128 GB StorageSide Finger-Print Scanner,"[{'rating': '4', 'comment_text': 1. Look (pros): Premium back design. Vegan leather cover gives awesome look (especially the ocean green color is awesome).2. Display (cons): HD+ as it says", so don't assume it to show Full HD+ view, so if you want good display then this phone is not for you.3. Battery (pros): 5000 mAH battery is good for 1 day continuous use.4. Camera (cons): Decent," takes time to process the captured pics. But camera is good at this price. Moto G32 with same camera configuration captures way better photos...READ MORE""}", {'rating': '4'," 'comment_text': ""Display touching problem. battery it's ok "," design ok.budget wise this moto phone good.READ MORE""}", {'rating': '5'," 'comment_text': ""Hello everyoneI am Gunjan PareekI am using Moto g34 5g (8+128) since last 2 daysIt was my first motorola phone. Before this I was using mostly redmi brand smartphone like redmi note 7", redmi 10 prime and redmi 11 prime 5gBelieve me, before receiving the delivery, I was afraid that how will be the phone and how will be it's display because I read the review on this phone that it's display is not quite good but as I on this.... I fall in love of it's displayIt is my suggestion that," Peo...READ MORE""}", {'rating': '5', 'comment_text': 'Super smart phone this segmentREAD MORE'}, {'rating': '4', 'comment_text': 'Only display is not so good otherwise phone is very good in performanceREAD MORE'}, {'rating': '5', 'comment_text': 'Best 5 G phone in this price range. It works perfectly smoothly and fine. Go for it.READ MORE'}, {'rating': '5', 'comment_text': 'Good phoneMust buyREAD MORE'}, {'rating': '5', 'comment_text': 'goodREAD MORE'}, {'rating': '5'," 'comment_text': ""Best mobile in low budget...It's all good 💯READ MORE""}", {'rating': '5', 'comment_text': 'Best phone indeed in this price range right now! In terms of connectivity,productivity,performance, this device delivers what is asked from it.Moto provides READY FOR feature(only 8GB RAM variant),which is excellent," along with a lot of convenient features. Only downside in this phone is battery draining quickly maybe because of 5g usage.READ MORE'}]""",,,,
14,"realme 12x 5G (Twilight Purple, 128 GB)  (6 GB RAM)",https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BMYWCAZEC&lid=LSTMOBGYQ6BMYWCAZECB5I66N&marketplace=FLIPKART&store=tyy&spotlightTagId=BestsellerId_tyy&srno=b_1_29&otracker=browse&fm=organic&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGYQ6BMYWCAZEC.SEARCH&ppt=browse&ppn=browse&ssid=trqyjrmaa80000001715182870897,4.4,11930,17999,12999,27,5000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹5000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,realme Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'realme Mobiles']",45 W SUPERVOOC Charge with 5000 mAh Massive BatteryDimensity 6100+ 6nm 5G12.07 cm (6.72) 120 Hz FHD+ Display7.69 mm Ultra-slim Trendy Watch Design50 MP AI CameraVapour Chamber Cooling System128 GB Large StorageDual Stereo Speakers,"[{'rating': '5', 'comment_text': 'Pros 1. Design is Good.2. Display is fine with 120Hz have Smooth experience.3. Superb Charging Speed in this price Range.4. Speaker quality is awesome 😎5. Rear camera is very awesome but front camera is little disappointing in low light area but I think it will be fixed through further updates.6. Connection is Good7. Back design is looking premium in this price Range.8. For normal daily usage everything is okay. NO LAGGING.9. PERFORMANCE IS SUPERB10. BATTERY PERFORMANCE IS BEST�...READ MORE'}, {'rating': '4', 'comment_text': 'Overall a Decent phone as per the price...Camera Quality Could be better.READ MORE'}, {'rating': '4', 'comment_text': 'I bought it at an early bird sale ,Had a good experience using the phoneCamera - Decent Performance - Quite good Charging - Great Design - Amazing Features - Good according to price The air gesture feature was missing.READ MORE'}, {'rating': '5', 'comment_text': 'Camera quality is awesomePerformance is goodBattery 🔋 is goodOverall all 4.5/5READ MORE'}, {'rating': '5', 'comment_text': 'Value for money 💰READ MORE'}, {'rating': '4', 'comment_text': 'All over goodREAD MORE'}, {'rating': '5', 'comment_text': 'This very good productREAD MORE'}, {'rating': '4', 'comment_text': 'Overall Nice experience .1 - Disappointed by camera performance only till now.2 - Battery is good with 45W charger, charging time around 70-80 minutes from 0 to 100%.3- overall look very nice .READ MORE'}, {'rating': '4', 'comment_text': 'It is a best phone in budget. According to your need go for itCons:Air gesture feature is not present 😣READ MORE'}, {'rating': '4', 'comment_text': Please don't buy it for camera ..Battery backup 7hoursCharging time 1:20 minutes Out of 6gb Ram only 2.5gb Ram is available. Overall don't buy it and don't go on its design it is just to attractREAD MORE""}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Motorola G34 5G (Charcoal Black, 128 GB)  (8 GB RAM)",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy&srno=b_1_33&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGUFK4QPQMAA2S.SEARCH&ssid=trqyjrmaa80000001715182870897,4.2,54095,14999,11999,20,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,MOTOROLA Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'MOTOROLA Mobiles']",Fastest 5G Processor -Snapdragon 695 5GBest 5G PerformancePremium Design with Vegan Leather FinishImmersive (6.5) display with 120 Hz refresh rateStereo Speakers with Dolby Atmos50 MP Quad Pixel Camera with Image Auto Enhance5000 mAh Battery with 20 W TurboPower ChargerLatest Android 14 with My UXAdditional RAM Boost - up to 16 GB RAMReady ForIP52 Water-repellent designUp To 8 GB RAM + 128 GB StorageSide Finger-Print Scanner,"[{'rating': '4', 'comment_text': 1. Look (pros): Premium back design. Vegan leather cover gives awesome look (especially the ocean green color is awesome).2. Display (cons): HD+ as it says", so don't assume it to show Full HD+ view, so if you want good display then this phone is not for you.3. Battery (pros): 5000 mAH battery is good for 1 day continuous use.4. Camera (cons): Decent," takes time to process the captured pics. But camera is good at this price. Moto G32 with same camera configuration captures way better photos...READ MORE""}", {'rating': '4'," 'comment_text': ""Display touching problem. battery it's ok "," design ok.budget wise this moto phone good.READ MORE""}", {'rating': '5'," 'comment_text': ""Hello everyoneI am Gunjan PareekI am using Moto g34 5g (8+128) since last 2 daysIt was my first motorola phone. Before this I was using mostly redmi brand smartphone like redmi note 7", redmi 10 prime and redmi 11 prime 5gBelieve me, before receiving the delivery, I was afraid that how will be the phone and how will be it's display because I read the review on this phone that it's display is not quite good but as I on this.... I fall in love of it's displayIt is my suggestion that," Peo...READ MORE""}", {'rating': '5', 'comment_text': 'Super smart phone this segmentREAD MORE'}, {'rating': '4', 'comment_text': 'Only display is not so good otherwise phone is very good in performanceREAD MORE'}, {'rating': '5', 'comment_text': 'Best 5 G phone in this price range. It works perfectly smoothly and fine. Go for it.READ MORE'}, {'rating': '5', 'comment_text': 'Good phoneMust buyREAD MORE'}, {'rating': '5', 'comment_text': 'goodREAD MORE'}, {'rating': '5'," 'comment_text': ""Best mobile in low budget...It's all good 💯READ MORE""}", {'rating': '5', 'comment_text': 'Best phone indeed in this price range right now! In terms of connectivity,productivity,performance, this device delivers what is asked from it.Moto provides READY FOR feature(only 8GB RAM variant),which is excellent," along with a lot of convenient features. Only downside in this phone is battery draining quickly maybe because of 5g usage.READ MORE'}]""",,,,
20,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)  (8 GB RAM)",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm837e04e38f8dd?pid=MOBHYFPPYRCQZMHG&lid=LSTMOBHYFPPYRCQZMHGYDVLHO&marketplace=FLIPKART&store=tyy&srno=b_1_32&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6KoPU83SFJlUMlHrF2wqM--YVyBds8UksaZhZM4nLDeN52-SIbIDZ6lLvgRS75Tj4w%3D&ssid=trqyjrmaa80000001715182870897,4.2,243,17999,14999,16,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,SAMSUNG Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'SAMSUNG Mobiles']",Samsung Galaxy F15: Redefining Smartphone BrillianceUnmatched Endurance: A Battery That LastsPerformance Beyond BoundariesImmersive AudioSeamless ConnectivityFast and Furious: Superfast 5G Speeds in 13 BandsCapture Every Detail: 50 MP Triple CameraFun-filled SelfiesVault of Security: Samsung Knox Vault ChipsetSmart UI for Fun Living: Call Background Customisation,"[{'rating': '4', 'comment_text': 'Nice 🤠........READ MORE'}, {'rating': '5', 'comment_text': 'Really amazing purchaseREAD MORE'}, {'rating': '4', 'comment_text': 'Good samsung mobile at this price range only thing is device weigh bit heavy bec of 6000 mah battery. Overall worth for moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Value for moneyREAD MORE'}, {'rating': '1', 'comment_text': 'Over heat, charging very slowly, camer not goodREAD MORE'}, {'rating': '5', 'comment_text': 'Best camera samsung f15 .I really like it .i also test games with the phone good experienceREAD MORE'}, {'rating': '1', 'comment_text': 'Battery drainingREAD MORE'}, {'rating': '5', 'comment_text': 'All rounder mobile,No 1 ,features, low,price1Display Amoled2 Batery 60003 Andorid 144 security update 4 years (important)5 Ram 8 Gb6 quick charge7 mediatek hig performance prossesor in this amountEverything okREAD MORE'}, {'rating': '4', 'comment_text': 'This range camera was good.READ MORE'}, {'rating': '4', 'comment_text': 'Good enough for the price. Will know more after using for a while.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"POCO C65 (Matte Black, 256 GB)  (8 GB RAM)",https://www.flipkart.com/poco-c65-matte-black-256-gb/p/itmd776f58809b28?pid=MOBGVVTXXYZHF5UM&lid=LSTMOBGVVTXXYZHF5UMGXNVBS&marketplace=FLIPKART&store=tyy&srno=b_1_24&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGVVTXXYZHF5UM.SEARCH&ssid=trqyjrmaa80000001715182870897,4.2,3221,13499,7999,40,5500,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹5500 off (price inclusive of cashback/coupon)'}, {'type': 'Freebie', 'description': 'Flat ₹1000 off on Cleartrip hotels booking along with 300 supercoins on booking'}]",Mobiles & Accessories,Mobiles,POCO Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'POCO Mobiles']",Large DisplayPowerful ProcessorEnhanced MultitaskingElevated StorageExceptional PhotosFast ChargingSuperior Security,"[{'rating': '4', 'comment_text': 'Value for money 💰READ MORE'}, {'rating': '4', 'comment_text': 'Good phone for day to day life useREAD MORE'}, {'rating': '5', 'comment_text': 'Nice ...worth it😍READ MORE'}, {'rating': '5', 'comment_text': 'Very goodREAD MORE'}, {'rating': '5', 'comment_text': 'Good Quality mobileREAD MORE'}, {'rating': '5', 'comment_text': 'Nice mobile vliu for moneyREAD MORE'}, {'rating': '5', 'comment_text': Nice Mobile I'm very Happy"," Thank you Flipkart.READ MORE""}", {'rating': '5', 'comment_text': 'Best mobile under 10k😍😍READ MORE'}, {'rating': '5', 'comment_text': 'Good price good conditionREAD MORE'}, {'rating': '5'," 'comment_text': 'Super mobileREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Apple iPhone 15 (Black, 128 GB)",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&store=tyy&srno=b_1_25&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGTAGPTB3VS24W.SEARCH&ssid=trqyjrmaa80000001715182870897,4.6,29350,79900,63999,19,15901,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹13901 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,Apple Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'Apple Mobiles']",Dynamic IslandHighly Durable48 MP Main CameraA16 Bionic ProcessorUSB-C Compatible,"[{'rating': '5', 'comment_text': 'Nice product with all features specially its looks and camera battery backup is goodREAD MORE'}, {'rating': '5', 'comment_text': 'High quality camera😍READ MORE'}, {'rating': '5', 'comment_text': 'Camera Quality Is Improved Loving ItREAD MORE'}, {'rating': '5', 'comment_text': 'Awesome photography experience. Battery backup is good . Display is much better than 14 version.READ MORE'}, {'rating': '5', 'comment_text': 'Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on iPhone 15.READ MORE'}, {'rating': '5', 'comment_text': 'I love this phone. The camera is amazing: its I am so happyREAD MORE'}, {'rating': '5', 'comment_text': 'Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻 in portrait mode and results r here in front of you guys 😍😘READ MORE'}, {'rating': '4', 'comment_text': 'Very niceREAD MORE'}, {'rating': '5', 'comment_text': 'Nice ❤️READ MORE'}, {'rating': '4', 'comment_text': 'Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy&srno=b_1_19&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGUFK4TZ2CJYHJ.SEARCH&ssid=trqyjrmaa80000001715182870897,4.2,54095,14999,11999,20,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,MOTOROLA Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'MOTOROLA Mobiles']",Fastest 5G Processor -Snapdragon 695 5GBest 5G PerformancePremium Design with Vegan Leather FinishImmersive (6.5) display with 120 Hz refresh rateStereo Speakers with Dolby Atmos50 MP Quad Pixel Camera with Image Auto Enhance5000 mAh Battery with 20 W TurboPower ChargerLatest Android 14 with My UXAdditional RAM Boost - up to 16 GB RAMReady ForIP52 Water-repellent designUp To 8 GB RAM + 128 GB StorageSide Finger-Print Scanner,"[{'rating': '4', 'comment_text': 1. Look (pros): Premium back design. Vegan leather cover gives awesome look (especially the ocean green color is awesome).2. Display (cons): HD+ as it says", so don't assume it to show Full HD+ view, so if you want good display then this phone is not for you.3. Battery (pros): 5000 mAH battery is good for 1 day continuous use.4. Camera (cons): Decent," takes time to process the captured pics. But camera is good at this price. Moto G32 with same camera configuration captures way better photos...READ MORE""}", {'rating': '4'," 'comment_text': ""Display touching problem. battery it's ok "," design ok.budget wise this moto phone good.READ MORE""}", {'rating': '5'," 'comment_text': ""Hello everyoneI am Gunjan PareekI am using Moto g34 5g (8+128) since last 2 daysIt was my first motorola phone. Before this I was using mostly redmi brand smartphone like redmi note 7", redmi 10 prime and redmi 11 prime 5gBelieve me, before receiving the delivery, I was afraid that how will be the phone and how will be it's display because I read the review on this phone that it's display is not quite good but as I on this.... I fall in love of it's displayIt is my suggestion that," Peo...READ MORE""}", {'rating': '5', 'comment_text': 'Super smart phone this segmentREAD MORE'}, {'rating': '4', 'comment_text': 'Only display is not so good otherwise phone is very good in performanceREAD MORE'}, {'rating': '5', 'comment_text': 'Best 5 G phone in this price range. It works perfectly smoothly and fine. Go for it.READ MORE'}, {'rating': '5', 'comment_text': 'Good phoneMust buyREAD MORE'}, {'rating': '5', 'comment_text': 'goodREAD MORE'}, {'rating': '5'," 'comment_text': ""Best mobile in low budget...It's all good 💯READ MORE""}", {'rating': '5', 'comment_text': 'Best phone indeed in this price range right now! In terms of connectivity,productivity,performance, this device delivers what is asked from it.Moto provides READY FOR feature(only 8GB RAM variant),which is excellent," along with a lot of convenient features. Only downside in this phone is battery draining quickly maybe because of 5g usage.READ MORE'}]""",,,,
29,"POCO M6 Pro 5G (Forest Green, 128 GB)  (6 GB RAM)",https://www.flipkart.com/poco-m6-pro-5g-forest-green-128-gb/p/itm151f47ed48eee?pid=MOBGRNZ3FZBVRYHQ&lid=LSTMOBGRNZ3FZBVRYHQLWWUJH&marketplace=FLIPKART&store=tyy&srno=b_1_13&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGRNZ3FZBVRYHQ.SEARCH&ssid=trqyjrmaa80000001715182870897,4.3,83860,16999,9999,41,7000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹7000 off (price inclusive of cashback/coupon)'}, {'type': 'Freebie', 'description': 'Flat ₹1000 off on Cleartrip hotels booking along with 300 supercoins on booking'}]",Mobiles & Accessories,Mobiles,POCO Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'POCO Mobiles']",4nm Snapdragon ProcessorTurbo RAM for MultitaskingDazzling DesignMassive Display50 MP Dual AI Camera5000 mAh Mega Battery,"[{'rating': '5', 'comment_text': 'Best value for money.Based on pricePerformance -5/5Back Camera-3/5Front camera-2.5/5Battery -4.5/5Charging-3/5Display-4.5/5Software-2/5( bloatware)Speed-4/5Design-4/5READ MORE'}, {'rating': '4', 'comment_text': 'To Good Design and Performance , but Charging timing Little slowREAD MORE'}, {'rating': '4', 'comment_text': 'Best mobile at this price range 👍🏻READ MORE'}, {'rating': '4', 'comment_text': 'Good one go for it camera is good..READ MORE'}, {'rating': '4', 'comment_text': 'Best phone in this price rangeREAD MORE'}, {'rating': '5', 'comment_text': 'Good mobile 5g this range and good workingREAD MORE'}, {'rating': '5', 'comment_text': 'Most Stylish Mobile from POCO.Performance is Great Camera is descent its ok,Mobile display Colour is average but still the build quality is Impressed me.😉🤗💥READ MORE'}, {'rating': '5', 'comment_text': 'AmazingREAD MORE'}, {'rating': '5', 'comment_text': 'Thank you Flipkart this item is very nice 💯READ MORE'}, {'rating': '4', 'comment_text': If you want a camera phone then don't buy it"," it's only a budget 5g phone for daily uses. 🙂READ MORE""}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
