deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
445,"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black",https://www.amazon.in/Logitech-Hyperion-Ultra-Gaming-Mouse/dp/B00NFD0ETQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-5,4.6,11714,2895,2344,19,551,"['Upto ₹105.53 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹105.53 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","HIGH SPEED TRACKING : Fusion engine delivers one of the highest gaming mouse tracking speeds of up to 500 IPS 8 PROGRAMMABLE BUTTONS : Customise your Logitech wired gaming mouse and enjoy default configuration straight out of the box or set up one-button triggers personal to you and save them to your G402 USB gaming mouse ON-THE-FLY DPI : Shift through up to four DPI settings, from pixel-precise targeting (250 DPI) to lightning-fast manoeuvres (4000 DPI) ADVANCED RESPONSE RATE : They will be communicated to the game at the highest possible speed COMFORTABLE DESIGN : Lightweight materials, rubber grips and low friction feet help ensure that your gaming sessions last as long as you can WARRANTY: 2 Year limited harware warranty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"Logitech G304 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, Compatible with PC/Mac - Black",https://www.amazon.in/Logitech-Lightspeed-Wireless-Gaming-Mouse/dp/B07G98H6PM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-2,4.5,6540,3795,2794,26,1001,"['Upto ₹125.79 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹125.79 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Next-generation HERO sensor delivers incredible performance and up to 10x the power efficiency over previous generations. HERO is an optical sensor capable of exceptional accuracy and responsiveness with 400 IPS precision and up to 12,000 DPI sensitivity. Ultra-fast LIGHTSPEED Wireless technology gives you a lag-free gaming experience. G304 delivers incredible responsiveness and reliability with a super fast 1 ms report rate for competition-level performance. Play at peak performance without worrying about running out of power. G304 boasts an incredible 250 hours of continuous gameplay at 1ms report rate in Performance mode on just one AA battery. G304 has a battery indicator light that flashes red at 15% battery remaining. Switch to Endurance mode via Logitech G HUB software and extend battery life up to 9 months on a single AA battery. Endurance mode reports at 8 ms. G304 is designed to be lightweight for high maneuverability. Wireless does not have to mean heavy. G304 is a lightweight gaming mouse that comes in at only 99 grams thanks to efficient lightweight mechanical design and ultra-efficient battery usage. The durable, compact design with built-in nano receiver storage makes G304 not just a great desktop mouse, but also a great laptop travel companion. Use it with a gaming desktop or throw it into a bag with a gaming laptop to play anywhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Logitech G502 Hero High Performance Wired Gaming Mouse, Hero 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC/Mac - Black",https://www.amazon.in/Logitech-Hero-Gaming-Mouse-Black/dp/B07GBZ4Q68/ref=sr_1_6?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.5,50637,5495,4195,24,1300,"['Upto ₹188.88 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹188.88 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","High-performance Hero 25K sensor through a software update from G HUB, this upgrade is free to all players: Our most advanced, with 1:1 tracking, 400+ ips, and 100 - 25,600 max dpi sensitivity plus zero smoothing, filtering, or acceleration 11 Customizable Buttons and Onboard Memory: Assign custom commands to the buttons and save up to five ready-to-play profiles directly to the mouse ; Compatibility with Windows 7 or later and macOS 10.11 or later, Chrome OS Adjustable Weight System: Arrange up to five removable 3.6g weights inside the mouse for personalized weight and balance tuning Programmable RGB Lighting and LIGHTSYNC Technology: Customize lighting from nearly 16.8 million colors to match your team's colors, sport your own or sync colors with other Logitech G gear Mechanical Switch Button Tensioning: Metal spring tensioning system and pivot hinges are built into left and right gaming mouse buttons for a crisp, clean click feel with rapid click feedback Manufacturer Detail: Logitech Asia Pacific Ltd, Units 1003, Tower 1, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Kowloon, Hong Kong. Packer Detail: Logitech Asia Pacific Ltd, Units 1003, Tower 1, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Kowloon, Hong Kong. Importer Details: Rashi peripherals pvt ltd, Rashi complex, A Building Survey no. 186, Dongaripada poman village, Vasai - Bhiwandi Road, Dist Thane , Maharastra - 401208 HERO Sensor: Next generation HERO sensor delivers precision tracking up to 25,600 DPI with zero smoothing, filtering, or acceleration. 11 Programmable Buttons:11 programmable buttons and dual-mode hyper-fast scroll wheel give you fully customizable control over your gameplay. Adjustable Weights:Arrange up to five 3.6g weights for personalized weight and balance configuration. Mechanical Switch Button Tensioning:A metal spring tensioning system and metal pivot hinges are built into left and right mouse buttons for a crisp, clean click feel with rapid click feedback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Cosmic Byte Orcus RGB Honeycomb Gaming USB Mouse with Software, New Upgraded, 12800DPI, Instant 825 Sensor, Ultra Lightweight 74Grams, Braided Cable, 1000Hz Polling Rate, Software (Black)",https://www.amazon.in/Cosmic-Byte-Orcus-Honeycomb-Lightweight/dp/B09G8XQ9BM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-7,4.4,376,999,849,15,150,[],Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']",Gaming Sensor- The High-Precision Sensor delivers Pinpoint Accuracy Textured Surface-Honeycomb design helps to grip the mouse perfectly with either palm or claw style Customizable Thumb Buttons- Program the side mouse button easily by using the software Customize DPI- 6 DPI levels are supported and each level can be customized accurately using the software 1000 Hz Polling Rate: Enjoy lag free gaming and extremely fast response with1000 Hz polling rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"Corsair Katar Pro Ultra-Light Optical USB Gaming Mouse with Backlit RGB LED, 12400 DPI (Black)",https://www.amazon.in/Corsair-Ultra-Light-Optical-Gaming-Backlit/dp/B08KSZV3SR/ref=sr_1_19?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-19,4.2,902,2400,1609,33,791,"['Upto ₹72.43 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹72.43 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Engineered using the latest technology, the product scores high on the aspect of functionality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,"Logitech G USB PRO X Superlight Wireless Gaming Mouse, Ultra Lightweight 63 g, Hero 25K Sensor, 25600 DPI, 5 Programmable Buttons, Long Battery Life, for Esports, Compatible with PC/Mac-White",https://www.amazon.in/Logitech-Superlight-Lightweight-Programmable-Compatible/dp/B08XBM79XJ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4.6,873,14995,10995,27,4000,"['Upto ₹495.09 EMI interest savings on select Credit CardsUpto ₹495.09 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Made with and for Pro Gamers: designed in collaboration with the world’s leading gaming esports pros; engineered to win, it is the pinnacle of our continued pursuit for the highest performance level Ultra-lightweight engineering: at under 63 grams, with hyper-minimal redesign achieving nearly 25 percent weight reduction compared to the standard PRO Wireless mouse LIGHTSPEED Wireless: With pro-grade USB wireless performance, LIGHTSPEED provides a rock-solid and super-fast 1 ms report rate connection, without the drag and distraction of a cord HERO 25K Sensor: this Pro gaming mouse has the latest version Hero sensor; the most accurate, high performing and efficient gaming sensor yet, exceeding 400 IPS and delivering 25600 DPI tracking Smooth glide: the large zero-additive PTFE feet of this Logitech G gaming mouse delivers a smooth glide for a pure, fluid connection with the game",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,"Logitech G102 USB Light Sync Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8K DPI Tracking, 16.8mn Color, Light Weight - Black",https://www.amazon.in/Logitech-G102-Customizable-Lighting-Programmable/dp/B08LT9BMPP/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-1,4.4,12919,2295,1395,39,900,[],Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","COLORFUL LIGHTSYNC RGB : Play in colour with our most vibrant LIGHTSYNC RGB featuring colour wave effects that are customisable across 16.8 million colours. 8,000 DPI sensor. CLASSIC,GAMER TESTED DESIGN : Play comfortably and with total control. The simple 6-button layout and classic gaming shape form a comfortable, time-tested and loved design MECHANICAL SPRING BUTTON TENSIONING: Primary buttons are mechanical and tensioned with durable metal springs for reliability, performance and an excellent feel CUSTOMIZABLE SETTINGS : To suit the sensitivity you like with Logitech G HUB gaming software and cycle easily through up to 5 DPI settings; SYSTEM REQUIREMENTS : Windows 7 or later, macOS 10.11 or later, Chrome OSTM, USB port, Internet access for Logitech Gaming Software (optional) Style Name: G102 2nd Gen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,"HyperX Cloud Core On-Ear Wired Gaming Headset with Mic for PC, DTS Headpone:X (Black)",https://www.amazon.in/HyperX-Headset-Nintendo-HX-HSCC-2-BK-WW/dp/B08HQW9SGP/ref=sr_1_15?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-15,4.3,33186,8490,6490,24,2000,"['Upto ₹292.22 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹292.22 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Headsets,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Headsets']","DTS Heapdhone:X* Spatial Audio: Unlock accurate 3D audio spatialization! The included activation code provides 2 years of DTS Headphone:X Spatial Audio for enhanced perception, awareness, and immersion. Signature HyperX comfort with Durable aluminum frame - Game longer and more comfortably thanks to the comfort provided by HyperX memory foam. Built tough with a sturdy aluminum frame so it is better equipped to handle the wear and tear of daily use. Durable aluminum frame: Built tough with a sturdy aluminum frame so it is better equipped to handle the wear and tear of daily use. Detachable noise-cancelling mic and Multi-platform compatibility - The flexible, detachable, noise-cancelling mic is Discord and TeamSpeak certified, and will give you a clear line of communication with your squadmates. The USB audio control box is compatible with PC and PS4, and you can connect via 3.5mm cable to Xbox One, Nintendo Switch, and Mobile and VR systems that support the connection; For any product related issues, please contact_us Model: 4p4f2aa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,"Corsair K55 RGB PRO USB Gaming Keyboard,Dynamic RGB Backlit Keys,Dust & Spill-Resistant,Six Customizable Macro Keys,Elgato Stream Deck Software Integration,Dedicated Media Keys,Detachable Palm Rest",https://www.amazon.in/Corsair-Spill-Resistant-Customizable-Integration-Detachable/dp/B08Y78FFR9/ref=sr_1_17?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-17,4.5,11693,6700,3809,43,2891,"['Upto ₹171.53 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹171.53 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Keyboards,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Keyboards']","Dynamic RGB Backlighting: Light up your desktop with six onboard lighting effects, assign a color to each lighting zone, or program your own vibrant lighting effects across five RGB lighting zones with CORSAIR iCUE software. Six Dedicated Macro Keys: Activate functions, shortcuts, or keypresses in just one stroke with six dedicated macro keys, easily set up through CORSAIR iCUE software, or use instant streaming commands through Elgato Stream Deck software. Dust and Spill-Resistant Design: IP42-ratedprotection guards against accidents so your gameplay never has to stop. Detachable Palm Rest: A soft rubber palm rest reduces stress on your hands so you can play longer in comfort, with a textured surface to keep your hands from slipping. Dedicated Volume and Media Keys: Convenient control for media playback and fine-tuning volume on-the-fly without having to interrupt your game.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,"Logitech G213 Prodigy USB Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys - Black",https://www.amazon.in/Logitech-LIGHTSYNC-Spill-Resistant-Customizable-Multi-Media/dp/B01K48R5V4/ref=sr_1_13?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-13,4.5,6217,4995,3995,20,1000,"['Upto ₹179.91 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹179.91 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Keyboards,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Keyboards']","Brilliant Color Spectrum Illumination Personalize five individual lighting zones from a spectrum of over 16.8 million colors. Change colors to match your setup, specific games, or to showcase your favorite colors. Synchronize lighting effects with other Logitech G devices using Logitech Gaming Software. Low light leak around each keycap means less more light comes through the lettering – and less leaks around the keycaps. This helps make the illumination of each key more brilliant, making it easier to find your keys in the dark. Comfortable and Durable G213 Prodigy is a full-sized keyboard designed for gaming and productivity. The slim body is built for gamers of all levels, with a durable construction that repels liquids, crumbs and dirt for easy cleanup. An integrated palm rest and adjustable feet let you set your keyboard to the ideal position, so it’s comfortable to use even during the longest gaming sessions. Performance Tuned with Multi-Key Input G213 brings together the best in tactile feel and performance with keys built specifically for the way gamers play. Each key on the G213 is tuned to enhance the tactile experience, delivering ultra-quick, responsive feedback that is up to 4 times faster than standard keyboards. The anti-ghosting gaming matrix is tuned for optimal gaming performance, keeping you in control when you press multiple gaming keys simultaneously. Dedicated Media Controls Control your background track without switching out of your game. G213 features dedicated media controls that can be used to play, pause and mute music and videos instantly. Adjust the volume, or skip to the next song with the touch of a button. Customize lighting, game mode and macro custom programming with downloadable Logitech G HUB software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
