deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
333,"Amazon Basics 64 GB Flash Drive | USB 2.0 M Series | Temperature, Shock and Vibration Resistant | Metallic Silver",https://www.amazon.in/Amazon-Temperature-Vibration-Resistant-Metallic/dp/B0CGD23TG3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-10,4,15365,799,369,54,430,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","Introducing the Amazon Basics Flash Drive, the perfect companion to your gadgets. This USB 2.0 drive offers a plug-and-play setting, making it ready to use as soon as the drive gets connected. It offers compatibility with operating systems like Windows XP/2000, Vista, 7, 8, 10 as well as Mac OS versions 10.3 and above. It sports a sleek design along with a keyhole for attaching it to keychains. The flash drive makes it easy to mount and unmount. This product is proudly made in India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,HP USB 3.2 Flash Drive 128GB 796w,https://www.amazon.in/HP-Flash-Drive-128GB-796L/dp/B07S6BCC2D/ref=sr_1_20?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4.1,9738,6000,999,83,5001,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","Metallic stylish design Store, share and transfer music, videos and more, For Laptop, Desktop Computer, Television 10x faster than USB 2.0 Built-in keyhole capless design Country of Origin: India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black),https://www.amazon.in/SanDisk-Ultra-Dual-64GB-Drive/dp/B01N6LU1VF/ref=sr_1_21?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.2,192052,1400,629,55,771,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","Compatible with Micro USB Type 'B' Android based Smartphones & Tablets. Windows 7, Windows 8, Windows 10, Mac OS X v10.9+ and higher Free up space on your OTG-enabled Android phone Back up your mobile photos, videos and contacts Retractable design with dual micro-USB and USB 3.0 connectors SanDisk Memory Zone application (available on Google Play) lets you easily manage your photos and videos High-speed USB 3.0 performance with up to 130mbps file transfer from drive to computer The pendrive comes with dual connectors and can be used to bridge phones, tablets and computers. Manufacturer Detail: SanDisk InternationalLtd.c/o Unit 100 AirsideBusiness Park,Lakeshore Drive,Swords,Co. Dublin, Irelandmporter Details: Rashi Peripherals Pvt. Ltd. Rashi Complex,A Building,Survey186,Dongaripada,Poman Village,Vasai Bhiwandi Road, Dist. Thane,Maharastra 401208, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,SanDisk Ultra 128 GB USB 3.0 Pen Drive (Black),https://www.amazon.in/SanDisk-Ultra-128-Drive-Black/dp/B07JJFSG2B/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-1,4.3,66682,2500,759,70,1741,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']",USB 3.0 enabled (USB 2.0 compatible) Transfer up to 10 times faster than standard USB 2.0 drives; up to 100MB/s read speed Secure file encryption and password protection Stylish and portable design SanDisk secure access software keeps files private Country of Origin: Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,HP 818w 64GB USB 3.2 Flash Drive Silver Metal,https://www.amazon.in/HP-Flash-Drive-Silver-Metal/dp/B0CRZ1MQMN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-5,4.2,11483,1649,599,64,1050,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']",The HP 818w is a USB3.2 flash drive with a matte silver texture referencing HP laptops. The USB connector can slide in and out freely while providing protection from damage. No cap to lose!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive,https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B00BX5FOCK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-4,4.3,270699,700,449,36,251,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","Compact Design for Maximum Portability. Store more with capacities up to 16gb 5-year limited warranty , High-Capacity Drive Accommodates Your Favorite Media Files. Write Speed : 20 MB/s (USB 2.0) Operating temperature: 0ºC to 45ºC , Storage temperature: -10ºC to 70ºC SanDisk SecureAccess Software Protects Drive from Unauthorized Access The models are different because production is from different countries. Otherwise both are sandisk cruzer blade models. Manufacturer Detail: SanDisk InternationalLtd.c/o Unit 100 AirsideBusiness Park,Lakeshore Drive,Swords,Co. Dublin, Irelandmporter Details: Rashi Peripherals Pvt. Ltd. Rashi Complex,A Building,Survey186,Dongaripada,Poman Village,Vasai Bhiwandi Road, Dist. Thane,Maharastra 401208, India Free up space on your OTG-enabled Android phone ; Pen-drive Memory Type- DDR3 SDRAM Compact design for maximum portability. Supported OS : WINDOWS XP, WINDOWS VISTA, Mac OS Free up space on your OTG-enabled Android phone ; Pen-drive Memory Type- DDR3 SDRAM,care number:9/2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,HP v222w 64GB USB 2.0 Pen Drive (Silver),https://www.amazon.in/HP-v222w-Flash-Drive-64GB/dp/B01LYLJ99X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.2,7796,1300,369,72,931,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","The high gloss durable metal finish of the HP v222w makes for a perfect complement to ultrabooks. Approximate the length of a quarter and the included key-fob makes it perfect for on-the âgo storing! Offers a sleek and slim way to store and share your music, photos, files and more. For product related query contact brand customer support for faster resolution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,"SanDisk Ultra Flair 64GB USB 3.0 Pen Drive, Multicolor",https://www.amazon.in/SanDisk-Ultra-Flair-USB-64GB/dp/B07SLMR1K6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-8,4.3,31103,1350,499,63,851,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","High-speed USB 3.0 performance of up to 150MB/s read speeds Transfer a full-length movie in less than 30 seconds! The drive’s durable and stylish metal casing keeps your important files safe, while the included SanDisk SecureAccess software lets you password-protect and encrypt your sensitive files Compatible with both USB 2.0 and 3.0 ports, Operating temperature32° – 95°F (0° – 35°C) Country of Origin: Malaysia 9th Generation Intel Core i9 ProcessorsProducts formerly Coffee LakeDesktopLithography14 nmProcessor Base Frequency3.60 GHzTDP95 WIntel UHD Graphics 630350 MHz BX80684I99900K I99900K Intel Core i9-9900K Processor (16M Cache, up to 5.00 GHz). Max Turbo Frequency 5.00 GHz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"SanDisk iXpand USB 3.0 Flash Drive Flip 128GB for iOS and Windows, Metalic",https://www.amazon.in/SanDisk-128GB-iXpand-Flash-SDIX90N-128G/dp/B08P1GD671/ref=sr_1_16?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-16,4.3,15529,5100,3059,40,2041,"['Upto ₹137.76 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹137.76 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']",The 2-in-1 flash drive with Lightning and USB Type-A connectors Easily free up space on your iPhone Automatically back up your photos and videos Quickly move your content from your iXpand drive to your computer using the high-speed USB 3.1 Gen 1 connector Handy “Flip” cap protects Lightning connector and stows on USB Type-A side while in use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,"SanDisk Ultra 128 GB USB Pen Drive (SDDDC2-128G-G46, Black, Silver)",https://www.amazon.in/SanDisk-Ultra-SDDDC2-128G-G46-Drives-Silver/dp/B01EZ0X55C/ref=sr_1_17?dib=eyJ2IjoiMSJ9.SvAU6GD9K0hMH77ta-lzTStImlTlF6NfwaIWwRj3f0Jre3OU74xtN4KE3JsKF8aowXU9LkCQMTp4MefB4u7QiLVGvjgKwmWejVd4uwbIrmR5MPQ-HxRbHsIsLkKiOeA1WKUFY20daIbg_r5SI4qyXX8sC0o5ftG3UyfxrVlJtjS7e7NRS1_xOD5k2fFQH5ocWSL1PWXTGdlZSN5nbGn8oTZkjMMPfZ5WN5SchdEQXZrL1nt_tpkM4A-RCadMHkmTVFGaiIhB-8VSCBajkCVCpueDn4rV6BLebgEYQBT13YI.TjahWj9bQEqvrqjFrqS21escdwijGauR5FHRcfbSTKY&dib_tag=se&qid=1716147217&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-17,4.3,101381,2950,1187,60,1763,[],Computers & Accessories,External Devices & Data Storage,Pen Drives,,,,,"['Computers & Accessories', 'External Devices & Data Storage', 'Pen Drives']","Pendrive for USB Type-C Smartphones and PC Easily transfer files between smartphones, tablets and computers. Windows Vista, Windows 7, Windows 8, Windows 10, Mac OS X v10.6 and higher. Smartphones, tablets, and other host devices with USB Type-C ports and On-The-Go (OTG) Free up space on your Android smartphone; Read Speed: up to 150 MB/s Two connectors—a USB Type-C connector and a regular USB connector Manufacturer Detail: SanDisk InternationalLtd.c/o Unit 100 AirsideBusiness Park,Lakeshore Drive,Swords,Co. Dublin, Irelandmporter Details: Rashi Peripherals Pvt. Ltd. Rashi Complex,A Building,Survey186,Dongaripada,Poman Village,Vasai Bhiwandi Road, Dist. Thane,Maharastra 401208, India Country of Origin: Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
