deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
287,wishmechstore M90 pro earbuds with Power Bank Upto 48 Hours Playback Bluetooth Headset Smart Headphones  (Wireless),https://www.flipkart.com/wishmechstore-m90-pro-earbuds-power-bank-upto-48-hours-playback-bluetooth-headset-smart-headphones/p/itm8c83abe412aa7?pid=SMHGGE3G3HGB2SMW&lid=LSTSMHGGE3G3HGB2SMWIYHLYU&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_37&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGGE3G3HGB2SMW.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.5,47,4999,443,91,4556,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 4% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,wishmechstore Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'wishmechstore Smart Headphones']",,"[{'rating': '5', 'comment_text': 'Very goodREAD MORE'}, {'rating': '1', 'comment_text': 'Not a workingREAD MORE'}, {'rating': '1', 'comment_text': 'Not goodREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Super Hedphone D12-head-001 Smart Headphones  (Wireless),https://www.flipkart.com/super-hedphone-d12-head-001-smart-headphones/p/itmae775454ae879?pid=SMHGARS9GF4ENTZ3&lid=LSTSMHGARS9GF4ENTZ31NGQKJ&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&spotlightTagId=TrendingId_ajy%2Fvam&srno=s_1_31&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGARS9GF4ENTZ3.SEARCH&ppt=sp&ppn=sp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.5,173,999,259,74,740,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,Super Hedphone Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'Super Hedphone Smart Headphones']",,"[{'rating': '4', 'comment_text': 'Good ,worth for the moneyREAD MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '4', 'comment_text': It's good 👍 productREAD MORE""}", {'rating': '1', 'comment_text': 'very worstREAD MORE'}, {'rating': '1', 'comment_text': 'Very badREAD MORE'}, {'rating': '1', 'comment_text': '3rd class productREAD MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '5', 'comment_text': 'Sound is good the product is betterREAD MORE'}, {'rating': '1'," 'comment_text': 'Not work connect bluetooth again problemREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,
291,ATIMUNA BT12 Motorcycle Smart Headphones  (Wireless),https://www.flipkart.com/atimuna-bt12-motorcycle-smart-headphones/p/itmef5aa4b72d999?pid=SMHGBYAGHPRTRJDX&lid=LSTSMHGBYAGHPRTRJDXOSAMFT&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_12&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGBYAGHPRTRJDX.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.4,16,4999,1799,64,3200,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 10% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,ATIMUNA Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'ATIMUNA Smart Headphones']",,"[{'rating': '1', 'comment_text': Worst product ever speaker quality is pathetic it's look like very cheap product. Nothing is audible when you are indoor"," forget about going out and using it you won't be able to hear what is playing on the speaker or you are talking to someone. You can't hear something from it. And the mic is the grandfather of pathetic joke apart what ever you speak nothing will be audible to other person. You have to shout to make them hear what you want to say.READ MORE""}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Acid Eye SH-12 White headphone Smart Headphones  (Wireless),https://www.flipkart.com/acid-eye-sh-12-white-headphone-smart-headphones/p/itmeve56qfusb85g?pid=SMHEVE564QPG3ZC2&lid=LSTSMHEVE564QPG3ZC2Y4BSS0&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_24&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHEVE564QPG3ZC2.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.3,13,3982,749,81,3233,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Headphones,Acid Eye Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'Acid Eye Smart Headphones']",,"[{'rating': '5', 'comment_text': 'best voice output is really like this product no problems in this thing is love this productREAD MORE'}, {'rating': '1', 'comment_text': 'The headphones were broken..very cheap quality ..I need a refund Dont buy thisREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,AIRSKY Motorcycle Helmet Dual Earphone Helmet Bluetooth Music & Calling Smart Headphones  (Wireless),https://www.flipkart.com/airsky-motorcycle-helmet-dual-earphone-bluetooth-music-calling-smart-headphones/p/itm11aa87b37cb97?pid=SMHGUYRCZ7EZMMQZ&lid=LSTSMHGUYRCZ7EZMMQZYJIPSQ&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_18&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGUYRCZ7EZMMQZ.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,4.2,6,3599,1686,53,1913,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 11% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,AIRSKY Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'AIRSKY Smart Headphones']",,"[{'rating': '1', 'comment_text': 'Product is good but service is worstREAD MORE'}, {'rating': '5', 'comment_text': 'NiceREAD MORE'}, {'rating': '5', 'comment_text': 'Good quality products....READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,"TeachBeat AirPods Pro (2nd generation) with Active Noise Cancellation, Spatial Audio Smart Headphones  (Wireless)",https://www.flipkart.com/teachbeat-airpods-pro-2nd-generation-active-noise-cancellation-spatial-audio-smart-headphones/p/itm4c30e9c929708?pid=SMHGUYQGXTHNGG5Q&lid=LSTSMHGUYQGXTHNGG5QPSPYEA&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&spotlightTagId=BestsellerId_ajy%2Fvam&srno=s_1_11&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGUYQGXTHNGG5Q.SEARCH&ppt=sp&ppn=sp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.6,127,22999,1156,94,21843,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,TeachBeat Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'TeachBeat Smart Headphones']",,"[{'rating': '4', 'comment_text': I've only been using it for a week now"," to say that it's stil very good. Nothing too much to say .The only thing i'm soo sad about is that it doesn't hav a charger adapter. Everything else is fine 😃👍READ MORE""}", {'rating': '5', 'comment_text': 'Good protectREAD MORE'}, {'rating': '5', 'comment_text': 'Best qualityREAD MORE'}, {'rating': '1', 'comment_text': 'Worest airpods sound not clear No chargingREAD MORE'}, {'rating': '5', 'comment_text': 'Excellent product..READ MORE'}, {'rating': '5', 'comment_text': 'Very good product 😁 awesome.READ MORE'}, {'rating': '1', 'comment_text': 'Good productREAD MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '5', 'comment_text': '💞 supervision 🤗READ MORE'}, {'rating': '5'," 'comment_text': 'Original airpod pro 2nd lovely 😍 productREAD MORE'}]""",,,,,,,,,,,,,,,,
298,"wishmechstore i12 TWS 5.0 Earphones Wireless Bluetooth Latest Headset with mic , Charging Case Smart Headphones  (Wireless)",https://www.flipkart.com/wishmechstore-i12-tws-5-0-earphones-wireless-bluetooth-latest-headset-mic-charging-case-smart-headphones/p/itm6505b940e883f?pid=SMHGUJYYMCPKXZFU&lid=LSTSMHGUJYYMCPKXZFUMWMV4X&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_1&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGUJYYMCPKXZFU.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.7,30,999,333,66,666,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 12% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,wishmechstore Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'wishmechstore Smart Headphones']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Edyell Helmet Bluetooth Headsets (MBH-C5001) Smart Headphones  (Wireless),https://www.flipkart.com/edyell-helmet-bluetooth-headsets-mbh-c5001-smart-headphones/p/itmd4c8663a21126?pid=SMHGYYVAJ55GZNXY&lid=LSTSMHGYYVAJ55GZNXYNYQ57R&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&spotlightTagId=TrendingId_ajy%2Fvam&srno=s_1_33&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGYYVAJ55GZNXY.SEARCH&ppt=sp&ppn=sp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.9,7,5999,1875,68,4124,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 24% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,Edyell Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'Edyell Smart Headphones']",,"[{'rating': '3', 'comment_text': 'Nice but not water proofREAD MORE'}, {'rating': '4', 'comment_text': 'Build quantity is excellent 4.7 rating Sound quality is good 3.5 rating Battery capacity very good 4.3 rating More over its a good productREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,wishmechstore M10 TWS 5.1 Wireless Sports Bluetooth Headset with Emergency Power Bank Feature Smart Headphones  (Wireless),https://www.flipkart.com/wishmechstore-m10-tws-5-1-wireless-sports-bluetooth-headset-emergency-power-bank-feature-smart-headphones/p/itmb9f7316084714?pid=SMHGHGY4NH3MCYDJ&lid=LSTSMHGHGY4NH3MCYDJQTA97Y&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_9&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGHGY4NH3MCYDJ.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.1,42,2999,446,85,2553,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 10% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,wishmechstore Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'wishmechstore Smart Headphones']",,"[{'rating': '1', 'comment_text': 'Useless pREAD MORE'}, {'rating': '5', 'comment_text': 'Best sound qualityREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,MadRabbit Liquid Earbuds Smart Headphones  (Wireless),https://www.flipkart.com/madrabbit-liquid-earbuds-smart-headphones/p/itm2b340ee3ea807?pid=SMHGMZGYHZAR6CEB&lid=LSTSMHGMZGYHZAR6CEBTE5FKC&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_21&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGMZGYHZAR6CEB.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,3.8,16,4999,1843,63,3156,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 26% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Headphones,MadRabbit Smart Headphones,,,,,"['Home', 'Wearable Smart Devices', 'Smart Headphones', 'MadRabbit Smart Headphones']",High-fidelity AudioA Complete Gaming ExperienceSuitable for Phone CallsTouch Control EnabledUninterrupted Entertainment,"[{'rating': '5', 'comment_text': 'Incredible product with incredible sound quality....plus solid build quality...it sound like premium buds....keep going madrabbit 👍👍READ MORE'}, {'rating': '5', 'comment_text': 'Best product in sound and bass. And looks very premium and handy. I thought it will be big earbuds, but its correctly fitting and fit size. Gaming mode is good. Totally worth buying.READ MORE'}, {'rating': '3', 'comment_text': 'I feel product was bad due to I was buying in ear buds 4 months before but one ear buds not workingREAD MORE'}, {'rating': '1', 'comment_text': 'After 2 months pairing isshue we can connect only one ear podREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
