deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
226,"Lenovo Tab M10 5G |10.6 inch (26.9cm)| 6 GB, 128 GB Expandable|Wi-Fi+ 5G | 90 Hz, 2K Display (2000x1200)|Dual Speakers with Dolby Atmos |Android 13 | Octa-Core Processor (Abyss Blue, ZACT0030IN)",https://www.amazon.in/Lenovo-Expandable-2000x1200-Octa-Core-Processor-ZACT0030IN/dp/B0C9MBP7DJ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4,175,47000,21999,53,25001,"['Upto ₹990.59 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹990.59 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,199.90 discount on select Credit CardsUpto ₹2,199.90 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","[Visionary Display] 10.61 Inch 2K 2000x1200 Resolution IPS Display with 400 nits peak brightness | 90Hz Refresh Rate | 72% NTSC [Sound that Surrounds] Dual speaker optimized with Dolby Atmos [Storage & Battery] 6 GB RAM with 128 GB Storage, Expandable up-to 1 TB with microSD Card Support; 7700 mAh Battery [Camera] 13 MP Auto-Focus with Flash Rear Camera| 8 MP Fixed Focus Front Camera [Connectivity] Wifi with LTE (Calling), [Processor] Qualcomm Snapdragon 695 (8C, Kryo 660, 2x Gold @2.2GHz + 6x Silver @1.8GHz) [Care for you] Low Blue Light (TÜV Rheinland Certified) [Ports] 1x USB-C 2.0 (support data transfer and charging) | 1x Headphone / microphone combo jack (3.5mm) | 1x Nano-SIM + microSD card slot [Warranty] 1 Year Warranty on Tablet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"HONOR Pad X9 with Free Flip-Cover 11.5-inch (29.21 cm) 2K Display, Snapdragon 685, 7GB (4GB+3GB RAM Turbo), 128GB Storage, 6 Speakers, Up-to 13 Hours Battery, Android 13, WiFi Tablet, Metal Body, Gray",https://www.amazon.in/Flip-Cover-11-5-inch-Display-Snapdragon-Speakers/dp/B0C9V7RYWD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-9,4.3,787,25999,15999,38,10000,"['Upto ₹720.41 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹720.41 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","? Storage? 7GB (4GB+3GB RAM Turbo) | 128 GB ROM;?Large Screen and Clear Visuals? HONOR Pad X9 equipped with an 11.5-inch 120 Hz 2k display, 86% screen-to-body ratio, 400 NITS, and 100% SRGB screen technology for transparent visuals ? Flip cover for easy viewing ?The sleek and lightweight stand-fold design provides convenient viewing angles when watching videos, video calls, texting, gaming or reading, etc.;?Immersive Audio Experience?6 Cinematic surround speakers comes with HONOR Hi-Res audio technology delivers crystal clear audio and immerses you in every single tone ?Smooth Experience? The new Magic UI 7.1 system is based on the latest Android 13. The Qualcomm Snapdragon 685 processor provides comprehensive performance;?Lightweight and Portable? Weighing only 495g and with 6.9mm thickness, the metal unibody design will give you the premium look and comfortable feel in your palm ?Multi-Window for Efficient Working? The Split-Screen function opens multiple apps on the same screen at the same time. Let's you multi-task easily;?Google Kids Space for Efficient Learning? HONOR Pad X9 has pre-installed Google Kids Space, providing students Apps, Books, and Videos available for different age groups; ?Eye Protection and E-book Mode? HONOR Pad X9 is certified by TÜV Rheinland for low blue light and flicker-free eye comfort mode and effectively reduces eye fatigue Ram Memory Installed Size: 4.0GB; Memory Storage Capacity: 128.0GB; Special Features: Stereo Speakers; Warranty Type: Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"Samsung Galaxy Tab A9+ 27.94 cm (11.0 inch) Display, RAM 8 GB, ROM 128 GB Expandable, Wi-Fi Tablet, Silver",https://www.amazon.in/Samsung-Galaxy-Tab-A9-Expandable/dp/B0CJ393D6H/ref=sr_1_16?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-16,4.1,323,27999,18990,32,9009,"['Upto ₹855.10 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹855.10 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","Outstanding vividness with 27.94 cm (11.0 ) LCD display, 90 Hz Refresh Rate, 1920 x 1200 (WQXGA) Qualcomm Snapdragon SM6375 Processor 8 MP AF Rear Camera, 5 MP FF Front camera,Quad Speakers Surround Sound 7040 mAh Battery Ram Memory Installed Size: 8.0GB; Memory Storage Capacity: 128.0GB; Battery Capacity: 7040.0 mAH; Special Features: Fast Charging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"HONOR Pad 9 with Free Bluetooth Keyboard, 12.1-Inch 2.5K Display, 16GB (8+8GB Extended), 256GB Storage, Snapdragon 6 Gen 1 (4nm), 8 Speakers, Up-to 17 Hours, Android 13, WiFi Tablet, Metal Body, Gray",https://www.amazon.in/Bluetooth-Keyboard-12-1-Inch-Extended-Snapdragon/dp/B0CY2QL1JR/ref=sr_1_6?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.1,87,34999,24999,29,10000,"['Upto ₹1,125.67 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,125.67 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,499.90 discount on select Credit CardsUpto ₹2,499.90 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","【 Storage】 16GB (8+8GB Extended) | 256 GB Storage 【Large Screen & Clear Visuals】 HONOR Pad 9 equipped with a 12.1-inch (30.48-Cm) 120 Hz 2.5k display, 88% screen-to-body ratio, 500 NITS, and 1.07 billion color Gamut screen technology for transparent visuals 【High-Performing processor】 The HONOR Pad 9 comes with a high-performing octa-core Qualcomm Snapdragon 6 Gen 1 (4nm) Mobile Platform processor 【Free HONOR Bluetooth Keyboard】 The sleek and lightweight stand-fold design of Keyboard provides convenient typing experience and viewing angles 【Immersive Audio Experience】8 Cinematic surround speakers comes with HONOR Hi-Res audio technology delivers crystal clear audio and immerses you in every single tone 【Eye Protection and E-book Mode】 HONOR Pad 9 is certified by TÜV Rheinland for low blue light and flicker-free eye comfort mode and effectively reduces eye fatigue 【Smooth Experience】 The new Magic OS 7.2 system is based on the latest Android 13 provides comprehensive performance 【Multi-Window for Efficient Working】 The Split-Screen function opens multiple apps on the same screen at the same time let you do multi-task conveniently 【Lightweight and Portable】 Weighing only 555g and the metal unibody design will give you the premium look and comfortable feel in your palm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"Lenovo Tab M10 FHD 3rd Gen| 10.1 Inch (25.65 cm) WUXGA IPS Display |100% sRGB| 4 GB RAM, 64 GB ROM| Octa-Core Processor | Wi-Fi | 5100mah Battery |Dual Speakers| TÜV Rheinland Low Blue Light Certified",https://www.amazon.in/Lenovo-Display-Speakers-Octa-Core-Processor/dp/B0B8DKL2SD/ref=sr_1_14?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-14,4,918,26000,11499,56,14501,"['Upto ₹517.79 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹517.79 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']",10.1 inch FHD (IPS LCD) (1920*1200) display| 100% sRGB| 320 nits brightness; 8.5 mm thin| 460 gm light|Android 11| Unisoc T610 octa core processor| 4 GB RAM | 64 GB ROM expandable upto 128 GB| 5100 mAH battery| 10 hours video playback time Dual speakers with Dolby Atmos| One microphone| Face Unlock technology 8 MP Auto-Focus Rear Camera| 5 MP Auto-Focus Front Camera| 1 year warranty Ram Memory Installed Size: 4.0GB; Warranty Type: 1 Year Comprehensive Warranty; Memory Storage Capacity: 64.0GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"Samsung Galaxy Tab A9+ 27.94 cm (11.0 inch) Display, RAM 8 GB, ROM 128 GB Expandable, Wi-Fi Tablet, Graphite",https://www.amazon.in/Samsung-Galaxy-Tab-A9-Expandable/dp/B0CJ38X1BQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-3,4,345,27999,18990,32,9009,"['Upto ₹855.10 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹855.10 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","Outstanding vividness with 27.94 cm (11.0 ) LCD display, 90 Hz Refresh Rate, 1920 x 1200 (WQXGA) Qualcomm Snapdragon SM6375 Processor 8 MP AF Rear Camera, 5 MP FF Front camera,Quad Speakers Surround Sound 7040 mAh Battery Memory Storage Capacity: 128.0GB; Ram Memory Installed Size: 8.0GB; Battery Capacity: 7040.0 mAH; Special Features: Fast Charging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",https://www.amazon.in/Xiaomi-Qualcomm-Snapdragon-Refresh-Speakers/dp/B0C6QYTN7S/ref=sr_1_5?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-5,4.5,2953,41999,26999,36,15000,"['Upto ₹2,500.00 discount on select Credit CardsUpto ₹2,500.00 discount on select Credit Cards', 'Upto ₹1,215.75 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,215.75 EMI interest savings on Amazon Pay ICICI…', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']",Snapdragon 870 Octa-Core Processor | Adreno 650 | Qualcomm AI engine | LPDDR5 RAM | UFS 3.1 | Up to 8GB RAM 144Hz 7-Stage Refresh Rate | 27.9cm(11) Display Tablet | 2.8K Resolution | 1 Billion Colors | 2880*1800 High Resolution Quad Speakers with Dolby Atmos | Long Lasting 8840mAh Battery | Android 13 | MIUI 14 with Android & Security Updates 8MP Front Camera with Focus Frame | 13MP Rear Camera | Metal Unibody Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"HONOR Pad X8 25.65 cm (10.1 inch) FHD Display, 3GB RAM, 32GB Storage, Mediatek MT8786, Android 12, Tuv Certified Eye Protection, Up to 14 Hours Battery WiFi Tablet, Blue Hour",https://www.amazon.in/Honor-Display-Mediatek-Certified-Protection/dp/B0BTDW4ZLK/ref=sr_1_8?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-8,4.3,1143,20999,8499,60,12500,"['Upto ₹382.70 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹382.70 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","? Storage? 3 GB RAM | 32 GB ROM | Expandable storage Up to 512 GB;?Large Screen and Clear Visuals? HONOR Pad X8 equipped with 10.1-inch HONOR FullView display, with 80% screen-to-body ratio, sharp screen technology for transparent visuals ?Lightweight and Portable? Weight only 460g, with a 93% aluminum body and a curved surface designed, as thin as 7.55mm easy to fit the curvature of the palm;?Multi-Window of Efficient Learning? With the Split-Screen function opens multiple apps on the same screen at the same time. No matter how many tasks you have, you'll be able to handle them easily ?Silky Smooth Experience? The new Magic UI 6.1 system based on the latest android 12, Equipped with a new Mediatek MT8786 8-core processor, with comprehensively improved higher running speeds; ?Immersive Audio Experience? HONOR Pad using 1620 high-amplitude dual speakers and Smart PA to deliver even more thunderous audio. With the HONOR Histen s support, 360° sound field that immerses you in every single tone ?Eye Protection and E-book Mode? HONOR Pad X8 has been certified by TÜV Rheinland for low blue light, with multiple eye protection modes to effectively filter harmful blue light and reduce eye fatigue. E-book Modes bring you a paper-like book display effect to protect your eyes Ram Memory Installed Size: 3.0GB; Memory Storage Capacity: 32.0GB; Warranty Type: 1 Year Manufacturer Warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"Lenovo Tab M8 HD Tablets (8-inches(20cm), 2GB, 32GB, Wi-Fi Only), Grey",https://www.amazon.in/Lenovo-Tab-2GB-32GB-WiFi/dp/B083SMW5H3/ref=sr_1_13?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-13,4,6378,16000,5330,67,10670,"['Upto ₹240.02 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹240.02 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","8MP primary camera with auto focus 8 mp rear camera and 2MP front facing camera;20.32 centimeters (8-inch) with 1280 X 800 pixels resolution; Android v9 Pie operating system with 2.0Ghz MediaTek Helio A22 Tab processor, 2GB RAM, 32GB internal memory expandable up to 128GB;5000mAH lithium-ion polymer battery 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase. Sleek and premium metallic body design Vivid 8-inches (20cm) IPS (1280 x 800) LCD, 350 nits capacitive 10 point multitouch;Dolby audio support for immersive sound experience along with long lasting battery delivering upto 18 hours web browsing time Latest Android 9 Pie Go Edition with 2.0 GHz Mediatek Quadcore processor for ultra fast and smooth browsing experience;TUV certified display that cuts down harmful blue light to protect your eyes Aspect Ratio: 16:10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"OnePlus Pad 29.49cm (11.61 inch) LCD Display, 12GB RAM,256GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",https://www.amazon.in/OnePlus-29-49cm-MediaTek-Dimensity-Cellular/dp/B0BY2ZZ4SJ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-18,4.5,470,39999,37999,5,2000,"['Upto ₹1,712.06 EMI interest savings on select Credit CardsUpto ₹1,712.06 EMI interest savings on select Credit Cards', 'Upto ₹5,000.00 discount on select Credit CardsUpto ₹5,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","[Display ]: 3K+ Display (11.61-inch/29.49cm), 7:5 read-fit ratio; Display type: IPS LCD; Display resolution: WQHD+ (2800x2000 high resolution) Dolby Vision display, 296 PPI; Max Display brightness (500 nits); Screen refresh rate: 144Hz; Support 10-Bits true color;[Calling supported]: The OnePlus Pad can make calls and use smartphone cellular data via the Auto Connect feature [Storage]: 12GB RAM+ 256GB storage;; [Processor & Operating system]: Android 13 OS, MediaTek Dimensity 9000, 4 nm advanced flagship chipset; [Camera]: Front 8MP and Back 13MP Camera with 4K recording with camera Flash [Note]: OnePlus Stylo, OnePlus Magnetic Keyboard and OnePlus Folio Case are sold separately. Memory Storage Capacity: 256.0GB; Model: Opd2203; Special Features: 1 Month Stand-By Life; Compatible Devices: Oneplus Mobile; Ram Memory Installed Size: 12.0GB; Warranty Type: 1 Year Manufacturer Warranty; Battery Capacity: 9510.0 Mah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
