deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
24,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_23?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-23,4,61084,349,129,63,220,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","3A Fast Charging - Delivers 3A fast charging and 480 Mbps data transfer speed. Quick Charge 2.0/ 3.0 - Supports Quick Charge (QC) 2.0/3.0 to deliver rapid charging speed. Wide Compatibility - It is compatible with all Type-C enabled devices including Android smartphones, tablets and PC peripherals. Unbreakable - Made of special braided outer with rugged interior bindings, it is an ultra-durable cable that won’t be affected by daily rough usage. Ideal Length - It has an ideal length of 1.5 meters which is super convenient to use. Made in India - This product is Made in India at the Ambrane’s manufacturing facility in Haryana. 180 Days Warranty - It comes with a 6 months warranty against manufacturing defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Ambrane Unbreakable 60W Fast Charging 1.5M Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_18?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-18,4,61518,399,159,60,240,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc) Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable Supports maximum 3A fast charging and 480 Mbps data transfer speed 6 months manufacturer warranty from the date of purchase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"amazon basics Type A to Micro USB Braided Cable | 3A/18W Fast Charging and 480 Mbps Data Transfer Speed | 1.2m, Tangle Free Cable",https://www.amazon.in/amazon-basics-Braided-Charging-Transfer/dp/B0CH1499X7/ref=sr_1_16?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-16,4.1,108388,499,109,78,390,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","Braided Micro USB Cable with 18W charging support Supports 3A fast charging and data transfer speed up to 480 Mbps Sturdy, tangle-free cable and endurace-tested to provide 8000+ bend lifespan Nylon Braided tangle free cable 18W Power output, Sync & Charge function, tested durability with 8000+ bends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,USB C to Lightning Cable 1M [Apple MFi Certified] iPhone Fast Charger Cable USB-C Power Delivery Charging Cord for iPhone 14/13/12/12 PRO Max/12 Mini/11/11PRO/XS/Max/XR/X/8/8Plus/iPad pack of 1,https://www.amazon.in/Lightning-Certified-Charger-Delivery-Charging/dp/B0CQNZS613/ref=sr_1_7?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-7,4.4,73720,2999,698,77,2301,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']",USB C to Lightning Cable Support PD Fast Charging[Apple MFi Certified],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 14,13, 12,11,X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-13,4.2,32402,1099,399,64,700,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","High Compatibility : Compatible With iPhone 14,13,12,11,X/XsMax/Xr, iPhone 8/8 Plus,iPhone 7/7 Plus,iPhone 6s/6s Plus,iPhone 6/6 Plus,iPhone 5/5s/5c/se,iPad Pro,iPad Air 1/2,iPad mini 1/2/3,iPod nano7,iPod touch and more apple devices. Fast Charge & Data Sync : It can charge and sync simultaneously at a rapid speed, Supports Apple Carplay and Compatible with any charging adaptor, multi-port charging station or power bank. Durability : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility. High Security Level : It is designed to fully protect your device from damaging excessive current.Copper core thick+Multilayer shielding, Anti-interference, Protective circuit equipment. WARRANTY: 12 Months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. If you meet any question or problem, please don't hesitate to contact us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),https://www.amazon.in/Portronics-Konnect-POR-1403-Charging-Function/dp/B09KH58JZR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-15,4.2,5141,699,119,83,580,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","This cable comes with charging & Data sync function for smartphones.This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using. TPE + Nylon Material to make sure that the life of the cable is enhanced significantly. The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office. Charge for all Type C USB connectivity devices including MacBook 12 inch, Nexus 5x, Nexus 6p, OnePlus 2, pixel c, Lumia 950, Lumia 950 xl, Nokia n1, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & other Micro USB devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_24?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-24,4,61518,299,149,50,150,[],Computers & Accessories,Accessories & Peripherals,Cables & Accessories,Cables,USB Cables,,,"['Computers & Accessories', 'Accessories & Peripherals', 'Cables & Accessories', 'Cables', 'USB Cables']","20W Fast Charging - Supports 20W fast charging and 480 Mbps data transfer speed. Quick Charge 2.0/ 3.0 - Supports Quick Charge (QC) 2.0/3.0 to deliver rapid charging speed. Universal Compatibility - It is compatible with all Micro USB enabled devices including Android smartphones, tablets, PC peripherals and other micro USB compatible devices. Unbreakable - Made of special braided outer with rugged interior bindings, it is an ultra-durable cable that won’t be affected by daily rough usage. Ideal Length - It has an ideal length of 1.5 meters which is super convenient to use. Made in India - This product is Made in India at the Ambrane’s manufacturing facility in Haryana. 180 Days Warranty - It comes with a 6 months warranty against manufacturing defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"Lenovo Tab M10 5G |10.6 inch (26.9cm)| 6 GB, 128 GB Expandable|Wi-Fi+ 5G | 90 Hz, 2K Display (2000x1200)|Dual Speakers with Dolby Atmos |Android 13 | Octa-Core Processor (Abyss Blue, ZACT0030IN)",https://www.amazon.in/Lenovo-Expandable-2000x1200-Octa-Core-Processor-ZACT0030IN/dp/B0C9MBP7DJ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4,175,47000,21999,53,25001,"['Upto ₹990.59 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹990.59 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,199.90 discount on select Credit CardsUpto ₹2,199.90 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","[Visionary Display] 10.61 Inch 2K 2000x1200 Resolution IPS Display with 400 nits peak brightness | 90Hz Refresh Rate | 72% NTSC [Sound that Surrounds] Dual speaker optimized with Dolby Atmos [Storage & Battery] 6 GB RAM with 128 GB Storage, Expandable up-to 1 TB with microSD Card Support; 7700 mAh Battery [Camera] 13 MP Auto-Focus with Flash Rear Camera| 8 MP Fixed Focus Front Camera [Connectivity] Wifi with LTE (Calling), [Processor] Qualcomm Snapdragon 695 (8C, Kryo 660, 2x Gold @2.2GHz + 6x Silver @1.8GHz) [Care for you] Low Blue Light (TÜV Rheinland Certified) [Ports] 1x USB-C 2.0 (support data transfer and charging) | 1x Headphone / microphone combo jack (3.5mm) | 1x Nano-SIM + microSD card slot [Warranty] 1 Year Warranty on Tablet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"HONOR Pad X9 with Free Flip-Cover 11.5-inch (29.21 cm) 2K Display, Snapdragon 685, 7GB (4GB+3GB RAM Turbo), 128GB Storage, 6 Speakers, Up-to 13 Hours Battery, Android 13, WiFi Tablet, Metal Body, Gray",https://www.amazon.in/Flip-Cover-11-5-inch-Display-Snapdragon-Speakers/dp/B0C9V7RYWD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-9,4.3,787,25999,15999,38,10000,"['Upto ₹720.41 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹720.41 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","? Storage? 7GB (4GB+3GB RAM Turbo) | 128 GB ROM;?Large Screen and Clear Visuals? HONOR Pad X9 equipped with an 11.5-inch 120 Hz 2k display, 86% screen-to-body ratio, 400 NITS, and 100% SRGB screen technology for transparent visuals ? Flip cover for easy viewing ?The sleek and lightweight stand-fold design provides convenient viewing angles when watching videos, video calls, texting, gaming or reading, etc.;?Immersive Audio Experience?6 Cinematic surround speakers comes with HONOR Hi-Res audio technology delivers crystal clear audio and immerses you in every single tone ?Smooth Experience? The new Magic UI 7.1 system is based on the latest Android 13. The Qualcomm Snapdragon 685 processor provides comprehensive performance;?Lightweight and Portable? Weighing only 495g and with 6.9mm thickness, the metal unibody design will give you the premium look and comfortable feel in your palm ?Multi-Window for Efficient Working? The Split-Screen function opens multiple apps on the same screen at the same time. Let's you multi-task easily;?Google Kids Space for Efficient Learning? HONOR Pad X9 has pre-installed Google Kids Space, providing students Apps, Books, and Videos available for different age groups; ?Eye Protection and E-book Mode? HONOR Pad X9 is certified by TÜV Rheinland for low blue light and flicker-free eye comfort mode and effectively reduces eye fatigue Ram Memory Installed Size: 4.0GB; Memory Storage Capacity: 128.0GB; Special Features: Stereo Speakers; Warranty Type: Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"Samsung Galaxy Tab A9+ 27.94 cm (11.0 inch) Display, RAM 8 GB, ROM 128 GB Expandable, Wi-Fi Tablet, Silver",https://www.amazon.in/Samsung-Galaxy-Tab-A9-Expandable/dp/B0CJ393D6H/ref=sr_1_16?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-16,4.1,323,27999,18990,32,9009,"['Upto ₹855.10 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹855.10 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","Outstanding vividness with 27.94 cm (11.0 ) LCD display, 90 Hz Refresh Rate, 1920 x 1200 (WQXGA) Qualcomm Snapdragon SM6375 Processor 8 MP AF Rear Camera, 5 MP FF Front camera,Quad Speakers Surround Sound 7040 mAh Battery Ram Memory Installed Size: 8.0GB; Memory Storage Capacity: 128.0GB; Battery Capacity: 7040.0 mAH; Special Features: Fast Charging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"HONOR Pad 9 with Free Bluetooth Keyboard, 12.1-Inch 2.5K Display, 16GB (8+8GB Extended), 256GB Storage, Snapdragon 6 Gen 1 (4nm), 8 Speakers, Up-to 17 Hours, Android 13, WiFi Tablet, Metal Body, Gray",https://www.amazon.in/Bluetooth-Keyboard-12-1-Inch-Extended-Snapdragon/dp/B0CY2QL1JR/ref=sr_1_6?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.1,87,34999,24999,29,10000,"['Upto ₹1,125.67 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹1,125.67 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,499.90 discount on select Credit CardsUpto ₹2,499.90 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']","【 Storage】 16GB (8+8GB Extended) | 256 GB Storage 【Large Screen & Clear Visuals】 HONOR Pad 9 equipped with a 12.1-inch (30.48-Cm) 120 Hz 2.5k display, 88% screen-to-body ratio, 500 NITS, and 1.07 billion color Gamut screen technology for transparent visuals 【High-Performing processor】 The HONOR Pad 9 comes with a high-performing octa-core Qualcomm Snapdragon 6 Gen 1 (4nm) Mobile Platform processor 【Free HONOR Bluetooth Keyboard】 The sleek and lightweight stand-fold design of Keyboard provides convenient typing experience and viewing angles 【Immersive Audio Experience】8 Cinematic surround speakers comes with HONOR Hi-Res audio technology delivers crystal clear audio and immerses you in every single tone 【Eye Protection and E-book Mode】 HONOR Pad 9 is certified by TÜV Rheinland for low blue light and flicker-free eye comfort mode and effectively reduces eye fatigue 【Smooth Experience】 The new Magic OS 7.2 system is based on the latest Android 13 provides comprehensive performance 【Multi-Window for Efficient Working】 The Split-Screen function opens multiple apps on the same screen at the same time let you do multi-task conveniently 【Lightweight and Portable】 Weighing only 555g and the metal unibody design will give you the premium look and comfortable feel in your palm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"Lenovo Tab M10 FHD 3rd Gen| 10.1 Inch (25.65 cm) WUXGA IPS Display |100% sRGB| 4 GB RAM, 64 GB ROM| Octa-Core Processor | Wi-Fi | 5100mah Battery |Dual Speakers| TÜV Rheinland Low Blue Light Certified",https://www.amazon.in/Lenovo-Display-Speakers-Octa-Core-Processor/dp/B0B8DKL2SD/ref=sr_1_14?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-14,4,918,26000,11499,56,14501,"['Upto ₹517.79 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹517.79 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Tablets,,,,,,"['Computers & Accessories', 'Tablets']",10.1 inch FHD (IPS LCD) (1920*1200) display| 100% sRGB| 320 nits brightness; 8.5 mm thin| 460 gm light|Android 11| Unisoc T610 octa core processor| 4 GB RAM | 64 GB ROM expandable upto 128 GB| 5100 mAH battery| 10 hours video playback time Dual speakers with Dolby Atmos| One microphone| Face Unlock technology 8 MP Auto-Focus Rear Camera| 5 MP Auto-Focus Front Camera| 1 year warranty Ram Memory Installed Size: 4.0GB; Warranty Type: 1 Year Comprehensive Warranty; Memory Storage Capacity: 64.0GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
