deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
445,"Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black",https://www.amazon.in/Logitech-Hyperion-Ultra-Gaming-Mouse/dp/B00NFD0ETQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-5,4.6,11714,2895,2344,19,551,"['Upto ₹105.53 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹105.53 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","HIGH SPEED TRACKING : Fusion engine delivers one of the highest gaming mouse tracking speeds of up to 500 IPS 8 PROGRAMMABLE BUTTONS : Customise your Logitech wired gaming mouse and enjoy default configuration straight out of the box or set up one-button triggers personal to you and save them to your G402 USB gaming mouse ON-THE-FLY DPI : Shift through up to four DPI settings, from pixel-precise targeting (250 DPI) to lightning-fast manoeuvres (4000 DPI) ADVANCED RESPONSE RATE : They will be communicated to the game at the highest possible speed COMFORTABLE DESIGN : Lightweight materials, rubber grips and low friction feet help ensure that your gaming sessions last as long as you can WARRANTY: 2 Year limited harware warranty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"Logitech G304 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, Compatible with PC/Mac - Black",https://www.amazon.in/Logitech-Lightspeed-Wireless-Gaming-Mouse/dp/B07G98H6PM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-2,4.5,6540,3795,2794,26,1001,"['Upto ₹125.79 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹125.79 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Next-generation HERO sensor delivers incredible performance and up to 10x the power efficiency over previous generations. HERO is an optical sensor capable of exceptional accuracy and responsiveness with 400 IPS precision and up to 12,000 DPI sensitivity. Ultra-fast LIGHTSPEED Wireless technology gives you a lag-free gaming experience. G304 delivers incredible responsiveness and reliability with a super fast 1 ms report rate for competition-level performance. Play at peak performance without worrying about running out of power. G304 boasts an incredible 250 hours of continuous gameplay at 1ms report rate in Performance mode on just one AA battery. G304 has a battery indicator light that flashes red at 15% battery remaining. Switch to Endurance mode via Logitech G HUB software and extend battery life up to 9 months on a single AA battery. Endurance mode reports at 8 ms. G304 is designed to be lightweight for high maneuverability. Wireless does not have to mean heavy. G304 is a lightweight gaming mouse that comes in at only 99 grams thanks to efficient lightweight mechanical design and ultra-efficient battery usage. The durable, compact design with built-in nano receiver storage makes G304 not just a great desktop mouse, but also a great laptop travel companion. Use it with a gaming desktop or throw it into a bag with a gaming laptop to play anywhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Logitech G502 Hero High Performance Wired Gaming Mouse, Hero 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC/Mac - Black",https://www.amazon.in/Logitech-Hero-Gaming-Mouse-Black/dp/B07GBZ4Q68/ref=sr_1_6?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.5,50637,5495,4195,24,1300,"['Upto ₹188.88 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹188.88 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","High-performance Hero 25K sensor through a software update from G HUB, this upgrade is free to all players: Our most advanced, with 1:1 tracking, 400+ ips, and 100 - 25,600 max dpi sensitivity plus zero smoothing, filtering, or acceleration 11 Customizable Buttons and Onboard Memory: Assign custom commands to the buttons and save up to five ready-to-play profiles directly to the mouse ; Compatibility with Windows 7 or later and macOS 10.11 or later, Chrome OS Adjustable Weight System: Arrange up to five removable 3.6g weights inside the mouse for personalized weight and balance tuning Programmable RGB Lighting and LIGHTSYNC Technology: Customize lighting from nearly 16.8 million colors to match your team's colors, sport your own or sync colors with other Logitech G gear Mechanical Switch Button Tensioning: Metal spring tensioning system and pivot hinges are built into left and right gaming mouse buttons for a crisp, clean click feel with rapid click feedback Manufacturer Detail: Logitech Asia Pacific Ltd, Units 1003, Tower 1, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Kowloon, Hong Kong. Packer Detail: Logitech Asia Pacific Ltd, Units 1003, Tower 1, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Kowloon, Hong Kong. Importer Details: Rashi peripherals pvt ltd, Rashi complex, A Building Survey no. 186, Dongaripada poman village, Vasai - Bhiwandi Road, Dist Thane , Maharastra - 401208 HERO Sensor: Next generation HERO sensor delivers precision tracking up to 25,600 DPI with zero smoothing, filtering, or acceleration. 11 Programmable Buttons:11 programmable buttons and dual-mode hyper-fast scroll wheel give you fully customizable control over your gameplay. Adjustable Weights:Arrange up to five 3.6g weights for personalized weight and balance configuration. Mechanical Switch Button Tensioning:A metal spring tensioning system and metal pivot hinges are built into left and right mouse buttons for a crisp, clean click feel with rapid click feedback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Cosmic Byte Orcus RGB Honeycomb Gaming USB Mouse with Software, New Upgraded, 12800DPI, Instant 825 Sensor, Ultra Lightweight 74Grams, Braided Cable, 1000Hz Polling Rate, Software (Black)",https://www.amazon.in/Cosmic-Byte-Orcus-Honeycomb-Lightweight/dp/B09G8XQ9BM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-7,4.4,376,999,849,15,150,[],Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']",Gaming Sensor- The High-Precision Sensor delivers Pinpoint Accuracy Textured Surface-Honeycomb design helps to grip the mouse perfectly with either palm or claw style Customizable Thumb Buttons- Program the side mouse button easily by using the software Customize DPI- 6 DPI levels are supported and each level can be customized accurately using the software 1000 Hz Polling Rate: Enjoy lag free gaming and extremely fast response with1000 Hz polling rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"Corsair Katar Pro Ultra-Light Optical USB Gaming Mouse with Backlit RGB LED, 12400 DPI (Black)",https://www.amazon.in/Corsair-Ultra-Light-Optical-Gaming-Backlit/dp/B08KSZV3SR/ref=sr_1_19?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-19,4.2,902,2400,1609,33,791,"['Upto ₹72.43 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹72.43 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Engineered using the latest technology, the product scores high on the aspect of functionality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,"Logitech G USB PRO X Superlight Wireless Gaming Mouse, Ultra Lightweight 63 g, Hero 25K Sensor, 25600 DPI, 5 Programmable Buttons, Long Battery Life, for Esports, Compatible with PC/Mac-White",https://www.amazon.in/Logitech-Superlight-Lightweight-Programmable-Compatible/dp/B08XBM79XJ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4.6,873,14995,10995,27,4000,"['Upto ₹495.09 EMI interest savings on select Credit CardsUpto ₹495.09 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Made with and for Pro Gamers: designed in collaboration with the world’s leading gaming esports pros; engineered to win, it is the pinnacle of our continued pursuit for the highest performance level Ultra-lightweight engineering: at under 63 grams, with hyper-minimal redesign achieving nearly 25 percent weight reduction compared to the standard PRO Wireless mouse LIGHTSPEED Wireless: With pro-grade USB wireless performance, LIGHTSPEED provides a rock-solid and super-fast 1 ms report rate connection, without the drag and distraction of a cord HERO 25K Sensor: this Pro gaming mouse has the latest version Hero sensor; the most accurate, high performing and efficient gaming sensor yet, exceeding 400 IPS and delivering 25600 DPI tracking Smooth glide: the large zero-additive PTFE feet of this Logitech G gaming mouse delivers a smooth glide for a pure, fluid connection with the game",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,"Logitech G102 USB Light Sync Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8K DPI Tracking, 16.8mn Color, Light Weight - Black",https://www.amazon.in/Logitech-G102-Customizable-Lighting-Programmable/dp/B08LT9BMPP/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-1,4.4,12919,2295,1395,39,900,[],Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","COLORFUL LIGHTSYNC RGB : Play in colour with our most vibrant LIGHTSYNC RGB featuring colour wave effects that are customisable across 16.8 million colours. 8,000 DPI sensor. CLASSIC,GAMER TESTED DESIGN : Play comfortably and with total control. The simple 6-button layout and classic gaming shape form a comfortable, time-tested and loved design MECHANICAL SPRING BUTTON TENSIONING: Primary buttons are mechanical and tensioned with durable metal springs for reliability, performance and an excellent feel CUSTOMIZABLE SETTINGS : To suit the sensitivity you like with Logitech G HUB gaming software and cycle easily through up to 5 DPI settings; SYSTEM REQUIREMENTS : Windows 7 or later, macOS 10.11 or later, Chrome OSTM, USB port, Internet access for Logitech Gaming Software (optional) Style Name: G102 2nd Gen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,"RPM Euro Games Wireless Gaming Mouse | Rechageable 500 mAh Battery | Adjustable 2400 DPI | 6 Color Backlit RGB | Works with Windows, MAC, Android.",https://www.amazon.in/RPM-Euro-Games-Rechargeable-Adjustable/dp/B0BNVKL742/ref=sr_1_10?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-10,4,548,990,499,50,491,[],Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","【RECHARGEABLE & PORTABLE】Built-in 500mAh rechargeable battery, easy charging by included USB cable. Adopt intelligent energy-saving design, standby time is long with auto sleep mode. 【Upto 2400 DPI】- It gives you multiple choices to set the sensitivity parameters suiting your style in best way from 800-1600-2400 DPI. 【6-COLOR LED LIGHT】6 different colors LED light that changes while in use, makes your mouse multi-colored and cool colorful.(Note: LED lights change colors automatically, and will not stay in one color, it will change regularly with 6 colors. 【NO EXTERNAL BATTERY】- RPM Euro Games wireless mouse has an in-built Rechargeable Li-ion battery and does not require any external battery. Once the battery drains you can play it in wired connection simultaneously charging the mouse, hence there is no wait time for charging it differently or waiting to get new batteries. Plug & play with Auto-Sleep Feature : Integrated time-sensing technology will automatically place your mouse in sleep mode if it is left idle. 【DUAL GAMING MODE】- Advanced gaming grade 2.4 Wireless connection or micro usb cord wired connection experience zero delay between your thoughts and actions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,"HyperX Pulsefire Haste USB Gaming Mouse Ultra Lightweight, 59g, Hex Design, Honeycomb Shell, Hyperflex Cable, Up to 16000 DPI, 6 Programmable Buttons (4P5E3AA)- Black, Red",https://www.amazon.in/HyperX-Pulsefire-Haste-Lightweight-Programmable/dp/B09QX54293/ref=sr_1_22?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-22,4.5,8288,5057,3559,30,1498,"['Upto ₹160.24 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹160.24 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Ultra-light hex shell design: The honeycomb shell provides feather-light weight without sacrificing durability. HyperFlex USB Cable: The light, flexible paracord material reduces tension and resistance for easier mouse movement. TTC Golden micro dustproof switches: These switches provide solid, satisfying clicks and are rated for 60 million clicks. Pure virgin-grade PTFE skates: The low-friction 100% PTFE skates help provide an easy, effortless glide. Grip tape included: For more control and comfort, grip tape for the sides and left and right buttons are included. Customizable with HyperX NGENUITY Software: Easily customize with the powerful, easy-to-use, HyperX NGENUITY Software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,"Cosmic Byte Kilonova 3335IC Wireless + Wired Dual Mode RGB Gaming Mouse with Pixart 3335 Sensor, Ultra Lightweight 89grams,Rechargeable 400mAh Battery, Replaceable Top Cover and Side Buttons (Black)",https://www.amazon.in/Cosmic-Byte-Kilonova-3335IC-Rechargeable/dp/B09G88WR3W/ref=sr_1_18?dib=eyJ2IjoiMSJ9.QvxeiTZ9MiFBf711WI9mrrIxMDENto8U7sS3Azx6QxkUA_ScGHu1rc_N_aOUZpdXN18ilX78mk4GyBPpduiCKjdDHn8H1SJSHr-VG6UNsUJN1CWFjsGpzL3BGRK1bjZYRcgjzY8E-XthlSBJkhFCGkxHtFmWQafxhuEs5qjtsD3EbHj5h6Ot0NioQo-HHuSnd2JI9M8CUR7MUQtcZE18w3112esF0SAKkoGoAmWgrRQPeU88Dyot5IeHQp0BZXT1e07nnGw8-JdlZwOlqSpUpBVkqBppAzfhyLxxr310ukk.Z7iN48W_6Hxg2r6cB8t_N3D8Zr7ObQu4KZr_ot-dct0&dib_tag=se&qid=1716234586&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-18,4.3,899,3899,3079,21,820,"['Upto ₹138.62 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹138.62 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Accessories & Peripherals,PC Gaming Peripherals,Gaming Mice,,,,"['Computers & Accessories', 'Accessories & Peripherals', 'PC Gaming Peripherals', 'Gaming Mice']","Ambidextrous Design-Symmetrical in shape making it suitable for both right and left-handed users. Lightweight Multi-hole Honeycomb Design- At just 89 grams, you can shoot and flick faster. 10 Button Mouse- 7 Programmable Buttons- Assign macros and functions through software to each button 1.8M Paracord cable- Ultra lightweight and flexible “Feels like Wireless”. Dual Mode: Use the mouse as wired or wireless dual mode. Just plug in the mouse to the PC using the included cable and use in wired mode and charge the battery at the same time. Plug in the Wireless Dongle to use in wireless mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
