deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
60,"HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15-fa1226TX Gaming Laptop  (15.6 inch, Performance Blue, 2.3 Kg)",https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1226tx-gaming-laptop/p/itma50f4630abc9a?pid=COMHY8KVEKZVERUA&lid=LSTCOMHY8KVEKZVERUADILR5M&marketplace=FLIPKART&store=b5g&srno=b_1_26&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMHY8KVEKZVERUA.SEARCH&ssid=86d52n22eo0000001716053444863,4.8,5,72718,54990,24,17728,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 24% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']","Maximum Performance, Ultimate GameplayRealistic GraphicsDive into Clarity, Embrace VictoryFeel the Chill, Crush the GameSpeed to Conquer, Space to DominateVoice of Success, Loud and ClearCharge Less, Win MoreSeamless GamingSmooth KeystrokesXbox Game PassStep Up, Choose Planet","[{'rating': '5', 'comment_text': 'I like this laptop. But the sound volume is some kind of low and the battery drains quickly. But beyond this that is an awesome laptop for gaming and designing purposes.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Lenovo V15 AMD Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)",https://www.flipkart.com/lenovo-v15-amd-ryzen-3-hexa-core-5300u-8-gb-512-gb-ssd-windows-11-home-g2-alc-thin-light-laptop/p/itmfcce7edb30b87?pid=COMGZ3SPV5HJS79B&lid=LSTCOMGZ3SPV5HJS79BJ9TAXQ&marketplace=FLIPKART&store=b5g&srno=b_1_9&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGZ3SPV5HJS79B.SEARCH&ssid=86d52n22eo0000001716053444863,4.1,456,55000,28490,48,26510,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,Lenovo Laptops,,,,,"['Home', 'Computers', 'Laptops', 'Lenovo Laptops']",,"[{'rating': '5', 'comment_text': I mean", if i talk about price, then it's worth buying it. I got this laptop 28900. If you get an offer below 33000," go for it. You wont regrets! The laptop is really fast.READ MORE""}", {'rating': '5', 'comment_text': 'Best buy under 30k best laptop ....no doubt go for itREAD MORE'}, {'rating': '3', 'comment_text': 'GoodREAD MORE'}, {'rating': '5', 'comment_text': 'Very good product. Value for money but display is not so good...READ MORE'}, {'rating': '5', 'comment_text': 'Nice product I was proud feeling of the lenovo brand but price is very expensiveREAD MORE'}, {'rating': '5', 'comment_text': 'Best laptop under 30000 kREAD MORE'}, {'rating': '5', 'comment_text': 'This laptop is super all students can buy this one easilyREAD MORE'}, {'rating': '5', 'comment_text': 'Multiple uses in this laptop...like photo/video edit, office work, camera clearity also with nice design..... light weight laptop....READ MORE'}, {'rating': '5', 'comment_text': 'Very good laptopREAD MORE'}, {'rating': '5'," 'comment_text': 'Excellent productREAD MORE'}]""",,,,,,,,,,,,
62,"ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin and Light Laptop  (15.6 Inch, Icelight Silver, 1.70 kg, With MS Office)",https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&store=b5g&srno=b_1_10&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGZKHQ8BXZFBUT.SEARCH&ssid=86d52n22eo0000001716053444863,4.3,2322,56990,34990,38,22000,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,ASUS Laptops,,,,,"['Home', 'Computers', 'Laptops', 'ASUS Laptops']",Smooth PowerFueled to PerformAerodynamic IceBlades for Accelerated CoolingEasy on Your EyesThin and LightWide Open for SharingErgoSense keyboardAntibacterial GuardSafe and SecureOutstanding AudioNext-level ASUS AI Noise-Canceling TechnologyPerfect in Every DetailWiFi Connectivity,"[{'rating': '4', 'comment_text': 'Value For money Product....❤️Pros:Good DesignFingerprintFull Size Keyboardi3 12th Generation performance is top notchSSD Speed is GreatCons: Below Average Display ( Viewing Angles are Bad)Sound is Not Too much loud (Speakers are bottom firing)No BacklitBattery Backup AverageOverall a All Rounder PackageSatisfied ❤️READ MORE'}, {'rating': '5', 'comment_text': 'Display is not up to mark i3 6 physical cores better than i5 11 generationLight weight Sound are very good according to price of laptopFinger print and 180 degree screen rotationOverall all best purchase for business purposes only not for gamingREAD MORE'}, {'rating': '4', 'comment_text': 'worth to get and select as my very first laptop 💻😄soon to let you know more about the performance.READ MORE'}, {'rating': '5', 'comment_text': I got it for 29k in BBD and this is stellar at this price range. First impressions : Pros: 1. Great design2. Military grade certification for build 3. Full hd 60hz display4. Good for everyday office and student use (not for gaming)5. Fingerprint sensor included6. Wifi 67. Decent speakersCons : 1. Power button included in the keypad itself. This creates an issue after a few years when you overuse the laptop's keypad and suddenly one of the circuits get broken and you have to replac...READ MORE""}", {'rating': '5', 'comment_text': 'Processor is fantastic super fast response.READ MORE'}, {'rating': '3', 'comment_text': 'Backlit keyboard was mentioned in the 16gb ram variant, but no backlit given in the laptop 😡READ MORE'}, {'rating': '5', 'comment_text': 'The product is very nice performance 👏READ MORE'}, {'rating': '5', 'comment_text': 'Performance: Awesome. Working smoothly without any hassle.Design: The design of the laptop is simple yet elegant. The size is good, you feel like holding a big notebook (like a register book).Display: Its display is brilliant, its color rich. However its not that good when viewed from side. You have to considet that thing provided you are purchasing a budget friendly laptop.Battery: Its main weakness is battery. Not that good, and it drains fast. But preety much good for 3-4 hours.Value f...READ MORE'}, {'rating': '5', 'comment_text': 'Good laptop with affordable price, web camera quality is average.READ MORE'}, {'rating': '5'," 'comment_text': 'truly value for money 🔥❤️READ MORE'}]""",,,,,,,,,,,,,,,,,,
63,"Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A  (13.3 inch, Space Grey, 1.29 kg)",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itm3c872f9e67bc6?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&store=b5g&srno=b_1_5&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMFXEKMGNHZYFH9.SEARCH&ssid=86d52n22eo0000001716053444863,4.7,14658,89900,73990,17,15910,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 17% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,Apple Laptops,,,,,"['Home', 'Computers', 'Laptops', 'Apple Laptops']",,"[{'rating': '4', 'comment_text': Value for money product...But no one said this major issue on every mac. If I touch or rub the mac body while charging", I can feel some electric sensation passing through my body.. when I searched about the issue," this issue has existed for the last 10 years on all mac devices because of 2 pin chargers without ground. This issue can be resolved only with a 3 pin charger with ground. This issue should be resolved by mac providing 3 pin charger but they didn't care about this issue. We should...READ MORE""}", {'rating': '4'," 'comment_text': ""A bit expensive when we compare with today's intel (11th gen) or AMD (Ryzen 5th gen) based windows Laptops with RTX 30 Graphics but this Apple M1 in terms of overall performance", it is far beyond what windows laptops can offer in same segment.I won't compare it with windows laptops as we all are aware of it. This is more about M1 chip. People are worried about buying M1 version because of compatibility issues.Don't worry, this processor is so powerful and in terms of compatibility," this ...READ MORE""}", {'rating': '5'," 'comment_text': ""About me (type of consumer): moved from windows to Apple after 8 years ! Never buyed a laptop ! Best transition stage.Being practical I always don't wanted to move to Apple instead going for windows in that or less price ", but apple did its job ,this time not just the branding but the performance at its best .Coder review : Performance : 10/10I used android studio , u can easily run the emulator ,no lagFrom editing videos to multitaskig 30 apps at a time ," M1 is the beat one mach...READ MORE""}", {'rating': '5', 'comment_text': 'UnbeatableREAD MORE'}, {'rating': '5', 'comment_text': 'Best in class laptop ❤️💫READ MORE'}, {'rating': '5', 'comment_text': 'Fantastic value for money machine!! Absolute beast as far as sheer performance is concerned that being super efficient on the battery. 1. Using it mainly for coding purposes, browsing and all that regular stuff. Haven’t played any games on it so I can’t comment on battery life and performance while gaming but with regular coding stuff like web development, mobile app development, web browsing etc the battery will easily last for 10+ hrs or even more.2. Apple nailed the thermals on this mac...READ MORE'}, {'rating': '5', 'comment_text': 'Best device ever .I love it...READ MORE'}, {'rating': '5', 'comment_text': 'My first Macbook and no regret that I waited for this. Sleek design, lightning speed, super light weight and silent as a wolf.If you want to have a laptop that is super cool in look as well as performance, go for it.READ MORE'}, {'rating': '5', 'comment_text': 'Just love it, dream comes true😎READ MORE'}, {'rating': '5'," 'comment_text': 'Amazing. In love with screen quality.READ MORE'}]"""
64,"walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop  (14.1 inch, Cloud Silver, 1.3 Kg)",https://www.flipkart.com/walker-intel-celeron-dual-core-n4020-4-gb-128-gb-ssd-windows-11-home-nu14a1-thin-light-laptop/p/itm3d8c664ba317d?pid=COMGT4RVRZZKSHX3&lid=LSTCOMGT4RVRZZKSHX3QIYXNU&marketplace=FLIPKART&store=b5g&srno=b_1_21&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGT4RVRZZKSHX3.SEARCH&ssid=86d52n22eo0000001716053444863,3.8,822,30000,12990,56,17010,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 56% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,walker Laptops,,,,,"['Home', 'Computers', 'Laptops', 'walker Laptops']",,"[{'rating': '4', 'comment_text': 'Nice Product and lowest priceREAD MORE'}, {'rating': '4', 'comment_text': 'Good prudent in low budgetREAD MORE'}, {'rating': '3', 'comment_text': 'This laptop is good for general use. Performance is good as per price range .Pros : build and design. Cons : storageREAD MORE'}, {'rating': '5', 'comment_text': 'Value for moneyREAD MORE'}, {'rating': '5', 'comment_text': 'GOOD LAPTOP. COSTMER CARE RESPONSE GOOD.READ MORE'}, {'rating': '5', 'comment_text': 'Low price in best laptop, very good Product.i like it, Thankyou Flipkart and welker company.READ MORE'}, {'rating': '4', 'comment_text': 'This is best laptop for student usage.READ MORE'}, {'rating': '5', 'comment_text': Wow.... it's very good product that too in low price... Battery", display," function everything is super about it... I'm very satisfied with this product and recommend to others... The summary which was given in product it's actual true... Perfect product for Middle class students ☺️😊🎁READ MORE""}", {'rating': '5', 'comment_text': 'Nice product 👍READ MORE'}, {'rating': '4'," 'comment_text': 'The product is goodREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2212AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-laptop-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2212au-thin-light/p/itmedd9f415e3db2?pid=COMGHAGN3U9FJH39&lid=LSTCOMGHAGN3U9FJH399DGAOY&marketplace=FLIPKART&store=b5g&srno=b_1_12&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGHAGN3U9FJH39.SEARCH&ssid=86d52n22eo0000001716053444863,4.3,3622,44783,31700,29,13083,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 10% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",Windows 11 PreinstalledLife-like DisplayRobust ProcessorPowerful MemoryIntegrated 4G ConfigurationExtensive Battery LifeEasy to Carry,"[{'rating': '5', 'comment_text': Its around 4 months I am using this laptop "," It is working very smooth. I have build amy first website through this laptop. My devlopment experience is too good . Don't thing too much . Just buy it and start your learning. I thing most important thing is our time. Don't waste time on overthinking'. Thanks and sorry for my bad english. P.S : I am a 1st year engineering student from West Bengal :)READ MORE""}", {'rating': '5', 'comment_text': 'Excellent Laptop Powerful Processor Excellent Look with Backlit Very Smooth. HD Camera, Good Speakers quality and sound light weight Battery mind blowing.All Preloaded softwares. Overall SatisfiedREAD MORE'}, {'rating': '4', 'comment_text': 'Great product in this range you can go for it.READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '5'," 'comment_text': ""After 12 days of heavy usage", I am writing this review. Overall the performance of this laptop really is beyond expectation. The new ryzen 3 5300U processor is really a power efficient processor. The battery backup is exceptional. Despite all the negative feedback of windows 11, I have not faced any major bugs," yeah sometime the control centre doesn't pop up correctly.And the SSD also does it's job perfectly. It boots within 6 seconds. The price of this laptop is getting high every week. Ins...READ MORE""}", {'rating': '4', 'comment_text': 'Im quite satisfied with the product. In performance its good obviously its rayzen 3 5300u the top variant of the processor. Display is also good (mine is with IPS). Backlit is good. The silver color on laptop is worrying thing, on which scratching is started to get. Overall its an excellent device at this price point.READ MORE'}, {'rating': '5', 'comment_text': 'absolutely fantastic 🥰🥰🥰🥰READ MORE'}, {'rating': '4', 'comment_text': 'Very nice product.perfomence wise all good.ameging battery.very good sound speakers.awesome blacklit keyboard. Superb display.under 40k blindly go for this.value for money.READ MORE'}, {'rating': '5', 'comment_text': 'Great deal under 45k....go for itREAD MORE'}, {'rating': '5'," 'comment_text': ""From 5 days I'm using this laptop", performance is very good but only the thing is that battery stucks at 99%, battery is not charging 100%," what to do now??READ MORE""}]""",,,,,,,,
67,"HP Chromebook (2024) MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook  (11.6 Inch, Black, 1.34 Kg)",https://www.flipkart.com/hp-chromebook-2024-mediatek-mt8183-4-gb-32-gb-emmc-storage-chrome-os-11mk-g9/p/itmddd538185ba9e?pid=COMGZFFXXHNVC5A5&lid=LSTCOMGZFFXXHNVC5A5HQK9UJ&marketplace=FLIPKART&store=b5g&srno=b_1_3&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGZFFXXHNVC5A5.SEARCH&ssid=86d52n22eo0000001716053444863,3.8,3650,34554,11990,65,22564,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 14% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,HP Laptops,,,,,"['Home', 'Computers', 'Laptops', 'HP Laptops']",,"[{'rating': '4', 'comment_text': 'Having used this device for about 10 days, the difference between a smartphone and a laptop gets even more blurred! This is not a power workhorse machine and it is not designed to be one. But it sure is a great asset for simple daily activities such as surfing, emailing and some conferencing from home. Display is so-so and hence if that is important for you, then advise to go for a higher end laptop. But for this price point this is a very good buy. If you need the experience of your Android ...READ MORE'}, {'rating': '4', 'comment_text': 'Nice!READ MORE'}, {'rating': '5', 'comment_text': 'I love HP Chromebook. Best Value of money 😎READ MORE'}, {'rating': '5', 'comment_text': 'i loved it, superb performance, awesome battery and touch is just wow.. this is a complete package, design is also premium and build is also premium, loved it ....READ MORE'}, {'rating': '4', 'comment_text': Received it yesterday. It has a 100% plastic body. Touchscreen works well. Touchpad is also great. Boots in seconds. It has a port for USB type-A where you should be able to insert a harddisk/pendrive or any USB device", but unfortunately you'll have to do that forcefully as the port is very tigh/small for those devices. It has a USB type-C port, a 3.5 mm audio jack and a slot for memory card. I have used it for around 9 hours and approx. 50% battery is used. It has 64 GB RAM," the OS occupie...READ MORE""}", {'rating': '5', 'comment_text': 'Best laptop for this price rangeIt supports google playstore application onlyWindows software will not supportBoot time was fastEasy to access application like android phoneI got 64 GB emmc storage - out of 64 GB only 45 GB will get for storage purposeIps display was good and night mode also availableI can able to play video 1080p without lagging or struckREAD MORE'}, {'rating': '3', 'comment_text': 'All good but bluetooth not working and swith on automatically want to replace thank uREAD MORE'}, {'rating': '3', 'comment_text': 'Battery life was too good,Display and working also good,But small in size.Sound quality is ok than i expected.Weight less easy to carryOver all Good. I have worked this product for almost one month i really like it.Use for students.READ MORE'}, {'rating': '5', 'comment_text': 'Awesome product from hp best for studentsREAD MORE'}, {'rating': '5'," 'comment_text': 'An amazing device especially for high & smooth performance. Online classes goes well.. Touch & type makes it more effective & efficient. Worth buying :)READ MORE'}]""",,,,,,,,,,,,,,,,,,,,
68,"ASUS VivoBook 14 (2022) AMD Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB512WS Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg, With MS Office)",https://www.flipkart.com/asus-vivobook-14-2022-amd-ryzen-7-quad-core-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m415da-eb512ws-thin-light-laptop/p/itm1cb2d80664d4e?pid=COMGCG2GDC5RZZNX&lid=LSTCOMGCG2GDC5RZZNXOQ42KA&marketplace=FLIPKART&store=b5g&srno=b_1_31&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGCG2GDC5RZZNX.SEARCH&ssid=86d52n22eo0000001716053444863,4.2,1406,70990,46990,33,24000,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}]",Computers,Laptops,ASUS Laptops,,,,,"['Home', 'Computers', 'Laptops', 'ASUS Laptops']",Efficient ProductivityPowerful ProcessorExceptional StorageNanoEdge DisplaySleek DesignEnhanced Privacy,"[{'rating': '5', 'comment_text': 'Excellent product.READ MORE'}, {'rating': '4', 'comment_text': 'Good performance in programming and multitasking but the battery backup is too low of about an 2 hours while using in performance wise like programming,gaming but overall it works very well.READ MORE'}, {'rating': '4', 'comment_text': 'powerful laptop with optimum speed only drawback is speakers have low sound otherwise everything is fine good for work and programmingREAD MORE'}, {'rating': '4', 'comment_text': 'Overall laptop is fine compact and good in performance, but sound is very low....READ MORE'}, {'rating': '4', 'comment_text': It's a good deal", performance is kinda okay," built quality is little compromisedREAD MORE""}", {'rating': '4', 'comment_text': 'Everything is good but Speaker is very very very bad 😩 and compact size 👍🏼READ MORE'}, {'rating': '5', 'comment_text': 'This laptop is very nice velue for moneySmoot quality is veri niceREAD MORE'}, {'rating': '5', 'comment_text': 'Awesome performance...READ MORE'}, {'rating': '5', 'comment_text': 'Bestest laptopREAD MORE'}, {'rating': '4', 'comment_text': 'Smooth working ,Due to inbuilt of 16GB ram and ryzen 7 processor less than 10%of heat can be seen .display good ,"keypad OK .Surface is nice with smooth edgesREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,
69,"DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (38 cm, Carbon Black, 1.65 Kg, With MS Office)",https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AEKCVA0S&marketplace=FLIPKART&store=b5g&srno=b_1_19&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGJ75HCCFJS8AE.SEARCH&ssid=86d52n22eo0000001716053444863,4.2,1438,62841,35068,44,27773,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 25% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,DELL Laptops,,,,,"['Home', 'Computers', 'Laptops', 'DELL Laptops']",Exceptional PerformanceBuilt-in HD CameraElevated AudioSustainable DesignImmaculate Connectivity,"[{'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '3', 'comment_text': 'Product quantity is good.It is basically 12th generation laptop from the company Dell.I have previously used dell laptop.It is a good brand by performance and efficient.READ MORE'}, {'rating': '5', 'comment_text': 'This product is awasam with this price range. Dell always gives you value for money product.READ MORE'}, {'rating': '3', 'comment_text': Impressive Performance in a Slim Package!I recently purchased the DELL Core i3 12th Gen 1215U New Inspiron 15 Laptop from Flipkart", and I must say, it has been a delightful experience so far. This laptop combines style and substance in a sleek and slim design," making it a fantastic choice for both work and entertainment.**Design and Build Quality (4.5/5):**The laptop's slim and lightweight design is highly appealing. It's easy to carry around and fits comfortably in my backpack. The buil...READ MORE""}", {'rating': '2', 'comment_text': 'Heating issueREAD MORE'}, {'rating': '5', 'comment_text': 'very good laptop for normal useREAD MORE'}, {'rating': '4', 'comment_text': 'Best in priceREAD MORE'}, {'rating': '5', 'comment_text': 'Worth buying it.READ MORE'}, {'rating': '2', 'comment_text': 'Battery Backup very badREAD MORE'}, {'rating': '4'," 'comment_text': 'Everything is good but while charging charger and laptop is heating.READ MORE'}]""",,,,,,,,,,,,,,,,,,,,
70,"Lenovo V15 Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop  (15.6 inch, Black)",https://www.flipkart.com/lenovo-v15-intel-celeron-dual-core-4th-gen-8-gb-256-gb-ssd-windows-11-home-82qya00min-laptop/p/itmdad173c69b235?pid=COMGZNMS5AHPF2GP&lid=LSTCOMGZNMS5AHPF2GPPMPOX7&marketplace=FLIPKART&store=b5g&srno=b_1_7&otracker=browse&iid=f16d348e-6d09-439e-9e3b-16ca84fdc678.COMGZNMS5AHPF2GP.SEARCH&ssid=86d52n22eo0000001716053444863,4,2407,42032,20990,50,21042,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 16% off (price inclusive of cashback/coupon)'}]",Computers,Laptops,Lenovo Laptops,,,,,"['Home', 'Computers', 'Laptops', 'Lenovo Laptops']",,"[{'rating': '5', 'comment_text': 'Nice laptop 💻READ MORE'}, {'rating': '4', 'comment_text': 'Very goodREAD MORE'}, {'rating': '5', 'comment_text': 'Value For Money 💰💰READ MORE'}, {'rating': '5', 'comment_text': 'Battery up to 3 hours ok but leptop slow chalta hai looking very niceREAD MORE'}, {'rating': '3', 'comment_text': 'awesome product, I like the design and performance. but power back up problem.READ MORE'}, {'rating': '5', 'comment_text': 'Best in priceREAD MORE'}, {'rating': '4', 'comment_text': 'Super productsREAD MORE'}, {'rating': '5', 'comment_text': 'Awesome product thank you Flipkart...👌👌🚩👏🚩🚩🚩READ MORE'}, {'rating': '5', 'comment_text': 'Very nice leptopREAD MORE'}, {'rating': '4', 'comment_text': 'Valuble of moneyREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
