deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
1,"realme 12x 5G (Woodland Green, 128 GB)  (6 GB RAM)",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&store=tyy&srno=b_1_30&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGYQ6BETBWFTDH.SEARCH&ssid=trqyjrmaa80000001715182870897,4.4,11930,17999,12999,27,5000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹5000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,realme Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'realme Mobiles']",45 W SUPERVOOC Charge with 5000 mAh Massive BatteryDimensity 6100+ 6nm 5G12.07 cm (6.72) 120 Hz FHD+ Display7.69 mm Ultra-slim Trendy Watch Design50 MP AI CameraVapour Chamber Cooling System128 GB Large StorageDual Stereo Speakers,"[{'rating': '5', 'comment_text': 'Pros 1. Design is Good.2. Display is fine with 120Hz have Smooth experience.3. Superb Charging Speed in this price Range.4. Speaker quality is awesome 😎5. Rear camera is very awesome but front camera is little disappointing in low light area but I think it will be fixed through further updates.6. Connection is Good7. Back design is looking premium in this price Range.8. For normal daily usage everything is okay. NO LAGGING.9. PERFORMANCE IS SUPERB10. BATTERY PERFORMANCE IS BEST�...READ MORE'}, {'rating': '4', 'comment_text': 'Overall a Decent phone as per the price...Camera Quality Could be better.READ MORE'}, {'rating': '4', 'comment_text': 'I bought it at an early bird sale ,Had a good experience using the phoneCamera - Decent Performance - Quite good Charging - Great Design - Amazing Features - Good according to price The air gesture feature was missing.READ MORE'}, {'rating': '5', 'comment_text': 'Camera quality is awesomePerformance is goodBattery 🔋 is goodOverall all 4.5/5READ MORE'}, {'rating': '5', 'comment_text': 'Value for money 💰READ MORE'}, {'rating': '4', 'comment_text': 'All over goodREAD MORE'}, {'rating': '5', 'comment_text': 'This very good productREAD MORE'}, {'rating': '4', 'comment_text': 'Overall Nice experience .1 - Disappointed by camera performance only till now.2 - Battery is good with 45W charger, charging time around 70-80 minutes from 0 to 100%.3- overall look very nice .READ MORE'}, {'rating': '4', 'comment_text': 'It is a best phone in budget. According to your need go for itCons:Air gesture feature is not present 😣READ MORE'}, {'rating': '4', 'comment_text': Please don't buy it for camera ..Battery backup 7hoursCharging time 1:20 minutes Out of 6gb Ram only 2.5gb Ram is available. Overall don't buy it and don't go on its design it is just to attractREAD MORE""}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,4,821,13999,10499,25,3500,[],Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74 HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection"," 600nits in High Brightness mode 50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (8 GB RAM)",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmb8432b2780c2d?pid=MOBHYFPPEKZXYEQP&lid=LSTMOBHYFPPEKZXYEQPPNPWO5&marketplace=FLIPKART&store=tyy&srno=b_1_8&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6J-wuA0Uw9vTidwKNzDWzD3nbtd2sFhwMX9c8JhZs4i2evN4Mn-dv-pi277bRzMbnY%3D&ssid=trqyjrmaa80000001715182870897,4.2,243,17999,14999,16,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,SAMSUNG Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'SAMSUNG Mobiles']",Samsung Galaxy F15: Redefining Smartphone BrillianceUnmatched Endurance: A Battery That LastsPerformance Beyond BoundariesImmersive AudioSeamless ConnectivityFast and Furious: Superfast 5G Speeds in 13 BandsCapture Every Detail: 50 MP Triple CameraFun-filled SelfiesVault of Security: Samsung Knox Vault ChipsetSmart UI for Fun Living: Call Background Customisation,"[{'rating': '4', 'comment_text': 'Nice 🤠........READ MORE'}, {'rating': '5', 'comment_text': 'Really amazing purchaseREAD MORE'}, {'rating': '4', 'comment_text': 'Good samsung mobile at this price range only thing is device weigh bit heavy bec of 6000 mah battery. Overall worth for moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Value for moneyREAD MORE'}, {'rating': '1', 'comment_text': 'Over heat, charging very slowly, camer not goodREAD MORE'}, {'rating': '5', 'comment_text': 'Best camera samsung f15 .I really like it .i also test games with the phone good experienceREAD MORE'}, {'rating': '1', 'comment_text': 'Battery drainingREAD MORE'}, {'rating': '5', 'comment_text': 'All rounder mobile,No 1 ,features, low,price1Display Amoled2 Batery 60003 Andorid 144 security update 4 years (important)5 Ram 8 Gb6 quick charge7 mediatek hig performance prossesor in this amountEverything okREAD MORE'}, {'rating': '4', 'comment_text': 'This range camera was good.READ MORE'}, {'rating': '4', 'comment_text': 'Good enough for the price. Will know more after using for a while.READ MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Gorilla Cases Tempered Glass Guard for Motorola Edge 40 , Moto Edge 40 Neo (Premium Technology UV Glass With Installation Kit)  (Pack of 1)",https://www.flipkart.com/gorilla-cases-tempered-glass-guard-motorola-edge-40-moto-neo-premium-technology-uv-installation-kit/p/itm9dfbc0f526603?pid=ACCGY2ZR2GGBPGGW&lid=LSTACCGY2ZR2GGBPGGW2E0A17&marketplace=FLIPKART&store=tyy&srno=b_1_18&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6K3mzXe0RhAqX-4QIhpAg8foQjDx-TiUZQcA9GqdScglQ%3D%3D&ssid=trqyjrmaa80000001715182870897,3.4,48,1199,399,66,800,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹1,250 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra 66% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Screen Guards,Gorilla Cases Screen Guards,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Screen Guards', 'Gorilla Cases Screen Guards']",,"[{'rating': '5', 'comment_text': Perfectly fitted for my mobile Come with a good packing very easy to install to mobile the glow was good now I'm feeling good experience THANKS TO FLIPKARTREAD MORE""}", {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '1', 'comment_text': 'Waste of money we are not expertsREAD MORE'}, {'rating': '1', 'comment_text': 'This product not worth.. waste of moneyREAD MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '2'," 'comment_text': 'Very bad quality glueREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,
6,"Callmate 20000 mAh 15 W Power Bank  (Black, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/callmate-20000-mah-15-w-power-bank/p/itm63a358dc76193?pid=PWBGHSD9XTKYAJNY&lid=LSTPWBGHSD9XTKYAJNYPGQADF&marketplace=FLIPKART&store=tyy&srno=b_1_21&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JlEC99KO4dihsUTqEp2fX7AZD03heE8ANFkrPtsgdJ3eI7uWi7bi3WLqk6JF-UYDE%3D&ssid=trqyjrmaa80000001715182870897,3.7,202,1999,699,65,1300,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 46% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Callmate Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Callmate Power Banks']",,"[{'rating': '1', 'comment_text': 'He not workingREAD MORE'}, {'rating': '4', 'comment_text': 'overall okREAD MORE'}, {'rating': '1', 'comment_text': Very bad item don't buy its heavy in size and weightCharging also very very slow when i try to return i can't they are cheating don't buy thisREAD MORE""}", {'rating': '1', 'comment_text': 'Very bad product. waste of moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Good productREAD MORE'}, {'rating': '5', 'comment_text': 'Super productValue for money 😍👌👍READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '1'," 'comment_text': ""Initially Charges very slow and now it's not workintREAD MORE""}", {'rating': '5'," 'comment_text': ""Nice"," I can't believe this very good and useful to Power and 1point power to 5% increaseREAD MORE""}]""",,,,,,,,,,,,,,,,,,,,
8,Xiaomi Pad 6 6 GB RAM 128 GB ROM 11.0 inch with Wi-Fi Only Tablet (Graphite grey),https://www.flipkart.com/xiaomi-pad-6-gb-ram-128-rom-11-0-inch-wi-fi-only-tablet-graphite-grey/p/itm2ef8f4a0c8055?pid=TABGTTFKSYC9WAYK&lid=LSTTABGTTFKSYC9WAYKNHLQVE&marketplace=FLIPKART&store=tyy&srno=b_1_37&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6KvRFta-iBop8nO8rER3iTG4YPYWp4z9R8uchqFBuzO2r3nN5BP0oUQf7sdSRT1im4%3D&ssid=trqyjrmaa80000001715182870897,4.6,6751,39999,24999,37,15000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹1,250 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra 37% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Tablets,Tablets without Call Facility,Mi Tablets without Call Facility,,,,"['Home', 'Mobiles & Accessories', 'Tablets', 'Tablets without Call Facility', 'Mi Tablets without Call Facility']",,"[{'rating': '5', 'comment_text': Battery performance display and overall this is a good tab software is also really good just don't drop this and don't expect too much from the camera. Go for it device.READ MORE""}", {'rating': '5', 'comment_text': 'I am using last 6 months and is very smooth.Performance top-notchBattery v goodDisplay 1 of the best this price rangeFully loaded with power sndragon 870100% recommend go for itREAD MORE'}, {'rating': '5', 'comment_text': 'A good screen protector must be applied if you are using the Xiaomi Smart Pen 2nd Generation with it. You can purchase the screen protector from GadgetShieildz...READ MORE'}, {'rating': '5', 'comment_text': 'One Of The Best Tab❤️READ MORE'}, {'rating': '5'," 'comment_text': ""Best tablet in this price range value for money product", it's only drawback is fingerprint not given," but overall good deal in bbdREAD MORE""}", {'rating': '5'," 'comment_text': ""It offers excellent features at a reasonable price. It's definitely a great value for money! 😄👍READ MORE""}", {'rating': '4', 'comment_text': 'A worthy product , love from odisha🥰READ MORE'}, {'rating': '4'," 'comment_text': ""Thanks",Flipkart to fast delivered this order.Nice Tab. Big screen and Dolby in Music. Write your notes,online meeting, gaming," watching movies in this big screen tablet .But SD card slot and Sim card is not used in this tablet.But it's processor amazing Snapdragon 870.READ MORE""}", {'rating': '5'," 'comment_text': ""it's good for study but Stylus pen is more expensive.READ MORE""}", {'rating': '5', 'comment_text': 'Best tab," value for moneyREAD MORE'}]""",,,,,,,,,
9,"URBN 5000 mAh Wired & Wireless With MagSafe Power Bank  (Light Blue, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/urbn-5000-mah-wired-wireless-magsafe-power-bank/p/itm22cdff01fd650?pid=PWBGXGFB2VFGHG3V&lid=LSTPWBGXGFB2VFGHG3V6NXJS6&marketplace=FLIPKART&store=tyy&srno=b_1_17&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6L-E9c1zTz_B4_v-5mOmuutxv_9IV4E17rq0pIZSsgSyWVkv0XZFiOX7bbXdlao_f8%3D&ssid=trqyjrmaa80000001715182870897,4.2,67,4999,1999,60,3000,[],Mobiles & Accessories,Mobile Accessories,Power Banks,URBN Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'URBN Power Banks']",,"[{'rating': '5', 'comment_text': 'This product is totally worth it and the value for money look is beautifully designed totally recommendedREAD MORE'}, {'rating': '5', 'comment_text': 'Quality design and features all are excellent the product is worth the purchase reviewing it almost after a 6 to 7 days of usage it is value for money if you are into gadgets the super fast charging speed is impressive and the magsafe compatibility ensures a secure connection everytime the slim design is sleek and convenient for on the go use a fantastic that meets all my charging need at suitable price range segment amazing value for money product also delivered on timeREAD MORE'}, {'rating': '5', 'comment_text': First of all", the quality of this product is really appreciable, and the design with the features are excellent. Have not seen any power banks like this ever in such price range. It's so slim and sleek," which makes it convenient for using ut outside. Totally value for money product.READ MORE""}", {'rating': '5', 'comment_text': 'It is an amazing product it makes me free form carrying lots of wire also it gives fast charging to my Iphone. So happy with this product.READ MORE'}, {'rating': '5', 'comment_text': 'The size is enough to get fit in pocket and the weight is also low. My iPhone get quick charged after placing the power bank to bank of phone. Quality is good at the price offeredREAD MORE'}, {'rating': '5'," 'comment_text': ""Good battery backup for travelling and for everyday usage as well as i have less backup in phone it can't stay on for full day and with this i can keep my phone up for full day minimumREAD MORE""}", {'rating': '5', 'comment_text': 'Charges my iPhone very good, and totally recommended for every iPhone users.READ MORE'}, {'rating': '5', 'comment_text': 'Good product, especially useful when outing as there is no need to carry any cable 👍🏻👍🏻READ MORE'}, {'rating': '5', 'comment_text': 'Nice power BankREAD MORE'}, {'rating': '5'," 'comment_text': ""The Quality is Great and supports Fast Charging.I bought this Powerbank to charge my iPhone and it's working great without any issue.READ MORE""}]""",,,,,,,,,,,,,,,,
10,"Hold up Wireless R1 Bluetooth Selfie Stick  (Black, Remote Included)",https://www.flipkart.com/hold-up-wireless-r1-bluetooth-selfie-stick/p/itmb7da3ce6628f3?pid=SSKGYV32GGHPSJ2R&lid=LSTSSKGYV32GGHPSJ2RPZNTBP&marketplace=FLIPKART&store=tyy&srno=b_1_9&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.SSKGYV32GGHPSJ2R.SEARCH&ssid=trqyjrmaa80000001715182870897,4,52451,999,199,80,800,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹1,250 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get at flat ₹199'}]",Mobiles & Accessories,Mobile Accessories,Selfie Sticks,Hold up Selfie Sticks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Selfie Sticks', 'Hold up Selfie Sticks']",,"[{'rating': '4', 'comment_text': It's really the best product I've ever found on Flipkart. Service is Flipkart is also good. Best quality. Can go for it without any hesitation. I recommend it.READ MORE""}", {'rating': '5', 'comment_text': 'Nice quality nice packing is alsoREAD MORE'}, {'rating': '5', 'comment_text': 'Nice product 👌READ MORE'}, {'rating': '4', 'comment_text': 'Good one... Hopefully it lasts long.READ MORE'}, {'rating': '4'," 'comment_text': ""Super product I like it very much it's is very easy to useREAD MORE""}", {'rating': '3'," 'comment_text': ""product is good but....little bit jerking whenever holding phone ! tip : if your phone is much more weight then i dont recommend it....coz i am using it with my realme x2 pro near about 210 gms.dont expect from stick's tripod function....its just add on in product"," grif is not better ! for beginner its good.... for pro users.....not recommended !READ MORE""}", {'rating': '4', 'comment_text': 'This selfie stick is great: but I bought it for vlogging, the stick is a bit weak for vlogging, but the product is good:...READ MORE'}, {'rating': '5', 'comment_text': 'Super 👌👌👌READ MORE'}, {'rating': '4', 'comment_text': 'If you are looking for a sturdy selfie stick/ tripod then its not for you. Go for higher price range for a strong one. This one fulfils the basic needs. Its not strong enough. For this price range it is goodREAD MORE'}, {'rating': '5'," 'comment_text': 'niceREAD MORE'}]""",,,,,,,,,,,,,,
11,"Callmate 10000 mAh 15 W Power Bank  (Black, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/callmate-10000-mah-15-w-power-bank/p/itmd83e7788623f9?pid=PWBGFVM3JTUHZS33&lid=LSTPWBGFVM3JTUHZS33BGH3XV&marketplace=FLIPKART&store=tyy&srno=b_1_28&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JP5GdjTx0QTThDGEXJoZmmYkshSVsFZQD_4MbKKZl7BYQEIsITtCzc4bHaOMTqL08%3D&ssid=trqyjrmaa80000001715182870897,3.8,5265,1999,699,65,1300,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 12% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Callmate Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Callmate Power Banks']",,"[{'rating': '5', 'comment_text': 'Very nice 👍READ MORE'}, {'rating': '2', 'comment_text': 'Dear Callmate Team,I have purchased 20k mAh powerbank . After 100% charge on power bank if i full charge my 5000 mAh mobile then the remaining percentage in power bank showing as 52% ; I would expect it should be somewhere on 70 to 75 Percentage.How you justify this; Kindly let me know.?50% count will be correct if it is 10K mAH powerbank.For the time being i will keep the rating as 2 *, I will revisit it once I have proper justification.So the 20K is written for name sake?With Th...READ MORE'}, {'rating': '3', 'comment_text': 'Charging is too slow and fast charging is not workingREAD MORE'}, {'rating': '4', 'comment_text': Got Today", this power-bank is a 'Stylish' product, Offering maximum Facilities," the best !!READ MORE""}", {'rating': '5', 'comment_text': 'Good productREAD MORE'}, {'rating': '1', 'comment_text': 'Wost prodectREAD MORE'}, {'rating': '4', 'comment_text': 'Nice power bank ...i used for last 2 weeks its really work goodREAD MORE'}, {'rating': '5', 'comment_text': 'SuperValue for moneyREAD MORE'}, {'rating': '1', 'comment_text': 'Bad product , no return after purchase , fraud flipkartREAD MORE'}, {'rating': '1'," 'comment_text': ""Wrost quality don't by thisREAD MORE""}]""",,,,,,,,,,,,,,,,,,
12,"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy&srno=b_1_35&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.MOBGUFK4P2H9CY7Y.SEARCH&ssid=trqyjrmaa80000001715182870897,4.2,54095,14999,11999,20,3000,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '10% instant discount on SBI Credit Card Transactions, up to ₹750 on orders of ₹5,000 and above'}, {'type': 'Special Price', 'description': 'Get extra ₹3000 off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobiles,MOTOROLA Mobiles,,,,,"['Home', 'Mobiles & Accessories', 'Mobiles', 'MOTOROLA Mobiles']",Fastest 5G Processor -Snapdragon 695 5GBest 5G PerformancePremium Design with Vegan Leather FinishImmersive (6.5) display with 120 Hz refresh rateStereo Speakers with Dolby Atmos50 MP Quad Pixel Camera with Image Auto Enhance5000 mAh Battery with 20 W TurboPower ChargerLatest Android 14 with My UXAdditional RAM Boost - up to 16 GB RAMReady ForIP52 Water-repellent designUp To 8 GB RAM + 128 GB StorageSide Finger-Print Scanner,"[{'rating': '4', 'comment_text': 1. Look (pros): Premium back design. Vegan leather cover gives awesome look (especially the ocean green color is awesome).2. Display (cons): HD+ as it says", so don't assume it to show Full HD+ view, so if you want good display then this phone is not for you.3. Battery (pros): 5000 mAH battery is good for 1 day continuous use.4. Camera (cons): Decent," takes time to process the captured pics. But camera is good at this price. Moto G32 with same camera configuration captures way better photos...READ MORE""}", {'rating': '4'," 'comment_text': ""Display touching problem. battery it's ok "," design ok.budget wise this moto phone good.READ MORE""}", {'rating': '5'," 'comment_text': ""Hello everyoneI am Gunjan PareekI am using Moto g34 5g (8+128) since last 2 daysIt was my first motorola phone. Before this I was using mostly redmi brand smartphone like redmi note 7", redmi 10 prime and redmi 11 prime 5gBelieve me, before receiving the delivery, I was afraid that how will be the phone and how will be it's display because I read the review on this phone that it's display is not quite good but as I on this.... I fall in love of it's displayIt is my suggestion that," Peo...READ MORE""}", {'rating': '5', 'comment_text': 'Super smart phone this segmentREAD MORE'}, {'rating': '4', 'comment_text': 'Only display is not so good otherwise phone is very good in performanceREAD MORE'}, {'rating': '5', 'comment_text': 'Best 5 G phone in this price range. It works perfectly smoothly and fine. Go for it.READ MORE'}, {'rating': '5', 'comment_text': 'Good phoneMust buyREAD MORE'}, {'rating': '5', 'comment_text': 'goodREAD MORE'}, {'rating': '5'," 'comment_text': ""Best mobile in low budget...It's all good 💯READ MORE""}", {'rating': '5', 'comment_text': 'Best phone indeed in this price range right now! In terms of connectivity,productivity,performance, this device delivers what is asked from it.Moto provides READY FOR feature(only 8GB RAM variant),which is excellent," along with a lot of convenient features. Only downside in this phone is battery draining quickly maybe because of 5g usage.READ MORE'}]""",,,,
