deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
477,"Samsung 27-Inch (68.4 cm) FHD, 1800R Curved 1,920 X 1,080 LED Monitor, VA Panel, Slim Design, AMD Freesync, Flicker Free, HDMI, Audio Port (LC27R500FHWXXL, Dark Blue Gray)",https://www.amazon.in/Samsung-3-Sided-Bezel-Less-Monitor-LC27R500FHWXXL/dp/B09C2JSMFB/ref=sr_1_13?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-13,4.3,203,22999,11099,52,11900,"['Upto ₹499.79 EMI interest savings on select Credit CardsUpto ₹499.79 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","27 Inch Samsung Monitor - 1,920 x 1,080 Resolution Aspect Ratio: 16:9 | 178° Horizontal and Vertical Viewing Angle 3 Years Warranty From Manufacturer || Eye Saver Mode + Flicker Free - Flicker Free technology continuously removes tiring and irritating screen flicker so you can focus longer with less distraction or eye strain. Refresh Rate - 60Hz || Color Support - 16.7M || Brightness (Typical) - 250 cd/㎡ || Response Time (ms) - 4(GTG) Game Mode: Gain the edge with optimizable game settings. Color and image contrast can be instantly adjusted to see scenes more vividly and spot enemies hiding in the dark, while Game Mode adjusts any game to fill your screen with every detail in view.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,"Acer EK220Q 21.5 Inch (54.61 cm) Full HD (1920x1080) Pixels VA Panel LCD Monitor with LED Back Light I 1 MS VRB, 100Hz Refresh I 250 Nits I HDMI & VGA Ports with HDMI Cable I Eye Care Features (Black)",https://www.amazon.in/Acer-1920x1080-Monitor-Refresh-Features/dp/B0BXP3CP9K/ref=sr_1_2?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-2,4.3,2217,7699,5251,32,2448,"['Upto ₹236.43 EMI interest savings on select Credit CardsUpto ₹236.43 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","💥Full HD💥21.5 Inch Full HD 1920 x 1080 Resolution VA Panel Monitor I 250 Nits Brightness I 178 / 178 Degree View Angle I Edge to Edge Zero Frame Design 💥1 MS💥 VRB Respose time helps Reduces Ghost & smearing effect also Elimination blur on fast moving object I 💥100 Hz💥 Refresh Rate for Outstanding fluidity of images & also provide gamers an excellent in-game experience 💥Connectivity💥 Options Includes : 1 X VGA 1 X HDMI Ports with Inbox HDMI Cable I -5 to 20 degree tilted angle for the comfortable viewing I Wall Mount Ready 💥Acer Vision Care💥 Care for your eyes with Bluelight Shield, Flickerless, Low Dimming, ComfyView Display, help reduce strain on eyes for heavy users I 3 Years on site Warranty 💥AMD FreeSync💥Integrated AMD FreeSync technology for Enabling smooth gameplay, Eliminating screen tearing, Minimizing lag and latency and delivers very smooth gaming experiences.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,"Dell P2422H 24 Inch, FHD Monitor 1920x1080 Pixels, IPS Panel, 3-Year Warranty, Low BlueLight Technology, 3-Sided bezelless, HDMI, VGA, DP & USB Ports, Pivot(Rotation), Swivel, Tilt & HAS, AMD FreeSync",https://www.amazon.in/Dell-Professional-inch-Full-Monitor/dp/B096T36G8L/ref=sr_1_4?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-4,4.3,6559,34629,10749,69,23880,"['Upto ₹484.01 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹484.01 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","Panel Type: IPS || Display Type: LED-Backlit Contrast Ratio: 1000:1 || Colour Gamut: 99% Srgb Aspect Ratio: 16:9 Brightness: 250 cd/m² Response Time: 8 ms (Grey-to-Grey Normal); 5 ms (Grey-to-Grey Fast) Screen Coating: Anti-glare Adjustability: Height || Pivot (Rotation) || Swivel ||Tilt Ports & Slots: DisplayPort (DisplayPort 1.2 mode, HDCP 1.4) || VGA || HDMI (HDCP 1.4) || USB 3.2 Gen 1 upstream || 4 x USB 3.2 Gen 1 downstream Cables Included: Power cable | DisplayPort to DisplayPort cable (1.8 meters) | SuperSpeed USB 5Gbps upstream cable Built-In Device: USB 3.2 Gen 1 Hub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,"LG QHD IPS Ultragear Gaming Monitor 68 CM (27 Inches), QHD, 2560 x 1440, 1 MS, 144Hz, HDR 10, sRGB 99% (CIE1931), G-Sync Compatible, Freesync Premium, HDMI X 2, DP, HP Out 27GN800 (Black)",https://www.amazon.in/LG-Ultragear-10-27Gn800-Resolution-Compatible/dp/B09T34GSX7/ref=sr_1_21?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.5,9322,36000,21999,39,14001,"['Upto ₹990.59 EMI interest savings on select Credit CardsUpto ₹990.59 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","Display: 27 inch (68 cm) 2K QHD (2560 X 1440) IPS Panel sRGB 99% HDR 10, Color Calibrated Gaming: 144 Hz Refresh Rate, 1ms Response Time, G-Sync Compatible, AMD Freesync Premium Connectivity: HDMI x 2, Display Port, Headphone Out Stand: Tilt Stand and VESA 100 x 100 Wall Mount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,"HP M27f 27-inches 68.6cm 1920 x 1080 Pixels Eye-Safe Certified Full HD IPS 3-Sided Micro-Edge Monitor, 75Hz, AMD Free Sync with 1xVGA, 2xHDMI 1.4 Ports, 300 nits 2H0N1AA, M27f FHD Monitor Silver",https://www.amazon.in/HP-M27f-Micro-Edge-Monitor-FHD/dp/B095362K3K/ref=sr_1_16?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-16,4.3,3536,19180,12999,32,6181,"['Upto ₹585.33 EMI interest savings on select Credit CardsUpto ₹585.33 EMI interest savings on select Credit Cards', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","IPS Display: 27-inch (68.6 cm) Full HD (1920 x 1080) IPS Anti Glare Display, 300 nits Brightness, upto 75Hz Refresh Rate.Aspect ratio 16:9. Viewing Angle (H/V) 178°(H)/178°(V). HP Eye Ease with Eyesafe Certication: An always-on blue light fllter that keeps your eyes comfortable with zero impact on color accuracy Sustainable design: Designed with sustainability in mind, the plastic enclosures are made with 85% recycled materials and 5% recycled ocean bound plastics Cable Management: Cord and wire pass-through located on the display stand reduces cord-clutter and helps keep your workspace clean and organized Other Features: 5ms Response Time, 1000:1 Contrast Ratio, On-screen controls; AMD FreeSync; Low blue light mode; Anti-glare | Ports: 1 VGA; 2 HDMI 1.4 (with HDCP support)| Power Supply Required: 100 - 240 VAC 50/60 Hz|One year manufacturer warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,"WE CLEVER Heavy duty Dual monitor stand Mount, Height Adjustable desk C clamps & Mounting holes, Full motion Tilt & Swivel Monitor Arms, For 13 - 30 inches computer screens 20kg Each arm (Black)""",https://www.amazon.in/Weclever-Monitor-Adjustable-C-Clamps-Mounting/dp/B09SZ9NLSK/ref=sr_1_10?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-10,4.3,649,3999,1894,53,2105,[],Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","HIGH-QUALITY BUILT: This sturdy dual monitor stand is engineered using highly durable steel. It comes with a heavy-duty adjustable C clamp to help you to position your screen at a more ergonomic viewing angle. The durable built is can easily withstand the weight of heavy monitors and screens without any disruption. SMOOTH ROTATION & POSITIONING: This wide monitor stand gives you the ability to adjust your screen to a desired height by offering a full range of effortless motion. The monitor stand’s smooth 360-degree rotation makes it easy to switch between vertical and horizontal screen positions for your comfort and convenience HEIGHT ADJUSTABLE ARM MOUNT: Along with a wide range of motion, the adjustable arm offers smooth screen tilt and height adjustment that can be adjusted from -15 to +85 degrees. Just give the monitor a gentle press or pull for optimal placement. By altering the height and angle of your screen, you can alleviate back, neck, and eye discomfort INTEGRATED CABLE MANAGEMENT: This double monitor stand features detachable VESA plates with 100-by-100-mm backside mounting holes for a simple setup and clean appearance. It includes cable management clips to attach with the articulating arms. Place the monitor at the desired height and mount it using the provided C-clamps to the back of your desk SUITABLE FOR MOST SCREENS: This easy-to-assemble dual monitor stand fits desks measuring 0.8 to 3.9 inches thick. The compact and ergonomic design comfortably fits most screens measuring from 13 to 30 inches and weighing up to 22 pounds. All necessary tools and installation hardware are included for a hassle-free installation Compatible with : Tablets, Monitors, Laptops, Televisions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,"LG 24 Inch (60.4cm) IPS FHD Monitor 1920 x 1080,AMD FreeSync, 100Hz, sRGB 99% Typ(CIE1931), Black Stabilizer, Virtual Borderless, Flicker Safe, Reader Mode,OnScreen Control, HDMI,VGA, 24MR400(Black)",https://www.amazon.in/LG-FreeSync-Stabilizer-Borderless-OnScreen/dp/B0CPPWT3F7/ref=sr_1_9?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-9,4.4,9053,16500,7999,52,8501,"['Upto ₹360.17 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹360.17 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']",24 FHD (1920 x 1080) IPS Display, 100Hz Refresh Rate & AMD FreeSync™, Dynamic Action Sync & Black Stabilizer, Reader Mode & Flicker Safe, OnScreen Control & Auto Input Switch," 3-Side Virtually Borderless Display""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Acer SA222Q 21.5 Inch Full HD IPS Ultra Slim (7.2mm Thick) Backlight LED LCD Monitor I Zero Frame I 100Hz Refresh I 1 MS VRB I AMD Free Sync I 1xHDMI 1xVGA I Eye Care Features I Tilt Option I White,https://www.amazon.in/Acer-Backlight-Monitor-Refresh-Features/dp/B0CCSK23DM/ref=sr_1_22?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-22,4.3,3390,10000,6860,31,3140,"['Upto ₹308.92 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹308.92 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","Exceptional Full HD IPS 23.8 Inch Ultra Thin (7.2mm) Display : Enjoy immaculate image quality with 1920x1080 resolution and 178 degree wide viewing angles I Zero Frame Design I 250 Nits Brightness Blazing Fast 100Hz refresh rate, it means that even when the action heats up, your gameplay will be smooth and lag-free I 1 MS Visual Response Boost for clear Blur Free Visuals Connectivity Ports includes 1 x VGA Port, 1 x HDMI, with Inbox HDMI Cable Care for your eyes with Blue Light Shield, Flickerless technology along with Comfyview which helps to protect the eyes and gives comfortable viewing experience Integrated 1W x 2 Stereo Speakers I 3 Years on Site warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,"LG UltraWide 29 inch (73 cm) IPS FHD, 2560x1080 Pixels, Color Calibrated, 100Hz, 7W x 2 Inbuilt Speaker, USB-C, Display Port, HDMI, White Color-29WQ600",https://www.amazon.in/LG-UltraWide-2560x1080-Calibrated-Color-29WQ600/dp/B0BRQVQJW2/ref=sr_1_20?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-20,4.3,1742,26000,17899,31,8101,"['Upto ₹805.95 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹805.95 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","Display: 29 inch (73cm) 21:9 UltraWide IPS FHD (2560 x 1080) , sRGB 99%, Color Calibrated, HDR10 Connectivity: USB-C, Display Port , HDMI Port, Headphone out Gaming Features: 100hz Refresh rate, Motion Blur Reduction , AMD FreeSync, Black Stablizer Special Feature : Inbuilt Speaker 7W x 2 with Max Audio, Tilt Adjustment, White Color Warranty: 3 Years Parts and Labour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,"LG Electronics 60 cm/24 inches Full HD IPS 1920 x 1080 Pixels LCD Monitor, Inbuilt Speaker, HDMI x 2, VGA Port, 75 Hz Refresh Rate, AMD Freesync, 3 Side Borderless Slim Design - 24ML600S-W (White)",https://www.amazon.in/LG-24-inch-Monitor-Freesync-Borderless/dp/B08J5Y9ZSV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.RymF-UIbDjPJ-oNhVjBsMKgQNb7VRcdWXpVWccMtSrhATKk6Qw-DMMPOSwjpOwnrPKBpOEIWLvJEz3p9-tic8IPE5z--sDuVVrLqDytbogjn20Q7xmEEcoD4ONpt08Lo0ujrxlSgmPzg2_C7oMPBS056XS8-WxTsxssG_7z6OBP_zPwdm6DnY-khC5VL7urtHiE1cnF3_Pyj0hVmlpn_p842so0Fd_uZCgVFmDEZjJgUuPHb-1nFLPKdNuatTAScAe3q6o9AGRnwZC40xv4Tv61glk6p68QW4pT0IUpc2_4.uV3MoKHgtXZH5jBLhxEd5riLS7QHthkdbmIO3pDL2ro&dib_tag=se&qid=1716314029&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-6,4.4,3477,18000,8999,50,9001,"['Upto ₹405.23 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹405.23 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Computers & Accessories,Monitors,,,,,,"['Computers & Accessories', 'Monitors']","24 inch Full HD - Color Calibrated IPS Monitor (178/178 Degree Viewing Angle) Sound: Inbuilt 5w Dual Channel Speaker with Maxx Audio Ports: Dual HDMI, D-Sub , Headphone Out, Audio In 3 Side Virtually Borderless Screen Design Gaming Features: 1ms MBR, 75 Hz, Radeon FreeSync, DAS Mode, Black Stablizer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
