deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
6,"Callmate 20000 mAh 15 W Power Bank  (Black, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/callmate-20000-mah-15-w-power-bank/p/itm63a358dc76193?pid=PWBGHSD9XTKYAJNY&lid=LSTPWBGHSD9XTKYAJNYPGQADF&marketplace=FLIPKART&store=tyy&srno=b_1_21&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JlEC99KO4dihsUTqEp2fX7AZD03heE8ANFkrPtsgdJ3eI7uWi7bi3WLqk6JF-UYDE%3D&ssid=trqyjrmaa80000001715182870897,3.7,202,1999,699,65,1300,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 46% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Callmate Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Callmate Power Banks']",,"[{'rating': '1', 'comment_text': 'He not workingREAD MORE'}, {'rating': '4', 'comment_text': 'overall okREAD MORE'}, {'rating': '1', 'comment_text': Very bad item don't buy its heavy in size and weightCharging also very very slow when i try to return i can't they are cheating don't buy thisREAD MORE""}", {'rating': '1', 'comment_text': 'Very bad product. waste of moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Good productREAD MORE'}, {'rating': '5', 'comment_text': 'Super productValue for money 😍👌👍READ MORE'}, {'rating': '5', 'comment_text': 'GoodREAD MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '1'," 'comment_text': ""Initially Charges very slow and now it's not workintREAD MORE""}", {'rating': '5'," 'comment_text': ""Nice"," I can't believe this very good and useful to Power and 1point power to 5% increaseREAD MORE""}]""",,,,,,,,,,,,,,,,,,,,
9,"URBN 5000 mAh Wired & Wireless With MagSafe Power Bank  (Light Blue, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/urbn-5000-mah-wired-wireless-magsafe-power-bank/p/itm22cdff01fd650?pid=PWBGXGFB2VFGHG3V&lid=LSTPWBGXGFB2VFGHG3V6NXJS6&marketplace=FLIPKART&store=tyy&srno=b_1_17&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6L-E9c1zTz_B4_v-5mOmuutxv_9IV4E17rq0pIZSsgSyWVkv0XZFiOX7bbXdlao_f8%3D&ssid=trqyjrmaa80000001715182870897,4.2,67,4999,1999,60,3000,[],Mobiles & Accessories,Mobile Accessories,Power Banks,URBN Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'URBN Power Banks']",,"[{'rating': '5', 'comment_text': 'This product is totally worth it and the value for money look is beautifully designed totally recommendedREAD MORE'}, {'rating': '5', 'comment_text': 'Quality design and features all are excellent the product is worth the purchase reviewing it almost after a 6 to 7 days of usage it is value for money if you are into gadgets the super fast charging speed is impressive and the magsafe compatibility ensures a secure connection everytime the slim design is sleek and convenient for on the go use a fantastic that meets all my charging need at suitable price range segment amazing value for money product also delivered on timeREAD MORE'}, {'rating': '5', 'comment_text': First of all", the quality of this product is really appreciable, and the design with the features are excellent. Have not seen any power banks like this ever in such price range. It's so slim and sleek," which makes it convenient for using ut outside. Totally value for money product.READ MORE""}", {'rating': '5', 'comment_text': 'It is an amazing product it makes me free form carrying lots of wire also it gives fast charging to my Iphone. So happy with this product.READ MORE'}, {'rating': '5', 'comment_text': 'The size is enough to get fit in pocket and the weight is also low. My iPhone get quick charged after placing the power bank to bank of phone. Quality is good at the price offeredREAD MORE'}, {'rating': '5'," 'comment_text': ""Good battery backup for travelling and for everyday usage as well as i have less backup in phone it can't stay on for full day and with this i can keep my phone up for full day minimumREAD MORE""}", {'rating': '5', 'comment_text': 'Charges my iPhone very good, and totally recommended for every iPhone users.READ MORE'}, {'rating': '5', 'comment_text': 'Good product, especially useful when outing as there is no need to carry any cable 👍🏻👍🏻READ MORE'}, {'rating': '5', 'comment_text': 'Nice power BankREAD MORE'}, {'rating': '5'," 'comment_text': ""The Quality is Great and supports Fast Charging.I bought this Powerbank to charge my iPhone and it's working great without any issue.READ MORE""}]""",,,,,,,,,,,,,,,,
11,"Callmate 10000 mAh 15 W Power Bank  (Black, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/callmate-10000-mah-15-w-power-bank/p/itmd83e7788623f9?pid=PWBGFVM3JTUHZS33&lid=LSTPWBGFVM3JTUHZS33BGH3XV&marketplace=FLIPKART&store=tyy&srno=b_1_28&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JP5GdjTx0QTThDGEXJoZmmYkshSVsFZQD_4MbKKZl7BYQEIsITtCzc4bHaOMTqL08%3D&ssid=trqyjrmaa80000001715182870897,3.8,5265,1999,699,65,1300,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 12% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Callmate Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Callmate Power Banks']",,"[{'rating': '5', 'comment_text': 'Very nice 👍READ MORE'}, {'rating': '2', 'comment_text': 'Dear Callmate Team,I have purchased 20k mAh powerbank . After 100% charge on power bank if i full charge my 5000 mAh mobile then the remaining percentage in power bank showing as 52% ; I would expect it should be somewhere on 70 to 75 Percentage.How you justify this; Kindly let me know.?50% count will be correct if it is 10K mAH powerbank.For the time being i will keep the rating as 2 *, I will revisit it once I have proper justification.So the 20K is written for name sake?With Th...READ MORE'}, {'rating': '3', 'comment_text': 'Charging is too slow and fast charging is not workingREAD MORE'}, {'rating': '4', 'comment_text': Got Today", this power-bank is a 'Stylish' product, Offering maximum Facilities," the best !!READ MORE""}", {'rating': '5', 'comment_text': 'Good productREAD MORE'}, {'rating': '1', 'comment_text': 'Wost prodectREAD MORE'}, {'rating': '4', 'comment_text': 'Nice power bank ...i used for last 2 weeks its really work goodREAD MORE'}, {'rating': '5', 'comment_text': 'SuperValue for moneyREAD MORE'}, {'rating': '1', 'comment_text': 'Bad product , no return after purchase , fraud flipkartREAD MORE'}, {'rating': '1'," 'comment_text': ""Wrost quality don't by thisREAD MORE""}]""",,,,,,,,,,,,,,,,,,
16,"Callmate 30000 mAh 15 W Power Bank  (Red, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/callmate-30000-mah-15-w-power-bank/p/itmdbf7580046224?pid=PWBGFJPUMSUTWKTH&lid=LSTPWBGFJPUMSUTWKTHGVEGKM&marketplace=FLIPKART&store=tyy&srno=b_1_2&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JMO3oq50jVOeCHGdPYKqhpKMzY5W9r0oWQhuF2mS4qiw%3D%3D&ssid=trqyjrmaa80000001715182870897,3.8,3558,1999,1499,25,500,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 6% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Callmate Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Callmate Power Banks']",,"[{'rating': '5', 'comment_text': 'Good productREAD MORE'}, {'rating': '1', 'comment_text': 'Did not meet expectationOnly 3 times charged my samsung galaxy m30 phone. After that 25 % led blinking continuously and after then off the led. Expected minimum 4-5 times. 2 times less than my expectation.READ MORE'}, {'rating': '5', 'comment_text': 'Nice oneREAD MORE'}, {'rating': '5', 'comment_text': 'Looking nic and good power backup look like a smart and shine but this product wait 30% hawaeeREAD MORE'}, {'rating': '5', 'comment_text': 'Very goodREAD MORE'}, {'rating': '5', 'comment_text': 'Best in this price,I loved 👌👌👌READ MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '5', 'comment_text': 'Best budget powebank with absolute capacity of backup power also Thanks for callmate to provide this type of powebank with perfect value of money and powerfull product... Thanks Callmate , thanks Flipkart, thanks ekart , thanks Callmate ,#callmate #flipkart #ekart #onlineshoping #30000mah #callmateREAD MORE'}, {'rating': '1', 'comment_text': 'Display not proper visibleREAD MORE'}, {'rating': '1', 'comment_text': 'Power Bank no working quality noREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"PTron 10000 mAh 22.5 W Power Bank  (Blue, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/ptron-10000-mah-22-5-w-power-bank/p/itm84a739097d867?pid=PWBGYZWPPPRYCXQF&lid=LSTPWBGYZWPPPRYCXQFDDTA1F&marketplace=FLIPKART&store=tyy&srno=b_1_27&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6JaLH-7HoKpkDjYL2p8g7tjyiqNrpOY7IGsxX70U4LQpU4IsYyWu-Pj9cxFjFAoaLk%3D&ssid=trqyjrmaa80000001715182870897,4.2,21,2899,799,72,2100,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 72% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,PTron Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'PTron Power Banks']",,"[{'rating': '5', 'comment_text': 'Weight is little heavy lighting fast charging ease to used and compatibility to iPhone great product.I can charge two phones at one time.. best part is it shows battery life..READ MORE'}, {'rating': '5', 'comment_text': 'Battery backup of power bank is very good. This power bank charge my phone multiple times and this power bank is light weight. Looking wise is very premium. I used many product this brand all product work very well .I buy this power bank very reasonable priceREAD MORE'}, {'rating': '5', 'comment_text': 'Main feature i really love about this power bank is that support fast charging. Very slim and nice look. That digital indicator is also amazing and works properly. Totally value of money.READ MORE'}, {'rating': '5', 'comment_text': 'Just wowvery fast charginglow pricebest for daily usecolour is very goodoverall best productbattery backup is very good.READ MORE'}, {'rating': '5', 'comment_text': 'Superd products👍Weight is little heavy , Battery backup of power bank is very good , This is a amazing power bank for every you charged by this , good fast charging 👌READ MORE'}, {'rating': '5', 'comment_text': I'm impressed by the fast charging capabilities of this power bank"," with its 22.5 W output ensuring quick and efficient charging for my smartphone and other devices. The compact and lightweight design makes it easy to carry in my bag or pocket... highly recommendedREAD MORE""}", {'rating': '5', 'comment_text': 'Good product by ptron,battery back is very good,fast charging best power bank in low date,value for money, thanks ptron and flipkart.READ MORE'}, {'rating': '5', 'comment_text': 'Battery backup of power bank is very good. This power bank charge my phone multiple times and this power bank is light weight.very useful and good product.READ MORE'}, {'rating': '5', 'comment_text': 'I trust ptron product and also I choose this powerbank for my friend. 22.5 watts speed is too good in this surely best option in this range.READ MORE'}, {'rating': '4'," 'comment_text': 'Initial impression - Good. Digital display looks dope. Charged my 2 phones with 5000 mah battery once each upto 75% so the capacity looks legit. With 30 watt charger it takes around 4 hrs to charge the powerbank. Will have to see the durability with time.READ MORE'}]""",,,,,,,,,,,,,,,,,,,,,,
26,"Callmate 10000 mAh 12 W Power Bank  (Pink, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/callmate-10000-mah-12-w-power-bank/p/itmbdebe4501cc50?pid=PWBFUEPZHCYZTWEC&lid=LSTPWBFUEPZHCYZTWECEUPBZZ&marketplace=FLIPKART&store=tyy&srno=b_1_22&otracker=browse&iid=en_H8uW_ANY5w9UJ6ZFeQrxwt_OrEfcJ8x9qOghVdgKd6KagSzG6uVOCf6V9o6sVwN5n4RAJrQU4qeOlNydEdsbu4E8waCTrWcncKeK_ydPfoM%3D&ssid=trqyjrmaa80000001715182870897,3.7,8037,1999,699,65,1300,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 12% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Callmate Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Callmate Power Banks']",,"[{'rating': '5', 'comment_text': 'Best😍READ MORE'}, {'rating': '5', 'comment_text': 'Look pretty,best battery backup,easy to carry, lightweight..READ MORE'}, {'rating': '3', 'comment_text': 'Good productREAD MORE'}, {'rating': '5', 'comment_text': 'Very good product. Small in size. I like this very much. I will recommend every one to take thisREAD MORE'}, {'rating': '5', 'comment_text': 'The attached cord is a major advantage. The numerical display shows the charge level: not very useful. Has an On/Off button also. Top (black) cover is scratch prone.READ MORE'}, {'rating': '5', 'comment_text': 'Digital & amazing designREAD MORE'}, {'rating': '2', 'comment_text': It's of 6 months warranty not 1 year as mention. It's been 15 days. Not worth you should keep charging this. Battery get down soon. Dont go for itREAD MORE""}", {'rating': '4'," 'comment_text': ""It's a good product battery 🔋 is good . I m happy to have this one. And it's looking light and beautiful also.READ MORE""}", {'rating': '5', 'comment_text': 'Its an awesome powerbank. Worth money, must buy product. Its 18w fast charging powerbank. You may see negative comments like not a fast charging.. Because its 18w fast charging powerbank, no one understands that.. Recommended one..READ MORE'}, {'rating': '1'," 'comment_text': 'Bad product.. product it is not workingREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Mi 20000 mAh 18 W Power Bank  (Black, Lithium Polymer, Fast Charging for Mobile)",https://www.flipkart.com/mi-20000-mah-18-w-power-bank/p/itmd42cbbe08e65e?pid=PWBFVGXXFGEBYRF5&lid=LSTPWBFVGXXFGEBYRF5DS7QMI&marketplace=FLIPKART&store=tyy&srno=b_1_7&otracker=browse&iid=2aa283c3-0893-41af-a4ff-67eb2050128d.PWBFVGXXFGEBYRF5.SEARCH&ssid=trqyjrmaa80000001715182870897,4.3,284148,2399,1899,20,500,"[{'type': 'Bank Offer', 'description': 'Get ₹25 instant discount on first Flipkart UPI txns on order of ₹250 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Special Price', 'description': 'Get extra 11% off (price inclusive of cashback/coupon)'}]",Mobiles & Accessories,Mobile Accessories,Power Banks,Mi Power Banks,,,,"['Home', 'Mobiles & Accessories', 'Mobile Accessories', 'Power Banks', 'Mi Power Banks']",Charges Multiple DevicesDual Input With Type-CPower DeliveryPowerfulSmart Power ManagementBattery12-layer Circuit Protection,"[{'rating': '4', 'comment_text': Pros: 1.Charging time with 18W charger is 7 hours. With 10 watt charger it takes 10.5 hours to charge completely. (If your charger is 15W ", it will still take 10.5 hours to charge). 2. It doesn't have a power on/off button. There is a battery level indicater button on side. When you press it once, it will show the battery level remaining. If you press it twice," it will go on low- current discharge mode when you can charge devices like Bluetooth headphones and smartbands. When you connect...READ MORE""}", {'rating': '4', 'comment_text': '* best battery life * good performance* value for money * nice fast chargeringREAD MORE'}, {'rating': '5', 'comment_text': 'Osm ....best power ...READ MORE'}, {'rating': '5', 'comment_text': 'Best power and fast charging i love this product as safe deliveryREAD MORE'}, {'rating': '5', 'comment_text': 'It is very good power bankREAD MORE'}, {'rating': '5', 'comment_text': 'This is a amazing power bank for every you charged by this . This is charge my redmi k20pro 4000 mah battery 4.5 times 4 time fully charged and 5th time half charge not. Bad thank you mi. Tq Flipkart 👍👍🤝I suggest you can bought now careless.READ MORE'}, {'rating': '5', 'comment_text': 'Power backup is amazing,look is smooth and fantastic ,rechargine time 7 to 8 hr,and very fast charging tnx for flipkart and i recoment to buy this product...☺️READ MORE'}, {'rating': '4', 'comment_text': 'Very good this productREAD MORE'}, {'rating': '5', 'comment_text': 'Best ProductREAD MORE'}, {'rating': '5'," 'comment_text': 'Technical this powerbank has 15000mAh battery backup.. It can charge 5000mah 3 times once fully charged. It takes alomost 5 to 7 hours with 20watt charger..READ MORE'}]""",,,,,,,,,,,
52,MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Black.,https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-10,4.2,158778,2199,2149,2,50,"['Upto ₹96.75 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹96.75 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹1,500.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,500.00 discount on select Credit Cards, HDFC…', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Electronics,Mobiles & Accessories,Mobile Accessories,Chargers,Power Banks,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Chargers', 'Power Banks']","20000mAh Lithium Polymer battery 18W Fast Charging Triple port output Dual input port (Micro-USB/USB-C, Charging Time : 6.9 hours Power Delivery Advanced 12 Layer chip protection Smart power management 6 months domestic warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),https://www.amazon.in/Portronics-Wireless-10000mAh-Magnetic-Compatible/dp/B0CRVQC189/ref=sr_1_11?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-11,4,537,3999,1499,63,2500,[],Electronics,Mobiles & Accessories,Mobile Accessories,Chargers,Power Banks,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Chargers', 'Power Banks']","MagSafe Wireless Charging: Portronics Luxcell Wireless Mini 10K supports 15W Magsafe (wireless) charging for QI-enabled devices (iPhone- 12 and above, Samsung S series, etc). 22.5W Smallest Power Bank: This smallest 10,000mAh Lithium Polymer battery power bank delivers a rapid 22.5W maximum output, guaranteeing you'll never run out of battery again. Stay charged on the go! Dual Port Fast Charge: This fast charging power bank offers you Fast charging via Type C PD Port and USB MACH port, so you can charge multiple devices at one time. Refuel the power bank via the Type C port. Luxury Charging Solution: Glam up your charging routine with Luxcell Wireless Power Bank, which combines lasting performance with stunning aesthetics. Get a complementary Type C to Type C cable as a bonus! LED Battery Indicator: This 10000 mAh Fast charging Power bank has a transparent plastic casing with an LED indicator, keeping you informed about the power bank and your device’s charge. Broad Compatibility: Luxcell Wireless Mini 10K, PD Power Bank is compatible with smartphones, tablets, earbuds, neckbands, speakers, smartwatches, and other USB-powered devices. It can charge an iPhone 14 battery up to 45% in an hour. Sleek and Compact Body: Its ultra-compact body and fine touch finish give it a premium look. Apart from being powerful, it fits effortlessly into your bag or pocket, making it the ideal travel companion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)",https://www.amazon.in/Pocket-10000mAh-Triple-Charging-Delivery/dp/B08MC57J31/ref=sr_1_21?dib=eyJ2IjoiMSJ9.f1CDQrdL6WIsNU9QVa9kRWYy_8ida58ZwjDpYvnF4Nzz_egKGxcPZlongZ3KBLrOLv-l7kDsUAnPKaiP8Nt0C5FPxK8Y3OLcBh4aYkWyAiyC9IbeEKR0PbmAiqLrE1GgxKlnI60_aGASULnpfyyufrBy-VLRiUQ5W96IeWoL0klmU_x-f1KQHdttXTtg_O2-1c7Bxeu3xL1DmaecnEdSPY1XWItKSale0yc3MwiS7AIJEEORoQT-dX9wiu7n5wvF7Iq17lZgsqnxTEKzEJamaZajoHB4uqZu4RvkGSF425Q.hnnyAPUjx4ZAhD1LL-0-xcqy-qVhh4IjdyY0nftbTjk&dib_tag=se&qid=1716053411&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-21,4.3,21673,2699,1699,37,1000,"['Upto ₹76.48 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹76.48 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹2,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹2,000.00 discount on select Credit Cards, HDF…', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",Electronics,Mobiles & Accessories,Mobile Accessories,Chargers,Power Banks,,,"['Electronics', 'Mobiles & Accessories', 'Mobile Accessories', 'Chargers', 'Power Banks']",22.5W Ultra Fast Charging Super light-weight and Pocket sized Power delivery 3.0 Charging time - 6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
