deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
2,"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-6,4,821,13999,10499,25,3500,[],Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74 HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection"," 600nits in High Brightness mode 50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCR6TNK/ref=sr_1_16?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-16,4,22122,18990,9999,47,8991,"['Upto ₹558.29 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Amazon Pay LaterUpto ₹558.29 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹1.00 discount on Axis Bank Credit CardsUpto ₹1.00 discount on Axis Bank Credit Cards', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Superfast 5G with 13 5G Bands, Powerful Exynos 1330 Octa Core 2.4GH 5nm processor with latest Android 13 having One UI 5.0 interface 50MP+2MP+2MP Triple camera setup- True 50MP (F1.8) main camera + 2MP (F2.4) + 2MP (F2.4)| 13MP (F2.0) front camera 6000mAh lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase 16.72 centimeters (6.6-inch) LCD, FHD+ resolution with 1080 x 2408 pixels resolution, 401 PPI with 16M color Get up to 2 times of Android Updates & 4 times of Security Updates with Samsung Galaxy M14 5G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_11?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-11,4,701,13999,10499,25,3500,[],Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74 HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection"," 600nits in High Brightness mode 50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX82VVQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-9,4,526,13999,10499,25,3500,[],Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Processor: Powerful MediaTek Dimensity 6100+ 5G SoC | 8GB of RAM including 4GB virtual | 6.74 HD+ 90Hz display with Corning Gorilla Glass 3 Protection | 50MP AI Dual camera |Fast Side fingerprint | 5000mAh Battery 6.74"" HD+ 90Hz display with Corning Gorilla Glass 3 Protection"," 600nits in High Brightness mode 50MP AI Dual camera with Primary sensor of f/1.8 (4-in-1 super pixel) with the following modes: Photo | Portrait | Night | Video | 50MP mode | Time-lapse | Classic film filters | Frame | HDR | Google lens | Voice Shutter |""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Surge-128GB-Storage/dp/B0C9QS5G2R/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-8,4.1,3517,26999,20999,22,6000,"['Upto ₹1,172.49 EMI interest savings on select Credit Cards, Amazon Pay LaterUpto ₹1,172.49 EMI interest savings on select Credit Cards…', 'Upto ₹2,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹2,000.00 discount on select Credit Cards, HDFC…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Camera: 50MP Main Camera with Sony IMX890 (OIS supported), 8MP Ultrawide Camera with Sony IMX355 (FOV: 112 degree) and 2MP Macro lens; 16MP Front (Selfie) Camera Camera Features: Ultra Steady Mode, Dual-view Video, HDR, Nightscape, Portrait Mode, Video Portrait, Pano, Macro, Slo-mo, Time-lapse, Text-scanner, Retouching, Filters, Google Lens, Extra HD, Pro Mode Display: 6.7 Inches; 120 Hz AMOLED FHD+, Resolution: 2412 x 1080 pixels; HDR 10+, sRGB, 10-bit Color Depth, 93.4% Screen to body ratio Operating System: OxygenOS 13 based on Android 13.1 Processor: Qualcomm Snapdragon 782G Mobile Platform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSNTT4/ref=sr_1_22?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-22,4,22220,18990,9999,47,8991,"['Upto ₹558.29 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Amazon Pay LaterUpto ₹558.29 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹1.00 discount on Axis Bank Credit CardsUpto ₹1.00 discount on Axis Bank Credit Cards', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Superfast 5G with 13 5G Bands, Powerful Exynos 1330 Octa Core 2.4GH 5nm processor with latest Android 13 having One UI 5.0 interface 50MP+2MP+2MP Triple camera setup- True 50MP (F1.8) main camera + 2MP (F2.4) + 2MP (F2.4)| 13MP (F2.0) front camera 6000mAh lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase 16.72 centimeters (6.6-inch) LCD, FHD+ resolution with 1080 x 2408 pixels resolution, 401 PPI with 16M color Get up to 2 times of Android Updates & 4 times of Security Updates with Samsung Galaxy M14 5G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Redmi 12 5G Jade Black 6GB RAM 128GB ROM,https://www.amazon.in/Redmi-Jade-Black-6GB-128GB/dp/B0C9JFWBH7/ref=sr_1_21?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-21,4.1,3937,17999,12499,31,5500,"['Upto ₹1,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,000.00 discount on select Credit Cards, HDFC…', 'Upto ₹697.86 EMI interest savings on select Credit Cards, Amazon Pay LaterUpto ₹697.86 EMI interest savings on select Credit Cards…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Snapdragon 4 Gen 2 Mobile Platform : Power efficient 4nm architecture | 12GB of RAM including 6GB Virtual Display: Large 17.24cm FHD+ 90Hz AdaptiveSync display with Corning Gorilla Glass 3 Protection Camera: 50MP f/1.8 AI Dual camera with classic film filters, Film Frame, Portrait, Night Mode, 50MP mode, Time-lapse, Google lens | 8MP Selfie camera 5000mAh(typ) battery with 22.5W charger in-box MIUI Dialer | MIUI 14 with Android 13 | Side fingerprint | IR blaster | 3.5mm Audio jack | IP53 rating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,https://www.amazon.in/Redmi-Moonstone-Silver-6GB-128GB/dp/B0C9J9CZR6/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-19,4.1,2832,17999,12499,31,5500,"['Upto ₹1,000.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,000.00 discount on select Credit Cards, HDFC…', 'Upto ₹697.86 EMI interest savings on select Credit Cards, Amazon Pay LaterUpto ₹697.86 EMI interest savings on select Credit Cards…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Snapdragon 4 Gen 2 Mobile Platform : Power efficient 4nm architecture | 12GB of RAM including 6GB Virtual Display: Large 17.24cm FHD+ 90Hz AdaptiveSync display with Corning Gorilla Glass 3 Protection Camera: 50MP f/1.8 AI Dual camera with classic film filters, Film Frame, Portrait, Night Mode, 50MP mode, Time-lapse, Google lens | 8MP Selfie camera 5000mAh(typ) battery with 22.5W charger in-box MIUI Dialer | MIUI 14 with Android 13 | Side fingerprint | IR blaster | 3.5mm Audio jack | IP53 rating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Pastel-128GB-Storage/dp/B0BY8JZ22K/ref=sr_1_25?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-25,4.2,19531,19999,17499,13,2500,"['Upto ₹1,250.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,250.00 discount on select Credit Cards, HDFC…', 'Upto ₹787.96 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹787.96 EMI interest savings on Amazon Pay ICICI…', 'Get upto 4 months Audible membership for Rs.2. T&C apply.B25Get upto 4 months Audible membership for Rs.2. T&C appl…']",Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","Camera: 108 MP Main Camera with EIS; 2MP Depth-Assist Lens and 2MP Macro Lens; Front (Selfie) Camera: 16MP Rear Camera Mode: Hi-res 108MP mode, 3x Lossles Zoom, Photo, Video, Nightscape, Expert, Panoramic, Portrait, Macro, Time-lapse, Slow-motion, Long exposure, Dual-view video, Text Scanner, 1080p/720p@30fps, Video zoom: 1080P@30fps, 720P@30fps, Slow motion: 720P@120fps, Time-Lapse: 1080P@30fps, Steady Video EIS support Display: 6.72 Inches; 120 Hz Adaptive refresh rate; FHD+(1080×2400), Colors: 16.7 Million colors, 391 ppi, Aspect Ratio: 20:9, Brightness: 550 nits (typical), 680 nits (HBM) Operating System: Oxygen OS based on Android 13.1 Processor: Qualcomm Snapdragon 695 5G Battery & Charging: 5000 mAh with 67W SUPERVOOC Endurance Edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | Qualcomm Snapdragon 4 Gen 1 Processor | 120Hz FHD+ Display | Travel Adaptor Included in The Box",https://www.amazon.in/iQOO-Stellar-Snapdragon-Segment-Included/dp/B07WHSR1NR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xIAnZhWhGc42wk6MqmMWryLb_cT_UQunxC50ABPIRelDmVy8GPU5_yyt5pju5yFd5GdFnqKqd9O4vKfHYU2OyG0Z0S7EQfqopFkOc6tKi7XMMNwy_FbAxSEYroR7aMwkvIkr_8A1vPTDhCLhpNjpMNuxGXhZm6UgA0ntRzbW4ZxA9Wr7HFqAyoxMUdOaC8tKa4Viy1ICp8dNts9dh1GTvh73Wkp0VVGVdyTNqHzy-JVcSmQTUUQY1qJlYGuq05qLfT5KqP_ds8Fs7tmsBSB9c_36fwIRbM7IV9mil9NMyc8.gYz68lu8lnNvnX5dDVRzGFNTbZ_6rXCq0x8Wj2VwjuQ&dib_tag=se&qid=1715407693&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-7,4.1,23116,19999,11999,40,8000,[],Electronics,Mobiles & Accessories,Smartphones & Basic Mobiles,Smartphones,,,,"['Electronics', 'Mobiles & Accessories', 'Smartphones & Basic Mobiles', 'Smartphones']","iQOO Z6 Lite 5G is equipped with World's First Snapdragon 4 Gen 1 Processor, that allows you to level up your performance with confidence through its efficient 6nm Process, Best In-Segment 120Hz Screen Refresh Rate which comes with lagfree & nimble scrolling and FHD+ display lets you enjoy to the fullest with every game you play and every content you watch with its crisp detailing of colours, along with 5000mAh Battery: Keeps iQOO Z6 Lite 5G to a longer usage, for a more enjoyable gaming and video experience, which offers Music Payback Time of 127 Hours, Social Media of 21.6 hours, OTT Streaming of 14.5 hours and Gaming of 8.3 hours & much more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
