deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
7,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B08L5WWFCY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-8,4.5,85097,1900,1699,11,201,"['Upto ₹76.48 EMI interest savings on Amazon Pay ICICI Bank Credit CardsUpto ₹76.48 EMI interest savings on Amazon Pay ICICI…', 'Upto ₹1,500.00 discount on select Credit Cards, HDFC Bank Debit CardsUpto ₹1,500.00 discount on select Credit Cards, HDFC…', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",,,,,,,,[],"The Apple 20W USB‑C Power Adapter offers fast, efficient charging at home, in the office, or on the go. iPhone Compatability: iPhone 12 Pro, iPhone 12 Pro Max, iPhone 12 mini, iPhone 12, iPhone 11 Pro, iPhone 11 Pro Max, iPhone 11, iPhone SE (2nd generation), iPhone XS, iPhone XS Max, iPhone XR, iPhone X, iPhone 8, iPhone 8 Plus iPad Compatability: iPad Pro 12.9-inch (4th generation), iPad Pro 12.9-inch (3rd generation), iPad Pro 12.9-inch (2nd generation), iPad Pro 12.9-inch (1st generation), iPad Pro 11-inch (2nd generation), iPad Pro 11-inch (1st generation), iPad Pro 10.5-inch, iPad Air (4th generation), iPad Air (3rd generation), iPad (8th generation), iPad (7th generation), iPad mini (5th generation) AirPods Compatability: AirPods Max, AirPods Pro, AirPods With Wireless Charging Case, AirPods With Charging Case Charging cable sold separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Apple iPhone 13 (128GB) - Starlight,https://www.amazon.in/Apple-iPhone-13-128GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_26?dib=eyJ2IjoiMSJ9.3XwWzptQwLRCanMPlwGy-5FaN_6_8rzy1eO04usMjikAwHnqI64Aq0ZS6VBag4wuXE1djvbBHqjqni8pLwvJ3btUHhR-1L6ot5l0r3JuVuJyocGbruyKufHixh44WoY_rbr55NNaNOKHg6iUl3TTfmwUwjqBbNLosO9jXd1pukxCcFaL7zkl3IvSWT3jEgf6axU9yHeu4mVrRgU8Nq8AczEsIP97DZRysymPGYZP-PkG8gDAt-t62n-t-WCnVkatu_UE9SE1Y_7EOBA72bT5Hf36fwIRbM7IV9mil9NMyc8.GNSIdtDhgTy0D7RRCyYqU1oJe8mL0rXxHATFkP3sNJk&dib_tag=se&qid=1715182824&refinements=p_72%3A1318476031&rnid=1318475031&s=electronics&sr=1-26,4.6,26558,59900,48499,19,11401,[],,,,,,,,[],"15 cm (6.1-inch) Super Retina XDR display Cinematic mode adds shallow depth of field and shifts focus automatically in your videos Advanced dual-camera system with 12MP Wide and Ultra Wide cameras; Photographic Styles, Smart HDR 4, Night mode, 4K Dolby Vision HDR recording 12MP TrueDepth front camera with Night mode, 4K Dolby Vision HDR recording A15 Bionic chip for lightning-fast performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"Apple iPad Air (5th Generation): with M1 chip, 27.69 cm (10.9″) Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",https://www.amazon.in/Apple-iPad-Air-10-9-inch-27-69-Wi-Fi/dp/B09V4FNFHN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-12,4.7,885,59900,49999,17,9901,"['Upto ₹4,000.00 discount on select Credit CardsUpto ₹4,000.00 discount on select Credit Cards', 'Upto ₹2,251.37 EMI interest savings on select Credit CardsUpto ₹2,251.37 EMI interest savings on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",,,,,,,,[],"WHY IPAD AIR — Serious performance in a thin and light design. With an immersive 27.69 cm (10.9″) Liquid Retina display and the amazing performance of the M1 chip, iPad Air is a creative and gaming powerhouse. Featuring Touch ID, advanced cameras, superfast Wi-Fi 6 and a USB-C connector. iPadOS + APPS — iPadOS makes iPad more productive, intuitive and versatile. With iPadOS, run multiple apps at once, use Apple Pencil to write in any text field with Scribble, and edit and share photos. iPad Air comes with essential apps like Safari, Messages and Keynote, with over a million more apps available on the App Store. FAST WI-FI CONNECTIVITY — Wi-Fi 6 gives you fast access to your files, uploads and downloads, and lets you seamlessly stream your favourite shows. PERFORMANCE AND STORAGE — The M1 chip lets you multitask smoothly between powerful apps and play graphics-intensive games. And with all-day battery life, you can keep working and playing wherever you go. Choose from 64GB or 256GB storage options depending on the room you need for apps, music, movies and more. APPLE PENCIL AND MAGIC KEYBOARD — With Apple Pencil (2nd generation), iPad Air transforms into an immersive drawing canvas and the world’s best note‑taking device. Magic Keyboard features a great typing experience and a built‑in trackpad, while doubling as a protective cover for iPad. (Accessories are sold separately.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"Apple iPad (10th Generation): with A14 Bionic chip, 27.69 cm (10.9″) Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",https://www.amazon.in/Apple-2022-10-9-inch-iPad-Wi-Fi/dp/B0BJMGXLYZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.stknQLBbKHM_yw9Fd2YM7tXNwpWbxZq7N_FH5pjX0XBi0Jge7E45eETKi9R54eDkwV9uqYeugZpFOHAm8yXaMmyozmHHODEuJXHju3-N6lmnererxhBLB9w2yavOgqlNk7mk5VlaoX4uW9YbNtsLVmVx7yy5_5g60UXowXGNgW1fqjP_PTi7KYFjMAs_uaX_GjQphc8uLPDKguC794qF9xGRIU8zLo-QXJZy7NR86peeWZGxbbZKRN2D9dtlvbyQtGuWwfptGWE_XqUtkdRAUNqsfW9kqlg-VoXwlDIpFTc.lZiNA-XBpjk1DuiuojiDNW1-YOOCYGFlvthpVlYgZP8&dib_tag=se&qid=1716139812&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-4,4.6,938,44900,34900,22,10000,"['Upto ₹3,000.00 discount on select Credit CardsUpto ₹3,000.00 discount on select Credit Cards', 'Upto ₹1,571.48 EMI interest savings on select Credit CardsUpto ₹1,571.48 EMI interest savings on select Credit Cards', 'Get GST invoice and save up to 28% on business purchases. Sign up for freeGet GST invoice and save up to 28% on business purchases.']",,,,,,,,[],"WHY IPAD — Colourfully reimagined and more versatile than ever, iPad is great for the things you do every day. With an all-screen design, 27.69 cm (10.9″) Liquid Retina display, powerful A14 Bionic chip, superfast Wi-Fi and four gorgeous colours, iPad delivers a powerful way to create, stay connected and get things done. iPadOS + APPS — iPadOS makes iPad more productive, intuitive and versatile. With iPadOS, run multiple apps at once, use Apple Pencil to write in any text field with Scribble, and edit and share photos. iPad comes with essential apps like Safari, Messages and Keynote, with over a million more apps available on the App Store. FAST WI-FI CONNECTIVITY — Wi-Fi 6 gives you fast access to your files, uploads and downloads, and lets you seamlessly stream your favourite shows. PERFORMANCE AND STORAGE — The A14 Bionic chip delivers power and performance for any activity. And with all-day battery life, iPad is perfect for playing immersive games and editing photos and videos. Choose from 64GB or 256GB storage options. APPLE PENCIL AND MAGIC KEYBOARD FOLIO — With Apple Pencil (1st generation), iPad transforms into an immersive drawing canvas and the world’s best note‑taking device. The Magic Keyboard Folio features a versatile two-piece design with a detachable keyboard and a protective back panel that both attach magnetically to iPad. (Accessories are sold separately.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"Alchiko Newest Superior Sound Quality Powerful Foldable Adjustable Polarized Lenses Sunglass With Rechargeable Battery Built-in Microphone Connects With All Smartphones  (Smart Glasses, Black)",https://www.flipkart.com/alchiko-newest-superior-sound-quality-powerful-foldable-adjustable-polarized-lenses-sunglass-rechargeable-battery-built-in-microphone-connects-all-smartphones/p/itm240204ad11327?pid=SGAG2NKDJEHGYFWV&lid=LSTSGAG2NKDJEHGYFWVSZQ3CM&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_5&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAG2NKDJEHGYFWV.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.9,67,999,589,41,410,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 10% off (price inclusive of cashback/coupon)'}]",,,,,,,,[],,"[{'rating': '5', 'comment_text': 'Very nice productREAD MORE'}, {'rating': '3', 'comment_text': 'NiceREAD MORE'}, {'rating': '5', 'comment_text': 'NICE 👍READ MORE'}, {'rating': '5', 'comment_text': 'Thanks youREAD MORE'}, {'rating': '5', 'comment_text': 'This product is very nice and cool. The sound quality I will as 4/5 at it prize The build quality I will 3/5 .READ MORE'}, {'rating': '1', 'comment_text': 'Very bad itemREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,"Alchiko Classical Smart Portable Wireless Earphone Polarized glasses With Built-in Microphone For Outdoor Cycling, Fishing, Playing Golf, Climbing, Driving  (Smart Glasses, Black)",https://www.flipkart.com/alchiko-classical-smart-portable-wireless-earphone-polarized-glasses-built-in-microphone-outdoor-cycling-fishing-playing-golf-climbing-driving/p/itm3fb42452b69f4?pid=SGAG3P79SFDXYMHE&lid=LSTSGAG3P79SFDXYMHEJXO4YL&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_36&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAG3P79SFDXYMHE.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.8,65,999,596,40,403,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 10% off (price inclusive of cashback/coupon)'}]",,,,,,,,[],,"[{'rating': '5', 'comment_text': This glasses I buy ago 2 year it's working I like this productREAD MORE""}", {'rating': '3', 'comment_text': 'NiceREAD MORE'}, {'rating': '4', 'comment_text': 'Very nice 👌🏻READ MORE'}, {'rating': '2', 'comment_text': 'Not workingREAD MORE'}, {'rating': '5'," 'comment_text': 'NiceREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,
289,retold UBON BLUE BT-160 With Fast Charging Wireless Earbuds Smart Headphones  (Wireless),https://www.flipkart.com/retold-ubon-blue-bt-160-fast-charging-wireless-earbuds-smart-headphones/p/itm3249ca732fbd6?pid=SMHGXBWRA239KGQ3&lid=LSTSMHGXBWRA239KGQ3YXQED7&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvam&srno=s_1_13&otracker=category&fm=organic&iid=7bf318c3-f5f6-4e9d-9c1d-e66747c689a6.SMHGXBWRA239KGQ3.SEARCH&ppt=pp&ppn=pp&ssid=gm3s15ioqo0000001716143975402&qH=bd2d8225f0c52a6b,4,3,4999,1443,71,3556,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 9% off (price inclusive of cashback/coupon)'}]",,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-10,4.7,4944,92900,73990,20,18910,"['Upto ₹5,000.00 discount on select Credit CardsUpto ₹5,000.00 discount on select Credit Cards', 'Upto ₹3,331.65 EMI interest savings on select Credit CardsUpto ₹3,331.65 EMI interest savings on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay…']",,,,,,,,[],"All-Day Battery Life – Go longer than ever with up to 18 hours of battery life. Powerful Performance – Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while using way less power. Superfast Memory – 8GB of unified memory makes your entire system speedy and responsive. That way it can support tasks like memory-hogging multitab browsing and opening a huge graphic file quickly and easily. Stunning Display – With a 13.3-inch/33.74 cm Retina display, images come alive with new levels of realism. Text is sharp and clear, and colors are more vibrant. Why Mac – Easy to learn. Easy to set up. Astoundingly powerful. Intuitive. Packed with apps to use right out of the box. Mac is designed to let you work, play, and create like never before.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,"Apple 2022 MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Midnight",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3BMKMGP/ref=sr_1_21?dib=eyJ2IjoiMSJ9.dyse93q14eJCojM6VESlwTcq-0cuC2zkmZUSpQdAHWARBn2Y6TpwjGJLpvHg4mlvmKOxtnkqgcvnGceNwW22UwhjstiXTAA3NOQJDxipjTboariOhVEafGUBbDUuSKSv4kuIYjCyAov6T6cVdR-QmZZfxOkv5stmB_vX_eohyni7-nMAH22oi70xb7bbBHGaBRTUZSh-K1l-PZWf-7q27SB54clPlDwIRY2h59nb6TpopaUljL88Vd1D51ry2wcLUXxD2JA8k41xjw6tQhb5jdTQ9IwddkVKNUeKcPRWa6I.FGmZGf2JooHSVbWq5_MU2Mcr-P42DVL8NtYXilFUZlw&dib_tag=se&qid=1716143940&refinements=p_72%3A1318476031&rnid=1318475031&s=computers&sr=1-21,4.7,60,114900,93990,18,20910,"['Upto ₹5,000.00 discount on select Credit CardsUpto ₹5,000.00 discount on select Credit Cards', 'Upto ₹4,232.25 EMI interest savings on select Credit CardsUpto ₹4,232.25 EMI interest savings on select Credit Cards', 'Switch to Flash.co email id & get Rs 250/- Amazon Pay cashbackSwitch to Flash.co email id & get Rs 250/- Amazon Pay cashback']",,,,,,,,[],"STRIKINGLY THIN DESIGN – The redesigned MacBook Air is more portable than ever and weighs just 1.24 kg (2.7 pounds). It’s the ultra-capable laptop that lets you work, play or create just about anything — anywhere. SUPERCHARGED BY M2 – Get more done faster with a next-generation 8-core CPU, up to 10-core GPU and up to 24GB of unified memory. UP TO 18 HOURS OF BATTERY LIFE – Go all day and into the night, thanks to the power-efficient performance of the Apple M2 chip. BIG, BEAUTIFUL DISPLAY – The 34.46-centimetre (13.6-inch) Liquid Retina display features over 500 nits of brightness, P3 wide colour and support for one billion colours for vibrant images and incredible detail. ADVANCED CAMERA AND AUDIO – Look sharp and sound great with a 1080p FaceTime HD camera, three-mic array and four-speaker sound system with Spatial Audio. VERSATILE CONNECTIVITY – MacBook Air features a MagSafe charging port, two Thunderbolt ports and a headphone jack. EASY TO USE – Your Mac feels familiar from the moment you turn it on and works seamlessly with all your Apple devices. BUILT TO LAST – The all-aluminium unibody enclosure is exceptionally durable. And free software updates keep things running smooth and secure for years to come. SIMPLY COMPATIBLE – All your go-to apps run lightning fast — including Microsoft 365, Zoom and many of your favourite iPhone and iPad apps. COMES WITH APPLECARE WARRANTY – Every Mac comes with a one-year limited warranty and up to 90 days of complimentary technical support. Get AppleCare+ to extend your coverage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,OpenTech Screen Guard for Hard Matte Silicone Protection Front Case Cover with Attached Screen Protector Compatible for Apple Watch Series 8 and 7 (45mm) Full Coverage (Black) with 3 Months warranty  (Pack of 1),https://www.flipkart.com/opentech-screen-guard-hard-matte-silicone-protection-front-case-cover-attached-protector-compatible-apple-watch-series-8-7-45mm-full-coverage-black-3-months-warranty/p/itmf6f223bb6548b?pid=ACCGQRNYSZZHNMPQ&lid=LSTACCGQRNYSZZHNMPQRFRHT8&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Fvne%2Fqic&srno=s_1_19&otracker=search&iid=94b12233-2419-44f1-8748-b9f7959eeedc.ACCGQRNYSZZHNMPQ.SEARCH&ssid=9p2zpma8000000001716226250345&qH=bd2d8225f0c52a6b,4.5,8,1100,499,54,601,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 23% off (price inclusive of cashback/coupon)'}]",,,,,,,,[],,"[{'rating': '4', 'comment_text': It's good productREAD MORE""}", {'rating': '5'," 'comment_text': 'Nice fityou can go for it blindlyREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
